BHD ,B1   ,201809160000,40,1001001009
BHD ,B1   ,201809160001,33,1001001009
BHD ,B1   ,201809160002,32,1001001009
BHD ,B1   ,201809160003,29,1001001009
BHD ,B1   ,201809160004,41,1001001009
BHD ,B1   ,201809160005,52,1001001009
BHD ,B1   ,201809160006,57,1001001009
BHD ,B1   ,201809160007,46,1001001009
BHD ,B1   ,201809160008,34,1001001009
BHD ,B1   ,201809160009,39,1001001009
BHD ,B1   ,201809160010,50,1001001009
BHD ,B1   ,201809160011,46,1001001009
BHD ,B1   ,201809160012,59,1001001009
BHD ,B1   ,201809160013,31,1001001009
BHD ,B1   ,201809160014,33,1001001009
BHD ,B1   ,201809160015,60,1001001009
BHD ,B1   ,201809160016,39,1001001009
BHD ,B1   ,201809160017,34,1001001009
BHD ,B1   ,201809160018,19,1001001009
BHD ,B1   ,201809160019,24,1001001009
BHD ,B1   ,201809160020,40,1001001009
BHD ,B1   ,201809160021,36,1001001009
BHD ,B1   ,201809160022,40,1001001009
BHD ,B1   ,201809160023,35,1001001009
BHD ,B1   ,201809160024,38,1001001009
BHD ,B1   ,201809160025,48,1001001009
BHD ,B1   ,201809160026,49,1001001009
BHD ,B1   ,201809160027,54,1001001009
BHD ,B1   ,201809160028,31,1001001009
BHD ,B1   ,201809160029,33,1001001009
BHD ,B1   ,201809160030,37,1001001009
BHD ,B1   ,201809160031,22,1001001009
BHD ,B1   ,201809160032,35,1001001009
BHD ,B1   ,201809160033,43,1001001009
BHD ,B1   ,201809160034,30,1001001009
BHD ,B1   ,201809160035,46,1001001009
BHD ,B1   ,201809160036,46,1001001009
BHD ,B1   ,201809160037,48,1001001009
BHD ,B1   ,201809160038,49,1001001009
BHD ,B1   ,201809160039,53,1001001009
BHD ,B1   ,201809160040,41,1001001009
BHD ,B1   ,201809160041,41,1001001009
BHD ,B1   ,201809160042,35,1001001009
BHD ,B1   ,201809160043,39,1001001009
BHD ,B1   ,201809160044,45,1001001009
BHD ,B1   ,201809160045,41,1001001009
BHD ,B1   ,201809160046,72,1001001009
BHD ,B1   ,201809160047,50,1001001009
BHD ,B1   ,201809160048,53,1001001009
BHD ,B1   ,201809160049,52,1001001009
BHD ,B1   ,201809160050,39,1001001009
BHD ,B1   ,201809160051,38,1001001009
BHD ,B1   ,201809160052,35,1001001009
BHD ,B1   ,201809160053,33,1001001009
BHD ,B1   ,201809160054,43,1001001009
BHD ,B1   ,201809160055,64,1001001009
BHD ,B1   ,201809160056,49,1001001009
BHD ,B1   ,201809160057,41,1001001009
BHD ,B1   ,201809160058,45,1001001009
BHD ,B1   ,201809160059,46,1001001009
BHD ,B1   ,201809160100,27,1001001009
BHD ,B1   ,201809160101,63,1001001009
BHD ,B1   ,201809160102,42,1001001009
BHD ,B1   ,201809160103,68,1001001009
BHD ,B1   ,201809160104,47,1001001009
BHD ,B1   ,201809160105,51,1001001009
BHD ,B1   ,201809160106,45,1001001009
BHD ,B1   ,201809160107,50,1001001009
BHD ,B1   ,201809160108,42,1001001009
BHD ,B1   ,201809160109,41,1001001009
BHD ,B1   ,201809160110,54,1001001009
BHD ,B1   ,201809160111,53,1001001009
BHD ,B1   ,201809160112,53,1001001009
BHD ,B1   ,201809160113,44,1001001009
BHD ,B1   ,201809160114,53,1001001009
BHD ,B1   ,201809160115,67,1001001009
BHD ,B1   ,201809160116,60,1001001009
BHD ,B1   ,201809160117,65,1001001009
BHD ,B1   ,201809160118,45,1001001009
BHD ,B1   ,201809160119,60,1001001009
BHD ,B1   ,201809160120,50,1001001009
BHD ,B1   ,201809160121,55,1001001009
BHD ,B1   ,201809160122,55,1001001009
BHD ,B1   ,201809160123,34,1001001009
BHD ,B1   ,201809160124,48,1001001009
BHD ,B1   ,201809160125,61,1001001009
BHD ,B1   ,201809160126,78,1001001009
BHD ,B1   ,201809160127,47,1001001009
BHD ,B1   ,201809160128,54,1001001009
BHD ,B1   ,201809160129,38,1001001009
BHD ,B1   ,201809160130,60,1001001009
BHD ,B1   ,201809160131,74,1001001009
BHD ,B1   ,201809160132,37,1001001009
BHD ,B1   ,201809160133,46,1001001009
BHD ,B1   ,201809160134,50,1001001009
BHD ,B1   ,201809160135,38,1001001009
BHD ,B1   ,201809160136,61,1001001009
BHD ,B1   ,201809160137,71,1001001009
BHD ,B1   ,201809160138,68,1001001009
