CCH ,B1   ,201809160000,79,1001001009
CCH ,B1   ,201809160001,102,1001001009
CCH ,B1   ,201809160002,109,1001001009
CCH ,B1   ,201809160003,95,1001001009
CCH ,B1   ,201809160004,103,1001001009
CCH ,B1   ,201809160005,87,1001001009
CCH ,B1   ,201809160006,95,1001001009
CCH ,B1   ,201809160007,107,1001001009
CCH ,B1   ,201809160008,135,1001001009
CCH ,B1   ,201809160009,135,1001001009
CCH ,B1   ,201809160010,117,1001001009
CCH ,B1   ,201809160011,98,1001001009
CCH ,B1   ,201809160012,110,1001001009
CCH ,B1   ,201809160013,109,1001001009
CCH ,B1   ,201809160014,113,1001001009
CCH ,B1   ,201809160015,130,1001001009
CCH ,B1   ,201809160016,121,1001001009
CCH ,B1   ,201809160017,143,1001001009
CCH ,B1   ,201809160018,113,1001001009
CCH ,B1   ,201809160019,113,1001001009
CCH ,B1   ,201809160020,119,1001001009
CCH ,B1   ,201809160021,113,1001001009
CCH ,B1   ,201809160022,130,1001001009
CCH ,B1   ,201809160023,141,1001001009
CCH ,B1   ,201809160024,120,1001001009
CCH ,B1   ,201809160025,131,1001001009
CCH ,B1   ,201809160026,104,1001001009
CCH ,B1   ,201809160027,149,1001001009
CCH ,B1   ,201809160028,136,1001001009
CCH ,B1   ,201809160029,129,1001001009
CCH ,B1   ,201809160030,128,1001001009
CCH ,B1   ,201809160031,165,1001001009
CCH ,B1   ,201809160032,124,1001001009
CCH ,B1   ,201809160033,127,1001001009
CCH ,B1   ,201809160034,136,1001001009
CCH ,B1   ,201809160035,131,1001001009
CCH ,B1   ,201809160036,104,1001001009
CCH ,B1   ,201809160037,138,1001001009
CCH ,B1   ,201809160038,142,1001001009
CCH ,B1   ,201809160039,111,1001001009
CCH ,B1   ,201809160040,119,1001001009
CCH ,B1   ,201809160041,132,1001001009
CCH ,B1   ,201809160042,134,1001001009
CCH ,B1   ,201809160043,157,1001001009
CCH ,B1   ,201809160044,165,1001001009
CCH ,B1   ,201809160045,139,1001001009
CCH ,B1   ,201809160046,135,1001001009
CCH ,B1   ,201809160047,139,1001001009
CCH ,B1   ,201809160048,102,1001001009
CCH ,B1   ,201809160049,140,1001001009
CCH ,B1   ,201809160050,141,1001001009
CCH ,B1   ,201809160051,100,1001001009
CCH ,B1   ,201809160052,116,1001001009
CCH ,B1   ,201809160053,142,1001001009
CCH ,B1   ,201809160054,158,1001001009
CCH ,B1   ,201809160055,144,1001001009
CCH ,B1   ,201809160056,122,1001001009
CCH ,B1   ,201809160057,85,1001001009
CCH ,B1   ,201809160058,94,1001001009
CCH ,B1   ,201809160059,99,1001001009
CCH ,B1   ,201809160100,83,1001001009
CCH ,B1   ,201809160101,92,1001001009
CCH ,B1   ,201809160102,96,1001001009
CCH ,B1   ,201809160103,114,1001001009
CCH ,B1   ,201809160104,123,1001001009
CCH ,B1   ,201809160105,104,1001001009
CCH ,B1   ,201809160106,123,1001001009
CCH ,B1   ,201809160107,126,1001001009
CCH ,B1   ,201809160108,120,1001001009
CCH ,B1   ,201809160109,107,1001001009
CCH ,B1   ,201809160110,118,1001001009
CCH ,B1   ,201809160111,105,1001001009
CCH ,B1   ,201809160112,106,1001001009
CCH ,B1   ,201809160113,114,1001001009
CCH ,B1   ,201809160114,127,1001001009
CCH ,B1   ,201809160115,142,1001001009
CCH ,B1   ,201809160116,119,1001001009
CCH ,B1   ,201809160117,110,1001001009
CCH ,B1   ,201809160118,112,1001001009
CCH ,B1   ,201809160119,118,1001001009
CCH ,B1   ,201809160120,130,1001001009
CCH ,B1   ,201809160121,104,1001001009
CCH ,B1   ,201809160122,84,1001001009
CCH ,B1   ,201809160123,106,1001001009
CCH ,B1   ,201809160124,100,1001001009
CCH ,B1   ,201809160125,112,1001001009
CCH ,B1   ,201809160126,115,1001001009
CCH ,B1   ,201809160127,101,1001001009
CCH ,B1   ,201809160128,93,1001001009
CCH ,B1   ,201809160129,97,1001001009
CCH ,B1   ,201809160130,90,1001001009
CCH ,B1   ,201809160131,94,1001001009
CCH ,B1   ,201809160132,102,1001001009
CCH ,B1   ,201809160133,110,1001001009
CCH ,B1   ,201809160134,111,1001001009
CCH ,B1   ,201809160135,94,1001001009
CCH ,B1   ,201809160136,147,1001001009
CCH ,B1   ,201809160137,128,1001001009
CCH ,B1   ,201809160138,112,1001001009
CCH ,B1   ,201809160139,130,1001001009
CCH ,B1   ,201809160140,111,1001001009
CCH ,B1   ,201809160141,105,1001001009
CCH ,B1   ,201809160142,95,1001001009
CCH ,B1   ,201809160143,101,1001001009
CCH ,B1   ,201809160144,105,1001001009
CCH ,B1   ,201809160145,119,1001001009
CCH ,B1   ,201809160146,121,1001001009
CCH ,B1   ,201809160147,130,1001001009
CCH ,B1   ,201809160148,122,1001001009
CCH ,B1   ,201809160149,105,1001001009
CCH ,B1   ,201809160150,110,1001001009
CCH ,B1   ,201809160151,95,1001001009
CCH ,B1   ,201809160152,88,1001001009
CCH ,B1   ,201809160153,93,1001001009
CCH ,B1   ,201809160154,96,1001001009
CCH ,B1   ,201809160155,131,1001001009
CCH ,B1   ,201809160156,124,1001001009
CCH ,B1   ,201809160157,99,1001001009
CCH ,B1   ,201809160158,110,1001001009
CCH ,B1   ,201809160159,104,1001001009
CCH ,B1   ,201809160200,118,1001001009
CCH ,B1   ,201809160201,113,1001001009
CCH ,B1   ,201809160202,102,1001001009
CCH ,B1   ,201809160203,112,1001001009
CCH ,B1   ,201809160204,142,1001001009
CCH ,B1   ,201809160205,130,1001001009
CCH ,B1   ,201809160206,103,1001001009
CCH ,B1   ,201809160207,106,1001001009
CCH ,B1   ,201809160208,130,1001001009
CCH ,B1   ,201809160209,115,1001001009
CCH ,B1   ,201809160210,130,1001001009
CCH ,B1   ,201809160211,147,1001001009
CCH ,B1   ,201809160212,126,1001001009
CCH ,B1   ,201809160213,144,1001001009
CCH ,B1   ,201809160214,158,1001001009
CCH ,B1   ,201809160215,132,1001001009
CCH ,B1   ,201809160216,108,1001001009
CCH ,B1   ,201809160217,132,1001001009
CCH ,B1   ,201809160218,128,1001001009
CCH ,B1   ,201809160219,153,1001001009
CCH ,B1   ,201809160220,148,1001001009
CCH ,B1   ,201809160221,165,1001001009
CCH ,B1   ,201809160222,152,1001001009
CCH ,B1   ,201809160223,135,1001001009
CCH ,B1   ,201809160224,166,1001001009
CCH ,B1   ,201809160225,148,1001001009
CCH ,B1   ,201809160226,141,1001001009
CCH ,B1   ,201809160227,153,1001001009
CCH ,B1   ,201809160228,137,1001001009
CCH ,B1   ,201809160229,134,1001001009
CCH ,B1   ,201809160230,171,1001001009
CCH ,B1   ,201809160231,156,1001001009
CCH ,B1   ,201809160232,133,1001001009
CCH ,B1   ,201809160233,143,1001001009
CCH ,B1   ,201809160234,146,1001001009
CCH ,B1   ,201809160235,117,1001001009
CCH ,B1   ,201809160236,134,1001001009
CCH ,B1   ,201809160237,133,1001001009
CCH ,B1   ,201809160238,138,1001001009
CCH ,B1   ,201809160239,136,1001001009
CCH ,B1   ,201809160240,125,1001001009
CCH ,B1   ,201809160241,141,1001001009
CCH ,B1   ,201809160242,128,1001001009
CCH ,B1   ,201809160243,116,1001001009
CCH ,B1   ,201809160244,127,1001001009
CCH ,B1   ,201809160245,135,1001001009
CCH ,B1   ,201809160246,116,1001001009
CCH ,B1   ,201809160247,112,1001001009
CCH ,B1   ,201809160248,108,1001001009
CCH ,B1   ,201809160249,114,1001001009
CCH ,B1   ,201809160250,93,1001001009
CCH ,B1   ,201809160251,95,1001001009
CCH ,B1   ,201809160252,106,1001001009
CCH ,B1   ,201809160253,111,1001001009
CCH ,B1   ,201809160254,114,1001001009
CCH ,B1   ,201809160255,114,1001001009
CCH ,B1   ,201809160256,107,1001001009
CCH ,B1   ,201809160257,144,1001001009
CCH ,B1   ,201809160258,140,1001001009
CCH ,B1   ,201809160259,107,1001001009
CCH ,B1   ,201809160300,109,1001001009
CCH ,B1   ,201809160301,98,1001001009
CCH ,B1   ,201809160302,126,1001001009
CCH ,B1   ,201809160303,125,1001001009
