CCH ,J1   ,201809160000,298,1101001009
CCH ,J1   ,201809160001,298,1101001009
CCH ,J1   ,201809160002,298,1101001009
CCH ,J1   ,201809160003,298,1101001009
CCH ,J1   ,201809160004,298,1101001009
CCH ,J1   ,201809160005,298,1101001009
CCH ,J1   ,201809160006,298,1101001009
CCH ,J1   ,201809160007,298,1101001009
CCH ,J1   ,201809160008,298,1101001009
CCH ,J1   ,201809160009,298,1101001009
CCH ,J1   ,201809160010,298,1101001009
CCH ,J1   ,201809160011,298,1101001009
CCH ,J1   ,201809160012,298,1101001009
CCH ,J1   ,201809160013,298,1101001009
CCH ,J1   ,201809160014,298,1101001009
CCH ,J1   ,201809160015,298,1101001009
CCH ,J1   ,201809160016,298,1101001009
CCH ,J1   ,201809160017,299,1101001009
CCH ,J1   ,201809160018,299,1101001009
CCH ,J1   ,201809160019,299,1101001009
CCH ,J1   ,201809160020,299,1101001009
CCH ,J1   ,201809160021,299,1101001009
CCH ,J1   ,201809160022,299,1101001009
CCH ,J1   ,201809160023,299,1101001009
CCH ,J1   ,201809160024,299,1101001009
CCH ,J1   ,201809160025,300,1101001009
CCH ,J1   ,201809160026,300,1101001009
CCH ,J1   ,201809160027,300,1101001009
CCH ,J1   ,201809160028,300,1101001009
CCH ,J1   ,201809160029,300,1101001009
CCH ,J1   ,201809160030,300,1101001009
CCH ,J1   ,201809160031,300,1101001009
CCH ,J1   ,201809160032,301,1101001009
CCH ,J1   ,201809160033,301,1101001009
CCH ,J1   ,201809160034,300,1101001009
CCH ,J1   ,201809160035,301,1101001009
CCH ,J1   ,201809160036,300,1101001009
CCH ,J1   ,201809160037,300,1101001009
CCH ,J1   ,201809160038,300,1101001009
CCH ,J1   ,201809160039,300,1101001009
CCH ,J1   ,201809160040,300,1101001009
CCH ,J1   ,201809160041,300,1101001009
CCH ,J1   ,201809160042,300,1101001009
CCH ,J1   ,201809160043,300,1101001009
CCH ,J1   ,201809160044,300,1101001009
CCH ,J1   ,201809160045,301,1101001009
CCH ,J1   ,201809160046,301,1101001009
CCH ,J1   ,201809160047,301,1101001009
CCH ,J1   ,201809160048,300,1101001009
CCH ,J1   ,201809160049,300,1101001009
CCH ,J1   ,201809160050,300,1101001009
CCH ,J1   ,201809160051,300,1101001009
CCH ,J1   ,201809160052,299,1101001009
CCH ,J1   ,201809160053,299,1101001009
CCH ,J1   ,201809160054,299,1101001009
CCH ,J1   ,201809160055,299,1101001009
CCH ,J1   ,201809160056,299,1101001009
CCH ,J1   ,201809160057,298,1101001009
CCH ,J1   ,201809160058,298,1101001009
CCH ,J1   ,201809160059,297,1101001009
CCH ,J1   ,201809160100,296,1101001009
CCH ,J1   ,201809160101,295,1101001009
CCH ,J1   ,201809160102,294,1101001009
CCH ,J1   ,201809160103,294,1101001009
CCH ,J1   ,201809160104,293,1101001009
CCH ,J1   ,201809160105,293,1101001009
CCH ,J1   ,201809160106,293,1101001009
CCH ,J1   ,201809160107,293,1101001009
CCH ,J1   ,201809160108,293,1101001009
CCH ,J1   ,201809160109,293,1101001009
CCH ,J1   ,201809160110,293,1101001009
CCH ,J1   ,201809160111,293,1101001009
CCH ,J1   ,201809160112,292,1101001009
CCH ,J1   ,201809160113,292,1101001009
CCH ,J1   ,201809160114,292,1101001009
CCH ,J1   ,201809160115,293,1101001009
CCH ,J1   ,201809160116,293,1101001009
CCH ,J1   ,201809160117,293,1101001009
CCH ,J1   ,201809160118,292,1101001009
CCH ,J1   ,201809160119,292,1101001009
CCH ,J1   ,201809160120,291,1101001009
CCH ,J1   ,201809160121,291,1101001009
CCH ,J1   ,201809160122,291,1101001009
CCH ,J1   ,201809160123,291,1101001009
CCH ,J1   ,201809160124,290,1101001009
CCH ,J1   ,201809160125,289,1101001009
CCH ,J1   ,201809160126,288,1101001009
CCH ,J1   ,201809160127,288,1101001009
CCH ,J1   ,201809160128,287,1101001009
CCH ,J1   ,201809160129,286,1101001009
CCH ,J1   ,201809160130,285,1101001009
CCH ,J1   ,201809160131,285,1101001009
CCH ,J1   ,201809160132,284,1101001009
CCH ,J1   ,201809160133,283,1101001009
CCH ,J1   ,201809160134,283,1101001009
CCH ,J1   ,201809160135,284,1101001009
CCH ,J1   ,201809160136,283,1101001009
CCH ,J1   ,201809160137,284,1101001009
CCH ,J1   ,201809160138,284,1101001009
CCH ,J1   ,201809160139,284,1101001009
CCH ,J1   ,201809160140,284,1101001009
CCH ,J1   ,201809160141,283,1101001009
CCH ,J1   ,201809160142,284,1101001009
CCH ,J1   ,201809160143,284,1101001009
CCH ,J1   ,201809160144,284,1101001009
CCH ,J1   ,201809160145,285,1101001009
CCH ,J1   ,201809160146,285,1101001009
CCH ,J1   ,201809160147,285,1101001009
CCH ,J1   ,201809160148,286,1101001009
CCH ,J1   ,201809160149,286,1101001009
CCH ,J1   ,201809160150,286,1101001009
CCH ,J1   ,201809160151,285,1101001009
CCH ,J1   ,201809160152,285,1101001009
CCH ,J1   ,201809160153,285,1101001009
CCH ,J1   ,201809160154,285,1101001009
CCH ,J1   ,201809160155,285,1101001009
CCH ,J1   ,201809160156,285,1101001009
CCH ,J1   ,201809160157,285,1101001009
CCH ,J1   ,201809160158,285,1101001009
CCH ,J1   ,201809160159,286,1101001009
CCH ,J1   ,201809160200,286,1101001009
CCH ,J1   ,201809160201,286,1101001009
CCH ,J1   ,201809160202,286,1101001009
CCH ,J1   ,201809160203,287,1101001009
CCH ,J1   ,201809160204,287,1101001009
CCH ,J1   ,201809160205,287,1101001009
CCH ,J1   ,201809160206,287,1101001009
CCH ,J1   ,201809160207,287,1101001009
CCH ,J1   ,201809160208,287,1101001009
CCH ,J1   ,201809160209,287,1101001009
CCH ,J1   ,201809160210,288,1101001009
CCH ,J1   ,201809160211,288,1101001009
CCH ,J1   ,201809160212,288,1101001009
CCH ,J1   ,201809160213,289,1101001009
CCH ,J1   ,201809160214,289,1101001009
CCH ,J1   ,201809160215,289,1101001009
CCH ,J1   ,201809160216,290,1101001009
CCH ,J1   ,201809160217,289,1101001009
CCH ,J1   ,201809160218,289,1101001009
CCH ,J1   ,201809160219,289,1101001009
CCH ,J1   ,201809160220,289,1101001009
CCH ,J1   ,201809160221,289,1101001009
CCH ,J1   ,201809160222,289,1101001009
CCH ,J1   ,201809160223,289,1101001009
CCH ,J1   ,201809160224,288,1101001009
CCH ,J1   ,201809160225,287,1101001009
CCH ,J1   ,201809160226,286,1101001009
CCH ,J1   ,201809160227,285,1101001009
CCH ,J1   ,201809160228,284,1101001009
CCH ,J1   ,201809160229,284,1101001009
CCH ,J1   ,201809160230,283,1101001009
CCH ,J1   ,201809160231,284,1101001009
CCH ,J1   ,201809160232,284,1101001009
CCH ,J1   ,201809160233,284,1101001009
CCH ,J1   ,201809160234,284,1101001009
CCH ,J1   ,201809160235,284,1101001009
CCH ,J1   ,201809160236,284,1101001009
CCH ,J1   ,201809160237,285,1101001009
CCH ,J1   ,201809160238,285,1101001009
CCH ,J1   ,201809160239,285,1101001009
CCH ,J1   ,201809160240,285,1101001009
CCH ,J1   ,201809160241,285,1101001009
CCH ,J1   ,201809160242,286,1101001009
CCH ,J1   ,201809160243,286,1101001009
CCH ,J1   ,201809160244,286,1101001009
CCH ,J1   ,201809160245,287,1101001009
CCH ,J1   ,201809160246,287,1101001009
CCH ,J1   ,201809160247,287,1101001009
