CP1 ,B1   ,201809160000,28,1001001009
CP1 ,B1   ,201809160001,35,1001001009
CP1 ,B1   ,201809160002,40,1001001009
CP1 ,B1   ,201809160003,13,1001001009
CP1 ,B1   ,201809160004,21,1001001009
CP1 ,B1   ,201809160005,50,1001001009
CP1 ,B1   ,201809160006,66,1001001009
CP1 ,B1   ,201809160007,35,1001001009
CP1 ,B1   ,201809160008,65,1001001009
CP1 ,B1   ,201809160009,62,1001001009
CP1 ,B1   ,201809160010,35,1001001009
CP1 ,B1   ,201809160011,46,1001001009
CP1 ,B1   ,201809160012,52,1001001009
CP1 ,B1   ,201809160013,40,1001001009
CP1 ,B1   ,201809160014,76,1001001009
CP1 ,B1   ,201809160015,62,1001001009
CP1 ,B1   ,201809160016,39,1001001009
CP1 ,B1   ,201809160017,61,1001001009
CP1 ,B1   ,201809160018,86,1001001009
CP1 ,B1   ,201809160019,73,1001001009
CP1 ,B1   ,201809160020,87,1001001009
CP1 ,B1   ,201809160021,68,1001001009
CP1 ,B1   ,201809160022,46,1001001009
CP1 ,B1   ,201809160023,32,1001001009
CP1 ,B1   ,201809160024,73,1001001009
CP1 ,B1   ,201809160025,104,1001001009
CP1 ,B1   ,201809160026,64,1001001009
CP1 ,B1   ,201809160027,47,1001001009
CP1 ,B1   ,201809160028,47,1001001009
CP1 ,B1   ,201809160029,63,1001001009
CP1 ,B1   ,201809160030,72,1001001009
CP1 ,B1   ,201809160031,55,1001001009
CP1 ,B1   ,201809160032,29,1001001009
CP1 ,B1   ,201809160033,36,1001001009
CP1 ,B1   ,201809160034,20,1001001009
CP1 ,B1   ,201809160035,42,1001001009
CP1 ,B1   ,201809160036,54,1001001009
CP1 ,B1   ,201809160037,42,1001001009
CP1 ,B1   ,201809160038,25,1001001009
CP1 ,B1   ,201809160039,32,1001001009
CP1 ,B1   ,201809160040,63,1001001009
CP1 ,B1   ,201809160041,51,1001001009
CP1 ,B1   ,201809160042,41,1001001009
CP1 ,B1   ,201809160043,45,1001001009
CP1 ,B1   ,201809160044,65,1001001009
CP1 ,B1   ,201809160045,62,1001001009
CP1 ,B1   ,201809160046,21,1001001009
CP1 ,B1   ,201809160047,24,1001001009
CP1 ,B1   ,201809160048,29,1001001009
CP1 ,B1   ,201809160049,44,1001001009
CP1 ,B1   ,201809160050,96,1001001009
CP1 ,B1   ,201809160051,72,1001001009
CP1 ,B1   ,201809160052,51,1001001009
CP1 ,B1   ,201809160053,70,1001001009
CP1 ,B1   ,201809160054,55,1001001009
CP1 ,B1   ,201809160055,44,1001001009
CP1 ,B1   ,201809160056,56,1001001009
CP1 ,B1   ,201809160057,35,1001001009
CP1 ,B1   ,201809160058,32,1001001009
CP1 ,B1   ,201809160059,26,1001001009
CP1 ,B1   ,201809160100,45,1001001009
CP1 ,B1   ,201809160101,52,1001001009
CP1 ,B1   ,201809160102,47,1001001009
CP1 ,B1   ,201809160103,37,1001001009
CP1 ,B1   ,201809160104,42,1001001009
CP1 ,B1   ,201809160105,59,1001001009
CP1 ,B1   ,201809160106,65,1001001009
CP1 ,B1   ,201809160107,55,1001001009
CP1 ,B1   ,201809160108,74,1001001009
CP1 ,B1   ,201809160109,43,1001001009
CP1 ,B1   ,201809160110,24,1001001009
CP1 ,B1   ,201809160111,84,1001001009
CP1 ,B1   ,201809160112,64,1001001009
CP1 ,B1   ,201809160113,68,1001001009
CP1 ,B1   ,201809160114,54,1001001009
CP1 ,B1   ,201809160115,50,1001001009
CP1 ,B1   ,201809160116,52,1001001009
CP1 ,B1   ,201809160117,37,1001001009
CP1 ,B1   ,201809160118,60,1001001009
CP1 ,B1   ,201809160119,72,1001001009
CP1 ,B1   ,201809160120,88,1001001009
CP1 ,B1   ,201809160121,69,1001001009
CP1 ,B1   ,201809160122,87,1001001009
CP1 ,B1   ,201809160123,66,1001001009
CP1 ,B1   ,201809160124,77,1001001009
CP1 ,B1   ,201809160125,48,1001001009
CP1 ,B1   ,201809160126,51,1001001009
CP1 ,B1   ,201809160127,35,1001001009
CP1 ,B1   ,201809160128,58,1001001009
CP1 ,B1   ,201809160129,111,1001001009
CP1 ,B1   ,201809160130,87,1001001009
CP1 ,B1   ,201809160131,31,1001001009
CP1 ,B1   ,201809160132,34,1001001009
CP1 ,B1   ,201809160133,53,1001001009
CP1 ,B1   ,201809160134,58,1001001009
CP1 ,B1   ,201809160135,69,1001001009
CP1 ,B1   ,201809160136,67,1001001009
CP1 ,B1   ,201809160137,67,1001001009
CP1 ,B1   ,201809160138,43,1001001009
CP1 ,B1   ,201809160139,32,1001001009
