CWB ,B1   ,201809160000,103,1001001009
CWB ,B1   ,201809160001,72,1001001009
CWB ,B1   ,201809160002,116,1001001009
CWB ,B1   ,201809160003,126,1001001009
CWB ,B1   ,201809160004,125,1001001009
CWB ,B1   ,201809160005,123,1001001009
CWB ,B1   ,201809160006,103,1001001009
CWB ,B1   ,201809160007,75,1001001009
CWB ,B1   ,201809160008,98,1001001009
CWB ,B1   ,201809160009,94,1001001009
CWB ,B1   ,201809160010,133,1001001009
CWB ,B1   ,201809160011,122,1001001009
CWB ,B1   ,201809160012,93,1001001009
CWB ,B1   ,201809160013,114,1001001009
CWB ,B1   ,201809160014,84,1001001009
CWB ,B1   ,201809160015,103,1001001009
CWB ,B1   ,201809160016,126,1001001009
CWB ,B1   ,201809160017,107,1001001009
CWB ,B1   ,201809160018,135,1001001009
CWB ,B1   ,201809160019,122,1001001009
CWB ,B1   ,201809160020,128,1001001009
CWB ,B1   ,201809160021,142,1001001009
CWB ,B1   ,201809160022,114,1001001009
CWB ,B1   ,201809160023,141,1001001009
CWB ,B1   ,201809160024,133,1001001009
CWB ,B1   ,201809160025,121,1001001009
CWB ,B1   ,201809160026,104,1001001009
CWB ,B1   ,201809160027,110,1001001009
CWB ,B1   ,201809160028,126,1001001009
CWB ,B1   ,201809160029,153,1001001009
CWB ,B1   ,201809160030,119,1001001009
CWB ,B1   ,201809160031,131,1001001009
CWB ,B1   ,201809160032,118,1001001009
CWB ,B1   ,201809160033,101,1001001009
CWB ,B1   ,201809160034,129,1001001009
CWB ,B1   ,201809160035,139,1001001009
CWB ,B1   ,201809160036,111,1001001009
CWB ,B1   ,201809160037,,
CWB ,B1   ,201809160038,143,1001001009
CWB ,B1   ,201809160039,,
CWB ,B1   ,201809160040,136,1001001009
CWB ,B1   ,201809160041,103,1001001009
CWB ,B1   ,201809160042,119,1001001009
CWB ,B1   ,201809160043,72,1001001009
CWB ,B1   ,201809160044,78,1001001009
CWB ,B1   ,201809160045,76,1001001009
CWB ,B1   ,201809160046,60,1001001009
CWB ,B1   ,201809160047,59,1001001009
CWB ,B1   ,201809160048,80,1001001009
CWB ,B1   ,201809160049,91,1001001009
CWB ,B1   ,201809160050,100,1001001009
CWB ,B1   ,201809160051,97,1001001009
CWB ,B1   ,201809160052,88,1001001009
CWB ,B1   ,201809160053,102,1001001009
CWB ,B1   ,201809160054,112,1001001009
CWB ,B1   ,201809160055,131,1001001009
CWB ,B1   ,201809160056,116,1001001009
CWB ,B1   ,201809160057,97,1001001009
CWB ,B1   ,201809160058,95,1001001009
CWB ,B1   ,201809160059,105,1001001009
CWB ,B1   ,201809160100,128,1001001009
CWB ,B1   ,201809160101,118,1001001009
CWB ,B1   ,201809160102,127,1001001009
