JKB ,B1   ,201809160000,37,1001001009
JKB ,B1   ,201809160001,29,1001001009
JKB ,B1   ,201809160002,32,1001001009
JKB ,B1   ,201809160003,29,1001001009
JKB ,B1   ,201809160004,53,1001001009
JKB ,B1   ,201809160005,54,1001001009
JKB ,B1   ,201809160006,60,1001001009
JKB ,B1   ,201809160007,33,1001001009
JKB ,B1   ,201809160008,34,1001001009
JKB ,B1   ,201809160009,23,1001001009
JKB ,B1   ,201809160010,25,1001001009
JKB ,B1   ,201809160011,39,1001001009
JKB ,B1   ,201809160012,50,1001001009
JKB ,B1   ,201809160013,28,1001001009
JKB ,B1   ,201809160014,23,1001001009
JKB ,B1   ,201809160015,25,1001001009
JKB ,B1   ,201809160016,53,1001001009
JKB ,B1   ,201809160017,64,1001001009
JKB ,B1   ,201809160018,33,1001001009
JKB ,B1   ,201809160019,49,1001001009
JKB ,B1   ,201809160020,51,1001001009
JKB ,B1   ,201809160021,41,1001001009
JKB ,B1   ,201809160022,43,1001001009
JKB ,B1   ,201809160023,26,1001001009
JKB ,B1   ,201809160024,41,1001001009
JKB ,B1   ,201809160025,43,1001001009
JKB ,B1   ,201809160026,51,1001001009
JKB ,B1   ,201809160027,31,1001001009
JKB ,B1   ,201809160028,37,1001001009
JKB ,B1   ,201809160029,17,1001001009
JKB ,B1   ,201809160030,55,1001001009
JKB ,B1   ,201809160031,51,1001001009
JKB ,B1   ,201809160032,90,1001001009
JKB ,B1   ,201809160033,42,1001001009
JKB ,B1   ,201809160034,27,1001001009
JKB ,B1   ,201809160035,60,1001001009
JKB ,B1   ,201809160036,48,1001001009
JKB ,B1   ,201809160037,34,1001001009
JKB ,B1   ,201809160038,40,1001001009
JKB ,B1   ,201809160039,49,1001001009
JKB ,B1   ,201809160040,53,1001001009
JKB ,B1   ,201809160041,69,1001001009
JKB ,B1   ,201809160042,37,1001001009
JKB ,B1   ,201809160043,43,1001001009
JKB ,B1   ,201809160044,34,1001001009
JKB ,B1   ,201809160045,31,1001001009
JKB ,B1   ,201809160046,46,1001001009
JKB ,B1   ,201809160047,50,1001001009
JKB ,B1   ,201809160048,29,1001001009
JKB ,B1   ,201809160049,39,1001001009
JKB ,B1   ,201809160050,24,1001001009
JKB ,B1   ,201809160051,47,1001001009
JKB ,B1   ,201809160052,58,1001001009
