LAM ,B1   ,201809160000,29,1001001009
LAM ,B1   ,201809160001,31,1001001009
LAM ,B1   ,201809160002,49,1001001009
LAM ,B1   ,201809160003,42,1001001009
LAM ,B1   ,201809160004,48,1001001009
LAM ,B1   ,201809160005,33,1001001009
LAM ,B1   ,201809160006,29,1001001009
LAM ,B1   ,201809160007,78,1001001009
LAM ,B1   ,201809160008,68,1001001009
LAM ,B1   ,201809160009,85,1001001009
LAM ,B1   ,201809160010,85,1001001009
LAM ,B1   ,201809160011,45,1001001009
LAM ,B1   ,201809160012,90,1001001009
LAM ,B1   ,201809160013,48,1001001009
LAM ,B1   ,201809160014,38,1001001009
LAM ,B1   ,201809160015,78,1001001009
LAM ,B1   ,201809160016,59,1001001009
LAM ,B1   ,201809160017,53,1001001009
LAM ,B1   ,201809160018,27,1001001009
LAM ,B1   ,201809160019,44,1001001009
LAM ,B1   ,201809160020,78,1001001009
LAM ,B1   ,201809160021,62,1001001009
LAM ,B1   ,201809160022,40,1001001009
LAM ,B1   ,201809160023,12,1001001009
LAM ,B1   ,201809160024,63,1001001009
LAM ,B1   ,201809160025,34,1001001009
LAM ,B1   ,201809160026,53,1001001009
LAM ,B1   ,201809160027,52,1001001009
LAM ,B1   ,201809160028,66,1001001009
LAM ,B1   ,201809160029,64,1001001009
LAM ,B1   ,201809160030,51,1001001009
LAM ,B1   ,201809160031,50,1001001009
LAM ,B1   ,201809160032,62,1001001009
LAM ,B1   ,201809160033,90,1001001009
LAM ,B1   ,201809160034,77,1001001009
LAM ,B1   ,201809160035,98,1001001009
LAM ,B1   ,201809160036,67,1001001009
LAM ,B1   ,201809160037,50,1001001009
LAM ,B1   ,201809160038,58,1001001009
LAM ,B1   ,201809160039,77,1001001009
LAM ,B1   ,201809160040,94,1001001009
LAM ,B1   ,201809160041,107,1001001009
LAM ,B1   ,201809160042,88,1001001009
LAM ,B1   ,201809160043,83,1001001009
LAM ,B1   ,201809160044,64,1001001009
LAM ,B1   ,201809160045,61,1001001009
LAM ,B1   ,201809160046,60,1001001009
LAM ,B1   ,201809160047,64,1001001009
LAM ,B1   ,201809160048,64,1001001009
LAM ,B1   ,201809160049,69,1001001009
LAM ,B1   ,201809160050,75,1001001009
LAM ,B1   ,201809160051,82,1001001009
LAM ,B1   ,201809160052,52,1001001009
LAM ,B1   ,201809160053,76,1001001009
LAM ,B1   ,201809160054,54,1001001009
LAM ,B1   ,201809160055,88,1001001009
LAM ,B1   ,201809160056,51,1001001009
LAM ,B1   ,201809160057,69,1001001009
LAM ,B1   ,201809160058,88,1001001009
LAM ,B1   ,201809160059,73,1001001009
LAM ,B1   ,201809160100,90,1001001009
LAM ,B1   ,201809160101,56,1001001009
LAM ,B1   ,201809160102,64,1001001009
LAM ,B1   ,201809160103,55,1001001009
LAM ,B1   ,201809160104,46,1001001009
LAM ,B1   ,201809160105,46,1001001009
LAM ,B1   ,201809160106,38,1001001009
LAM ,B1   ,201809160107,65,1001001009
LAM ,B1   ,201809160108,75,1001001009
LAM ,B1   ,201809160109,70,1001001009
LAM ,B1   ,201809160110,86,1001001009
LAM ,B1   ,201809160111,79,1001001009
LAM ,B1   ,201809160112,53,1001001009
LAM ,B1   ,201809160113,57,1001001009
LAM ,B1   ,201809160114,69,1001001009
LAM ,B1   ,201809160115,57,1001001009
LAM ,B1   ,201809160116,77,1001001009
LAM ,B1   ,201809160117,82,1001001009
LAM ,B1   ,201809160118,79,1001001009
LAM ,B1   ,201809160119,73,1001001009
LAM ,B1   ,201809160120,66,1001001009
LAM ,B1   ,201809160121,58,1001001009
LAM ,B1   ,201809160122,44,1001001009
LAM ,B1   ,201809160123,75,1001001009
LAM ,B1   ,201809160124,77,1001001009
LAM ,B1   ,201809160125,64,1001001009
LAM ,B1   ,201809160126,92,1001001009
LAM ,B1   ,201809160127,46,1001001009
LAM ,B1   ,201809160128,36,1001001009
LAM ,B1   ,201809160129,38,1001001009
LAM ,B1   ,201809160130,49,1001001009
LAM ,B1   ,201809160131,42,1001001009
LAM ,B1   ,201809160132,34,1001001009
LAM ,B1   ,201809160133,52,1001001009
LAM ,B1   ,201809160134,70,1001001009
LAM ,B1   ,201809160135,65,1001001009
LAM ,B1   ,201809160136,54,1001001009
LAM ,B1   ,201809160137,54,1001001009
LAM ,B1   ,201809160138,68,1001001009
LAM ,B1   ,201809160139,29,1001001009
LAM ,B1   ,201809160140,57,1001001009
LAM ,B1   ,201809160141,67,1001001009
LAM ,B1   ,201809160142,30,1001001009
LAM ,B1   ,201809160143,25,1001001009
LAM ,B1   ,201809160144,38,1001001009
LAM ,B1   ,201809160145,33,1001001009
LAM ,B1   ,201809160146,40,1001001009
LAM ,B1   ,201809160147,61,1001001009
LAM ,B1   ,201809160148,48,1001001009
LAM ,B1   ,201809160149,32,1001001009
LAM ,B1   ,201809160150,47,1001001009
LAM ,B1   ,201809160151,32,1001001009
LAM ,B1   ,201809160152,61,1001001009
LAM ,B1   ,201809160153,38,1001001009
LAM ,B1   ,201809160154,34,1001001009
LAM ,B1   ,201809160155,51,1001001009
LAM ,B1   ,201809160156,83,1001001009
LAM ,B1   ,201809160157,69,1001001009
LAM ,B1   ,201809160158,43,1001001009
LAM ,B1   ,201809160159,54,1001001009
LAM ,B1   ,201809160200,76,1001001009
LAM ,B1   ,201809160201,83,1001001009
LAM ,B1   ,201809160202,48,1001001009
LAM ,B1   ,201809160203,59,1001001009
LAM ,B1   ,201809160204,44,1001001009
LAM ,B1   ,201809160205,39,1001001009
LAM ,B1   ,201809160206,46,1001001009
LAM ,B1   ,201809160207,71,1001001009
LAM ,B1   ,201809160208,62,1001001009
LAM ,B1   ,201809160209,52,1001001009
LAM ,B1   ,201809160210,42,1001001009
LAM ,B1   ,201809160211,31,1001001009
LAM ,B1   ,201809160212,59,1001001009
LAM ,B1   ,201809160213,31,1001001009
LAM ,B1   ,201809160214,74,1001001009
LAM ,B1   ,201809160215,50,1001001009
LAM ,B1   ,201809160216,42,1001001009
LAM ,B1   ,201809160217,50,1001001009
LAM ,B1   ,201809160218,60,1001001009
LAM ,B1   ,201809160219,59,1001001009
LAM ,B1   ,201809160220,93,1001001009
LAM ,B1   ,201809160221,55,1001001009
LAM ,B1   ,201809160222,46,1001001009
LAM ,B1   ,201809160223,64,1001001009
LAM ,B1   ,201809160224,84,1001001009
LAM ,B1   ,201809160225,74,1001001009
LAM ,B1   ,201809160226,59,1001001009
LAM ,B1   ,201809160227,78,1001001009
LAM ,B1   ,201809160228,89,1001001009
LAM ,B1   ,201809160229,119,1001001009
LAM ,B1   ,201809160230,91,1001001009
LAM ,B1   ,201809160231,102,1001001009
LAM ,B1   ,201809160232,104,1001001009
LAM ,B1   ,201809160233,85,1001001009
LAM ,B1   ,201809160234,76,1001001009
LAM ,B1   ,201809160235,69,1001001009
LAM ,B1   ,201809160236,61,1001001009
LAM ,B1   ,201809160237,48,1001001009
LAM ,B1   ,201809160238,47,1001001009
LAM ,B1   ,201809160239,79,1001001009
LAM ,B1   ,201809160240,75,1001001009
LAM ,B1   ,201809160241,65,1001001009
LAM ,B1   ,201809160242,80,1001001009
LAM ,B1   ,201809160243,69,1001001009
LAM ,B1   ,201809160244,43,1001001009
LAM ,B1   ,201809160245,45,1001001009
LAM ,B1   ,201809160246,54,1001001009
LAM ,B1   ,201809160247,51,1001001009
LAM ,B1   ,201809160248,47,1001001009
LAM ,B1   ,201809160249,51,1001001009
LAM ,B1   ,201809160250,72,1001001009
LAM ,B1   ,201809160251,61,1001001009
LAM ,B1   ,201809160252,66,1001001009
LAM ,B1   ,201809160253,91,1001001009
LAM ,B1   ,201809160254,64,1001001009
LAM ,B1   ,201809160255,56,1001001009
LAM ,B1   ,201809160256,41,1001001009
LAM ,B1   ,201809160257,43,1001001009
LAM ,B1   ,201809160258,66,1001001009
LAM ,B1   ,201809160259,50,1001001009
LAM ,B1   ,201809160300,60,1001001009
LAM ,B1   ,201809160301,110,1001001009
LAM ,B1   ,201809160302,120,1001001009
LAM ,B1   ,201809160303,90,1001001009
LAM ,B1   ,201809160304,117,1001001009
LAM ,B1   ,201809160305,108,1001001009
LAM ,B1   ,201809160306,131,1001001009
LAM ,B1   ,201809160307,122,1001001009
LAM ,B1   ,201809160308,74,1001001009
LAM ,B1   ,201809160309,87,1001001009
LAM ,B1   ,201809160310,105,1001001009
LAM ,B1   ,201809160311,118,1001001009
LAM ,B1   ,201809160312,68,1001001009
LAM ,B1   ,201809160313,95,1001001009
LAM ,B1   ,201809160314,94,1001001009
LAM ,B1   ,201809160315,73,1001001009
LAM ,B1   ,201809160316,74,1001001009
LAM ,B1   ,201809160317,85,1001001009
LAM ,B1   ,201809160318,95,1001001009
LAM ,B1   ,201809160319,99,1001001009
LAM ,B1   ,201809160320,68,1001001009
LAM ,B1   ,201809160321,87,1001001009
LAM ,B1   ,201809160322,71,1001001009
LAM ,B1   ,201809160323,81,1001001009
LAM ,B1   ,201809160324,83,1001001009
LAM ,B1   ,201809160325,47,1001001009
LAM ,B1   ,201809160326,49,1001001009
LAM ,B1   ,201809160327,97,1001001009
LAM ,B1   ,201809160328,98,1001001009
LAM ,B1   ,201809160329,85,1001001009
LAM ,B1   ,201809160330,97,1001001009
LAM ,B1   ,201809160331,81,1001001009
LAM ,B1   ,201809160332,74,1001001009
LAM ,B1   ,201809160333,74,1001001009
LAM ,B1   ,201809160334,71,1001001009
LAM ,B1   ,201809160335,68,1001001009
LAM ,B1   ,201809160336,86,1001001009
LAM ,B1   ,201809160337,75,1001001009
LAM ,B1   ,201809160338,99,1001001009
LAM ,B1   ,201809160339,83,1001001009
LAM ,B1   ,201809160340,81,1001001009
LAM ,B1   ,201809160341,71,1001001009
LAM ,B1   ,201809160342,62,1001001009
LAM ,B1   ,201809160343,98,1001001009
LAM ,B1   ,201809160344,80,1001001009
LAM ,B1   ,201809160345,94,1001001009
LAM ,B1   ,201809160346,108,1001001009
LAM ,B1   ,201809160347,82,1001001009
LAM ,B1   ,201809160348,78,1001001009
LAM ,B1   ,201809160349,66,1001001009
LAM ,B1   ,201809160350,74,1001001009
LAM ,B1   ,201809160351,58,1001001009
LAM ,B1   ,201809160352,37,1001001009
LAM ,B1   ,201809160353,88,1001001009
LAM ,B1   ,201809160354,79,1001001009
LAM ,B1   ,201809160355,90,1001001009
LAM ,B1   ,201809160356,43,1001001009
LAM ,B1   ,201809160357,100,1001001009
LAM ,B1   ,201809160358,77,1001001009
LAM ,B1   ,201809160359,63,1001001009
LAM ,B1   ,201809160400,86,1001001009
LAM ,B1   ,201809160401,74,1001001009
LAM ,B1   ,201809160402,82,1001001009
LAM ,B1   ,201809160403,98,1001001009
LAM ,B1   ,201809160404,76,1001001009
LAM ,B1   ,201809160405,82,1001001009
LAM ,B1   ,201809160406,97,1001001009
LAM ,B1   ,201809160407,129,1001001009
LAM ,B1   ,201809160408,88,1001001009
LAM ,B1   ,201809160409,84,1001001009
LAM ,B1   ,201809160410,72,1001001009
LAM ,B1   ,201809160411,87,1001001009
LAM ,B1   ,201809160412,74,1001001009
LAM ,B1   ,201809160413,91,1001001009
LAM ,B1   ,201809160414,78,1001001009
LAM ,B1   ,201809160415,105,1001001009
LAM ,B1   ,201809160416,113,1001001009
LAM ,B1   ,201809160417,99,1001001009
LAM ,B1   ,201809160418,97,1001001009
LAM ,B1   ,201809160419,86,1001001009
LAM ,B1   ,201809160420,61,1001001009
LAM ,B1   ,201809160421,93,1001001009
LAM ,B1   ,201809160422,105,1001001009
LAM ,B1   ,201809160423,70,1001001009
LAM ,B1   ,201809160424,90,1001001009
LAM ,B1   ,201809160425,109,1001001009
LAM ,B1   ,201809160426,95,1001001009
LAM ,B1   ,201809160427,117,1001001009
LAM ,B1   ,201809160428,137,1001001009
LAM ,B1   ,201809160429,97,1001001009
LAM ,B1   ,201809160430,101,1001001009
LAM ,B1   ,201809160431,94,1001001009
LAM ,B1   ,201809160432,88,1001001009
LAM ,B1   ,201809160433,99,1001001009
LAM ,B1   ,201809160434,100,1001001009
LAM ,B1   ,201809160435,76,1001001009
LAM ,B1   ,201809160436,106,1001001009
LAM ,B1   ,201809160437,108,1001001009
LAM ,B1   ,201809160438,92,1001001009
LAM ,B1   ,201809160439,62,1001001009
LAM ,B1   ,201809160440,60,1001001009
LAM ,B1   ,201809160441,54,1001001009
LAM ,B1   ,201809160442,69,1001001009
LAM ,B1   ,201809160443,98,1001001009
LAM ,B1   ,201809160444,78,1001001009
LAM ,B1   ,201809160445,87,1001001009
LAM ,B1   ,201809160446,49,1001001009
LAM ,B1   ,201809160447,80,1001001009
LAM ,B1   ,201809160448,73,1001001009
LAM ,B1   ,201809160449,97,1001001009
LAM ,B1   ,201809160450,73,1001001009
LAM ,B1   ,201809160451,51,1001001009
LAM ,B1   ,201809160452,58,1001001009
LAM ,B1   ,201809160453,44,1001001009
LAM ,B1   ,201809160454,44,1001001009
LAM ,B1   ,201809160455,35,1001001009
LAM ,B1   ,201809160456,61,1001001009
LAM ,B1   ,201809160457,43,1001001009
LAM ,B1   ,201809160458,70,1001001009
LAM ,B1   ,201809160459,81,1001001009
LAM ,B1   ,201809160500,87,1001001009
LAM ,B1   ,201809160501,63,1001001009
LAM ,B1   ,201809160502,73,1001001009
LAM ,B1   ,201809160503,27,1001001009
LAM ,B1   ,201809160504,47,1001001009
LAM ,B1   ,201809160505,52,1001001009
LAM ,B1   ,201809160506,105,1001001009
LAM ,B1   ,201809160507,93,1001001009
LAM ,B1   ,201809160508,56,1001001009
LAM ,B1   ,201809160509,82,1001001009
LAM ,B1   ,201809160510,50,1001001009
LAM ,B1   ,201809160511,52,1001001009
LAM ,B1   ,201809160512,55,1001001009
LAM ,B1   ,201809160513,45,1001001009
LAM ,B1   ,201809160514,77,1001001009
LAM ,B1   ,201809160515,53,1001001009
LAM ,B1   ,201809160516,45,1001001009
LAM ,B1   ,201809160517,46,1001001009
LAM ,B1   ,201809160518,43,1001001009
LAM ,B1   ,201809160519,45,1001001009
LAM ,B1   ,201809160520,58,1001001009
LAM ,B1   ,201809160521,79,1001001009
LAM ,B1   ,201809160522,81,1001001009
LAM ,B1   ,201809160523,71,1001001009
LAM ,B1   ,201809160524,43,1001001009
LAM ,B1   ,201809160525,70,1001001009
LAM ,B1   ,201809160526,52,1001001009
LAM ,B1   ,201809160527,53,1001001009
LAM ,B1   ,201809160528,69,1001001009
LAM ,B1   ,201809160529,70,1001001009
LAM ,B1   ,201809160530,85,1001001009
LAM ,B1   ,201809160531,83,1001001009
LAM ,B1   ,201809160532,71,1001001009
LAM ,B1   ,201809160533,85,1001001009
LAM ,B1   ,201809160534,98,1001001009
LAM ,B1   ,201809160535,77,1001001009
LAM ,B1   ,201809160536,57,1001001009
LAM ,B1   ,201809160537,52,1001001009
LAM ,B1   ,201809160538,66,1001001009
LAM ,B1   ,201809160539,70,1001001009
LAM ,B1   ,201809160540,66,1001001009
LAM ,B1   ,201809160541,47,1001001009
LAM ,B1   ,201809160542,67,1001001009
LAM ,B1   ,201809160543,73,1001001009
LAM ,B1   ,201809160544,79,1001001009
LAM ,B1   ,201809160545,96,1001001009
LAM ,B1   ,201809160546,90,1001001009
LAM ,B1   ,201809160547,82,1001001009
LAM ,B1   ,201809160548,78,1001001009
LAM ,B1   ,201809160549,75,1001001009
LAM ,B1   ,201809160550,78,1001001009
LAM ,B1   ,201809160551,88,1001001009
LAM ,B1   ,201809160552,63,1001001009
LAM ,B1   ,201809160553,65,1001001009
LAM ,B1   ,201809160554,64,1001001009
LAM ,B1   ,201809160555,57,1001001009
LAM ,B1   ,201809160556,65,1001001009
LAM ,B1   ,201809160557,66,1001001009
LAM ,B1   ,201809160558,76,1001001009
LAM ,B1   ,201809160559,54,1001001009
LAM ,B1   ,201809160600,37,1001001009
LAM ,B1   ,201809160601,47,1001001009
LAM ,B1   ,201809160602,45,1001001009
LAM ,B1   ,201809160603,83,1001001009
LAM ,B1   ,201809160604,97,1001001009
LAM ,B1   ,201809160605,92,1001001009
LAM ,B1   ,201809160606,107,1001001009
LAM ,B1   ,201809160607,106,1001001009
LAM ,B1   ,201809160608,94,1001001009
LAM ,B1   ,201809160609,102,1001001009
LAM ,B1   ,201809160610,126,1001001009
LAM ,B1   ,201809160611,65,1001001009
LAM ,B1   ,201809160612,128,1001001009
LAM ,B1   ,201809160613,122,1001001009
LAM ,B1   ,201809160614,120,1001001009
LAM ,B1   ,201809160615,120,1001001009
LAM ,B1   ,201809160616,109,1001001009
LAM ,B1   ,201809160617,99,1001001009
LAM ,B1   ,201809160618,100,1001001009
LAM ,B1   ,201809160619,56,1001001009
LAM ,B1   ,201809160620,71,1001001009
LAM ,B1   ,201809160621,123,1001001009
LAM ,B1   ,201809160622,112,1001001009
LAM ,B1   ,201809160623,111,1001001009
LAM ,B1   ,201809160624,94,1001001009
LAM ,B1   ,201809160625,77,1001001009
LAM ,B1   ,201809160626,124,1001001009
LAM ,B1   ,201809160627,81,1001001009
LAM ,B1   ,201809160628,126,1001001009
LAM ,B1   ,201809160629,110,1001001009
LAM ,B1   ,201809160630,92,1001001009
LAM ,B1   ,201809160631,85,1001001009
LAM ,B1   ,201809160632,99,1001001009
LAM ,B1   ,201809160633,118,1001001009
LAM ,B1   ,201809160634,96,1001001009
LAM ,B1   ,201809160635,98,1001001009
LAM ,B1   ,201809160636,87,1001001009
LAM ,B1   ,201809160637,66,1001001009
LAM ,B1   ,201809160638,83,1001001009
LAM ,B1   ,201809160639,85,1001001009
LAM ,B1   ,201809160640,127,1001001009
LAM ,B1   ,201809160641,93,1001001009
LAM ,B1   ,201809160642,108,1001001009
LAM ,B1   ,201809160643,129,1001001009
LAM ,B1   ,201809160644,98,1001001009
LAM ,B1   ,201809160645,86,1001001009
LAM ,B1   ,201809160646,124,1001001009
LAM ,B1   ,201809160647,72,1001001009
LAM ,B1   ,201809160648,94,1001001009
LAM ,B1   ,201809160649,134,1001001009
LAM ,B1   ,201809160650,89,1001001009
LAM ,B1   ,201809160651,126,1001001009
LAM ,B1   ,201809160652,92,1001001009
LAM ,B1   ,201809160653,123,1001001009
LAM ,B1   ,201809160654,123,1001001009
LAM ,B1   ,201809160655,118,1001001009
LAM ,B1   ,201809160656,77,1001001009
LAM ,B1   ,201809160657,54,1001001009
LAM ,B1   ,201809160658,90,1001001009
LAM ,B1   ,201809160659,100,1001001009
LAM ,B1   ,201809160700,90,1001001009
LAM ,B1   ,201809160701,75,1001001009
LAM ,B1   ,201809160702,90,1001001009
LAM ,B1   ,201809160703,83,1001001009
LAM ,B1   ,201809160704,109,1001001009
LAM ,B1   ,201809160705,107,1001001009
LAM ,B1   ,201809160706,56,1001001009
LAM ,B1   ,201809160707,92,1001001009
LAM ,B1   ,201809160708,106,1001001009
LAM ,B1   ,201809160709,73,1001001009
LAM ,B1   ,201809160710,69,1001001009
LAM ,B1   ,201809160711,73,1001001009
LAM ,B1   ,201809160712,57,1001001009
LAM ,B1   ,201809160713,83,1001001009
LAM ,B1   ,201809160714,83,1001001009
LAM ,B1   ,201809160715,119,1001001009
LAM ,B1   ,201809160716,112,1001001009
LAM ,B1   ,201809160717,96,1001001009
LAM ,B1   ,201809160718,83,1001001009
LAM ,B1   ,201809160719,89,1001001009
LAM ,B1   ,201809160720,85,1001001009
LAM ,B1   ,201809160721,124,1001001009
LAM ,B1   ,201809160722,108,1001001009
LAM ,B1   ,201809160723,102,1001001009
LAM ,B1   ,201809160724,94,1001001009
LAM ,B1   ,201809160725,117,1001001009
LAM ,B1   ,201809160726,116,1001001009
LAM ,B1   ,201809160727,81,1001001009
LAM ,B1   ,201809160728,98,1001001009
LAM ,B1   ,201809160729,95,1001001009
LAM ,B1   ,201809160730,115,1001001009
LAM ,B1   ,201809160731,115,1001001009
LAM ,B1   ,201809160732,100,1001001009
LAM ,B1   ,201809160733,79,1001001009
LAM ,B1   ,201809160734,57,1001001009
LAM ,B1   ,201809160735,106,1001001009
LAM ,B1   ,201809160736,97,1001001009
LAM ,B1   ,201809160737,69,1001001009
LAM ,B1   ,201809160738,65,1001001009
LAM ,B1   ,201809160739,112,1001001009
LAM ,B1   ,201809160740,100,1001001009
LAM ,B1   ,201809160741,131,1001001009
LAM ,B1   ,201809160742,107,1001001009
LAM ,B1   ,201809160743,131,1001001009
LAM ,B1   ,201809160744,95,1001001009
LAM ,B1   ,201809160745,92,1001001009
LAM ,B1   ,201809160746,130,1001001009
LAM ,B1   ,201809160747,82,1001001009
LAM ,B1   ,201809160748,133,1001001009
LAM ,B1   ,201809160749,113,1001001009
LAM ,B1   ,201809160750,113,1001001009
LAM ,B1   ,201809160751,123,1001001009
LAM ,B1   ,201809160752,126,1001001009
LAM ,B1   ,201809160753,87,1001001009
LAM ,B1   ,201809160754,118,1001001009
LAM ,B1   ,201809160755,130,1001001009
LAM ,B1   ,201809160756,138,1001001009
LAM ,B1   ,201809160757,86,1001001009
LAM ,B1   ,201809160758,92,1001001009
LAM ,B1   ,201809160759,123,1001001009
LAM ,B1   ,201809160800,127,1001001009
LAM ,B1   ,201809160801,120,1001001009
LAM ,B1   ,201809160802,120,1001001009
LAM ,B1   ,201809160803,117,1001001009
LAM ,B1   ,201809160804,101,1001001009
LAM ,B1   ,201809160805,117,1001001009
LAM ,B1   ,201809160806,94,1001001009
LAM ,B1   ,201809160807,112,1001001009
LAM ,B1   ,201809160808,109,1001001009
LAM ,B1   ,201809160809,119,1001001009
LAM ,B1   ,201809160810,81,1001001009
LAM ,B1   ,201809160811,75,1001001009
LAM ,B1   ,201809160812,75,1001001009
LAM ,B1   ,201809160813,64,1001001009
LAM ,B1   ,201809160814,61,1001001009
LAM ,B1   ,201809160815,54,1001001009
LAM ,B1   ,201809160816,88,1001001009
LAM ,B1   ,201809160817,93,1001001009
LAM ,B1   ,201809160818,80,1001001009
LAM ,B1   ,201809160819,84,1001001009
LAM ,B1   ,201809160820,76,1001001009
LAM ,B1   ,201809160821,95,1001001009
LAM ,B1   ,201809160822,97,1001001009
LAM ,B1   ,201809160823,91,1001001009
LAM ,B1   ,201809160824,104,1001001009
LAM ,B1   ,201809160825,81,1001001009
LAM ,B1   ,201809160826,61,1001001009
