NP  ,B1   ,201809160000,76,1001001009
NP  ,B1   ,201809160001,84,1001001009
NP  ,B1   ,201809160002,82,1001001009
NP  ,B1   ,201809160003,69,1001001009
NP  ,B1   ,201809160004,70,1001001009
NP  ,B1   ,201809160005,88,1001001009
NP  ,B1   ,201809160006,110,1001001009
NP  ,B1   ,201809160007,88,1001001009
NP  ,B1   ,201809160008,77,1001001009
NP  ,B1   ,201809160009,95,1001001009
NP  ,B1   ,201809160010,78,1001001009
NP  ,B1   ,201809160011,75,1001001009
NP  ,B1   ,201809160012,94,1001001009
NP  ,B1   ,201809160013,82,1001001009
NP  ,B1   ,201809160014,82,1001001009
NP  ,B1   ,201809160015,104,1001001009
NP  ,B1   ,201809160016,126,1001001009
NP  ,B1   ,201809160017,77,1001001009
NP  ,B1   ,201809160018,69,1001001009
NP  ,B1   ,201809160019,64,1001001009
NP  ,B1   ,201809160020,73,1001001009
NP  ,B1   ,201809160021,69,1001001009
NP  ,B1   ,201809160022,57,1001001009
NP  ,B1   ,201809160023,50,1001001009
NP  ,B1   ,201809160024,75,1001001009
NP  ,B1   ,201809160025,82,1001001009
NP  ,B1   ,201809160026,90,1001001009
NP  ,B1   ,201809160027,85,1001001009
NP  ,B1   ,201809160028,86,1001001009
NP  ,B1   ,201809160029,67,1001001009
NP  ,B1   ,201809160030,101,1001001009
NP  ,B1   ,201809160031,103,1001001009
NP  ,B1   ,201809160032,80,1001001009
NP  ,B1   ,201809160033,110,1001001009
NP  ,B1   ,201809160034,115,1001001009
NP  ,B1   ,201809160035,88,1001001009
NP  ,B1   ,201809160036,53,1001001009
NP  ,B1   ,201809160037,67,1001001009
NP  ,B1   ,201809160038,93,1001001009
NP  ,B1   ,201809160039,113,1001001009
NP  ,B1   ,201809160040,119,1001001009
NP  ,B1   ,201809160041,88,1001001009
NP  ,B1   ,201809160042,87,1001001009
NP  ,B1   ,201809160043,81,1001001009
NP  ,B1   ,201809160044,77,1001001009
NP  ,B1   ,201809160045,102,1001001009
NP  ,B1   ,201809160046,74,1001001009
NP  ,B1   ,201809160047,81,1001001009
NP  ,B1   ,201809160048,69,1001001009
NP  ,B1   ,201809160049,59,1001001009
NP  ,B1   ,201809160050,80,1001001009
NP  ,B1   ,201809160051,76,1001001009
NP  ,B1   ,201809160052,87,1001001009
NP  ,B1   ,201809160053,62,1001001009
NP  ,B1   ,201809160054,60,1001001009
NP  ,B1   ,201809160055,78,1001001009
NP  ,B1   ,201809160056,54,1001001009
NP  ,B1   ,201809160057,79,1001001009
