PLC ,B1   ,201809160000,73,1001001009
PLC ,B1   ,201809160001,83,1001001009
PLC ,B1   ,201809160002,93,1001001009
PLC ,B1   ,201809160003,108,1001001009
PLC ,B1   ,201809160004,110,1001001009
PLC ,B1   ,201809160005,103,1001001009
PLC ,B1   ,201809160006,101,1001001009
PLC ,B1   ,201809160007,102,1001001009
PLC ,B1   ,201809160008,120,1001001009
PLC ,B1   ,201809160009,113,1001001009
PLC ,B1   ,201809160010,90,1001001009
PLC ,B1   ,201809160011,82,1001001009
PLC ,B1   ,201809160012,93,1001001009
PLC ,B1   ,201809160013,92,1001001009
PLC ,B1   ,201809160014,98,1001001009
PLC ,B1   ,201809160015,102,1001001009
PLC ,B1   ,201809160016,96,1001001009
PLC ,B1   ,201809160017,112,1001001009
PLC ,B1   ,201809160018,129,1001001009
PLC ,B1   ,201809160019,111,1001001009
PLC ,B1   ,201809160020,103,1001001009
PLC ,B1   ,201809160021,94,1001001009
PLC ,B1   ,201809160022,83,1001001009
PLC ,B1   ,201809160023,92,1001001009
PLC ,B1   ,201809160024,82,1001001009
PLC ,B1   ,201809160025,76,1001001009
PLC ,B1   ,201809160026,84,1001001009
PLC ,B1   ,201809160027,86,1001001009
PLC ,B1   ,201809160028,72,1001001009
PLC ,B1   ,201809160029,80,1001001009
PLC ,B1   ,201809160030,98,1001001009
PLC ,B1   ,201809160031,120,1001001009
PLC ,B1   ,201809160032,102,1001001009
PLC ,B1   ,201809160033,88,1001001009
PLC ,B1   ,201809160034,96,1001001009
PLC ,B1   ,201809160035,102,1001001009
PLC ,B1   ,201809160036,86,1001001009
PLC ,B1   ,201809160037,130,1001001009
PLC ,B1   ,201809160038,106,1001001009
PLC ,B1   ,201809160039,112,1001001009
PLC ,B1   ,201809160040,136,1001001009
PLC ,B1   ,201809160041,131,1001001009
PLC ,B1   ,201809160042,109,1001001009
PLC ,B1   ,201809160043,87,1001001009
PLC ,B1   ,201809160044,113,1001001009
PLC ,B1   ,201809160045,96,1001001009
PLC ,B1   ,201809160046,150,1001001009
PLC ,B1   ,201809160047,129,1001001009
PLC ,B1   ,201809160048,128,1001001009
PLC ,B1   ,201809160049,89,1001001009
PLC ,B1   ,201809160050,112,1001001009
PLC ,B1   ,201809160051,111,1001001009
PLC ,B1   ,201809160052,114,1001001009
PLC ,B1   ,201809160053,85,1001001009
PLC ,B1   ,201809160054,117,1001001009
PLC ,B1   ,201809160055,104,1001001009
PLC ,B1   ,201809160056,112,1001001009
PLC ,B1   ,201809160057,108,1001001009
PLC ,B1   ,201809160058,107,1001001009
PLC ,B1   ,201809160059,130,1001001009
PLC ,B1   ,201809160100,132,1001001009
PLC ,B1   ,201809160101,106,1001001009
PLC ,B1   ,201809160102,107,1001001009
PLC ,B1   ,201809160103,141,1001001009
PLC ,B1   ,201809160104,149,1001001009
PLC ,B1   ,201809160105,140,1001001009
PLC ,B1   ,201809160106,125,1001001009
PLC ,B1   ,201809160107,125,1001001009
PLC ,B1   ,201809160108,123,1001001009
PLC ,B1   ,201809160109,96,1001001009
PLC ,B1   ,201809160110,85,1001001009
PLC ,B1   ,201809160111,115,1001001009
PLC ,B1   ,201809160112,113,1001001009
PLC ,B1   ,201809160113,134,1001001009
PLC ,B1   ,201809160114,88,1001001009
PLC ,B1   ,201809160115,105,1001001009
PLC ,B1   ,201809160116,91,1001001009
PLC ,B1   ,201809160117,132,1001001009
PLC ,B1   ,201809160118,122,1001001009
PLC ,B1   ,201809160119,97,1001001009
PLC ,B1   ,201809160120,117,1001001009
PLC ,B1   ,201809160121,142,1001001009
PLC ,B1   ,201809160122,92,1001001009
PLC ,B1   ,201809160123,124,1001001009
PLC ,B1   ,201809160124,123,1001001009
PLC ,B1   ,201809160125,102,1001001009
PLC ,B1   ,201809160126,86,1001001009
PLC ,B1   ,201809160127,88,1001001009
PLC ,B1   ,201809160128,71,1001001009
PLC ,B1   ,201809160129,106,1001001009
PLC ,B1   ,201809160130,97,1001001009
PLC ,B1   ,201809160131,103,1001001009
PLC ,B1   ,201809160132,148,1001001009
PLC ,B1   ,201809160133,108,1001001009
PLC ,B1   ,201809160134,124,1001001009
PLC ,B1   ,201809160135,111,1001001009
PLC ,B1   ,201809160136,94,1001001009
PLC ,B1   ,201809160137,82,1001001009
PLC ,B1   ,201809160138,92,1001001009
PLC ,B1   ,201809160139,98,1001001009
PLC ,B1   ,201809160140,99,1001001009
PLC ,B1   ,201809160141,99,1001001009
PLC ,B1   ,201809160142,112,1001001009
