SEK ,B1   ,201809160000,37,1001001009
SEK ,B1   ,201809160001,26,1001001009
SEK ,B1   ,201809160002,33,1001001009
SEK ,B1   ,201809160003,63,1001001009
SEK ,B1   ,201809160004,59,1001001009
SEK ,B1   ,201809160005,67,1001001009
SEK ,B1   ,201809160006,48,1001001009
SEK ,B1   ,201809160007,44,1001001009
SEK ,B1   ,201809160008,42,1001001009
SEK ,B1   ,201809160009,72,1001001009
SEK ,B1   ,201809160010,53,1001001009
SEK ,B1   ,201809160011,54,1001001009
SEK ,B1   ,201809160012,48,1001001009
SEK ,B1   ,201809160013,54,1001001009
SEK ,B1   ,201809160014,44,1001001009
SEK ,B1   ,201809160015,50,1001001009
SEK ,B1   ,201809160016,55,1001001009
SEK ,B1   ,201809160017,61,1001001009
SEK ,B1   ,201809160018,56,1001001009
SEK ,B1   ,201809160019,66,1001001009
SEK ,B1   ,201809160020,41,1001001009
SEK ,B1   ,201809160021,35,1001001009
SEK ,B1   ,201809160022,39,1001001009
SEK ,B1   ,201809160023,73,1001001009
SEK ,B1   ,201809160024,87,1001001009
SEK ,B1   ,201809160025,78,1001001009
SEK ,B1   ,201809160026,47,1001001009
SEK ,B1   ,201809160027,65,1001001009
SEK ,B1   ,201809160028,56,1001001009
SEK ,B1   ,201809160029,36,1001001009
SEK ,B1   ,201809160030,29,1001001009
SEK ,B1   ,201809160031,31,1001001009
SEK ,B1   ,201809160032,26,1001001009
SEK ,B1   ,201809160033,43,1001001009
SEK ,B1   ,201809160034,50,1001001009
SEK ,B1   ,201809160035,44,1001001009
SEK ,B1   ,201809160036,40,1001001009
SEK ,B1   ,201809160037,32,1001001009
SEK ,B1   ,201809160038,42,1001001009
SEK ,B1   ,201809160039,33,1001001009
SEK ,B1   ,201809160040,38,1001001009
SEK ,B1   ,201809160041,36,1001001009
SEK ,B1   ,201809160042,39,1001001009
SEK ,B1   ,201809160043,43,1001001009
SEK ,B1   ,201809160044,51,1001001009
SEK ,B1   ,201809160045,44,1001001009
SEK ,B1   ,201809160046,40,1001001009
SEK ,B1   ,201809160047,33,1001001009
SEK ,B1   ,201809160048,20,1001001009
SEK ,B1   ,201809160049,31,1001001009
SEK ,B1   ,201809160050,37,1001001009
SEK ,B1   ,201809160051,32,1001001009
SEK ,B1   ,201809160052,43,1001001009
SEK ,B1   ,201809160053,46,1001001009
SEK ,B1   ,201809160054,55,1001001009
SEK ,B1   ,201809160055,54,1001001009
SEK ,B1   ,201809160056,48,1001001009
SEK ,B1   ,201809160057,62,1001001009
SEK ,B1   ,201809160058,67,1001001009
SEK ,B1   ,201809160059,40,1001001009
SEK ,B1   ,201809160100,33,1001001009
SEK ,B1   ,201809160101,37,1001001009
SEK ,B1   ,201809160102,33,1001001009
SEK ,B1   ,201809160103,44,1001001009
SEK ,B1   ,201809160104,31,1001001009
SEK ,B1   ,201809160105,45,1001001009
SEK ,B1   ,201809160106,44,1001001009
SEK ,B1   ,201809160107,31,1001001009
SEK ,B1   ,201809160108,28,1001001009
SEK ,B1   ,201809160109,25,1001001009
SEK ,B1   ,201809160110,36,1001001009
SEK ,B1   ,201809160111,52,1001001009
SEK ,B1   ,201809160112,48,1001001009
SEK ,B1   ,201809160113,49,1001001009
SEK ,B1   ,201809160114,34,1001001009
SEK ,B1   ,201809160115,36,1001001009
SEK ,B1   ,201809160116,34,1001001009
SEK ,B1   ,201809160117,26,1001001009
SEK ,B1   ,201809160118,27,1001001009
SEK ,B1   ,201809160119,61,1001001009
SEK ,B1   ,201809160120,47,1001001009
SEK ,B1   ,201809160121,34,1001001009
SEK ,B1   ,201809160122,22,1001001009
SEK ,B1   ,201809160123,51,1001001009
SEK ,B1   ,201809160124,32,1001001009
SEK ,B1   ,201809160125,52,1001001009
SEK ,B1   ,201809160126,51,1001001009
SEK ,B1   ,201809160127,57,1001001009
SEK ,B1   ,201809160128,63,1001001009
SEK ,B1   ,201809160129,52,1001001009
SEK ,B1   ,201809160130,39,1001001009
SEK ,B1   ,201809160131,52,1001001009
SEK ,B1   ,201809160132,57,1001001009
SEK ,B1   ,201809160133,59,1001001009
SEK ,B1   ,201809160134,58,1001001009
SEK ,B1   ,201809160135,57,1001001009
SEK ,B1   ,201809160136,47,1001001009
SEK ,B1   ,201809160137,52,1001001009
SEK ,B1   ,201809160138,43,1001001009
SEK ,B1   ,201809160139,42,1001001009
SEK ,B1   ,201809160140,62,1001001009
SEK ,B1   ,201809160141,52,1001001009
SEK ,B1   ,201809160142,53,1001001009
SEK ,B1   ,201809160143,47,1001001009
SEK ,B1   ,201809160144,36,1001001009
SEK ,B1   ,201809160145,39,1001001009
SEK ,B1   ,201809160146,47,1001001009
SEK ,B1   ,201809160147,55,1001001009
SEK ,B1   ,201809160148,38,1001001009
SEK ,B1   ,201809160149,46,1001001009
SEK ,B1   ,201809160150,35,1001001009
SEK ,B1   ,201809160151,24,1001001009
SEK ,B1   ,201809160152,29,1001001009
SEK ,B1   ,201809160153,60,1001001009
SEK ,B1   ,201809160154,32,1001001009
SEK ,B1   ,201809160155,22,1001001009
SEK ,B1   ,201809160156,29,1001001009
SEK ,B1   ,201809160157,50,1001001009
SEK ,B1   ,201809160158,64,1001001009
SEK ,B1   ,201809160159,59,1001001009
SEK ,B1   ,201809160200,48,1001001009
SEK ,B1   ,201809160201,38,1001001009
SEK ,B1   ,201809160202,52,1001001009
SEK ,B1   ,201809160203,51,1001001009
SEK ,B1   ,201809160204,72,1001001009
SEK ,B1   ,201809160205,55,1001001009
SEK ,B1   ,201809160206,59,1001001009
SEK ,B1   ,201809160207,39,1001001009
SEK ,B1   ,201809160208,31,1001001009
SEK ,B1   ,201809160209,45,1001001009
SEK ,B1   ,201809160210,45,1001001009
SEK ,B1   ,201809160211,66,1001001009
SEK ,B1   ,201809160212,79,1001001009
SEK ,B1   ,201809160213,54,1001001009
SEK ,B1   ,201809160214,57,1001001009
SEK ,B1   ,201809160215,40,1001001009
SEK ,B1   ,201809160216,33,1001001009
SEK ,B1   ,201809160217,25,1001001009
SEK ,B1   ,201809160218,34,1001001009
SEK ,B1   ,201809160219,52,1001001009
SEK ,B1   ,201809160220,50,1001001009
SEK ,B1   ,201809160221,55,1001001009
SEK ,B1   ,201809160222,39,1001001009
SEK ,B1   ,201809160223,56,1001001009
SEK ,B1   ,201809160224,63,1001001009
SEK ,B1   ,201809160225,45,1001001009
SEK ,B1   ,201809160226,50,1001001009
SEK ,B1   ,201809160227,44,1001001009
SEK ,B1   ,201809160228,29,1001001009
SEK ,B1   ,201809160229,38,1001001009
SEK ,B1   ,201809160230,24,1001001009
SEK ,B1   ,201809160231,46,1001001009
SEK ,B1   ,201809160232,41,1001001009
SEK ,B1   ,201809160233,42,1001001009
SEK ,B1   ,201809160234,39,1001001009
SEK ,B1   ,201809160235,70,1001001009
SEK ,B1   ,201809160236,72,1001001009
SEK ,B1   ,201809160237,45,1001001009
SEK ,B1   ,201809160238,40,1001001009
SEK ,B1   ,201809160239,45,1001001009
SEK ,B1   ,201809160240,43,1001001009
SEK ,B1   ,201809160241,54,1001001009
SEK ,B1   ,201809160242,47,1001001009
