SE  ,B1   ,201809160000,66,1001001009
SE  ,B1   ,201809160001,41,1001001009
SE  ,B1   ,201809160002,42,1001001009
SE  ,B1   ,201809160003,49,1001001009
SE  ,B1   ,201809160004,97,1001001009
SE  ,B1   ,201809160005,89,1001001009
SE  ,B1   ,201809160006,63,1001001009
SE  ,B1   ,201809160007,83,1001001009
SE  ,B1   ,201809160008,41,1001001009
SE  ,B1   ,201809160009,78,1001001009
SE  ,B1   ,201809160010,79,1001001009
SE  ,B1   ,201809160011,56,1001001009
SE  ,B1   ,201809160012,62,1001001009
SE  ,B1   ,201809160013,85,1001001009
SE  ,B1   ,201809160014,82,1001001009
SE  ,B1   ,201809160015,75,1001001009
SE  ,B1   ,201809160016,100,1001001009
SE  ,B1   ,201809160017,73,1001001009
SE  ,B1   ,201809160018,47,1001001009
SE  ,B1   ,201809160019,62,1001001009
SE  ,B1   ,201809160020,63,1001001009
SE  ,B1   ,201809160021,61,1001001009
SE  ,B1   ,201809160022,63,1001001009
SE  ,B1   ,201809160023,55,1001001009
SE  ,B1   ,201809160024,41,1001001009
SE  ,B1   ,201809160025,38,1001001009
SE  ,B1   ,201809160026,69,1001001009
SE  ,B1   ,201809160027,66,1001001009
SE  ,B1   ,201809160028,76,1001001009
SE  ,B1   ,201809160029,89,1001001009
SE  ,B1   ,201809160030,74,1001001009
SE  ,B1   ,201809160031,68,1001001009
SE  ,B1   ,201809160032,84,1001001009
SE  ,B1   ,201809160033,89,1001001009
SE  ,B1   ,201809160034,105,1001001009
SE  ,B1   ,201809160035,86,1001001009
SE  ,B1   ,201809160036,89,1001001009
SE  ,B1   ,201809160037,78,1001001009
SE  ,B1   ,201809160038,98,1001001009
SE  ,B1   ,201809160039,84,1001001009
SE  ,B1   ,201809160040,78,1001001009
SE  ,B1   ,201809160041,39,1001001009
SE  ,B1   ,201809160042,53,1001001009
SE  ,B1   ,201809160043,88,1001001009
SE  ,B1   ,201809160044,80,1001001009
SE  ,B1   ,201809160045,37,1001001009
SE  ,B1   ,201809160046,50,1001001009
SE  ,B1   ,201809160047,55,1001001009
SE  ,B1   ,201809160048,52,1001001009
SE  ,B1   ,201809160049,51,1001001009
SE  ,B1   ,201809160050,33,1001001009
SE  ,B1   ,201809160051,49,1001001009
SE  ,B1   ,201809160052,107,1001001009
SE  ,B1   ,201809160053,97,1001001009
SE  ,B1   ,201809160054,71,1001001009
SE  ,B1   ,201809160055,128,1001001009
SE  ,B1   ,201809160056,125,1001001009
SE  ,B1   ,201809160057,103,1001001009
SE  ,B1   ,201809160058,60,1001001009
SE  ,B1   ,201809160059,94,1001001009
SE  ,B1   ,201809160100,68,1001001009
SE  ,B1   ,201809160101,77,1001001009
SE  ,B1   ,201809160102,42,1001001009
SE  ,B1   ,201809160103,52,1001001009
SE  ,B1   ,201809160104,87,1001001009
SE  ,B1   ,201809160105,65,1001001009
SE  ,B1   ,201809160106,67,1001001009
SE  ,B1   ,201809160107,96,1001001009
SE  ,B1   ,201809160108,80,1001001009
SE  ,B1   ,201809160109,102,1001001009
SE  ,B1   ,201809160110,93,1001001009
SE  ,B1   ,201809160111,61,1001001009
SE  ,B1   ,201809160112,50,1001001009
SE  ,B1   ,201809160113,71,1001001009
SE  ,B1   ,201809160114,53,1001001009
SE  ,B1   ,201809160115,83,1001001009
SE  ,B1   ,201809160116,71,1001001009
SE  ,B1   ,201809160117,127,1001001009
SE  ,B1   ,201809160118,95,1001001009
SE  ,B1   ,201809160119,61,1001001009
SE  ,B1   ,201809160120,90,1001001009
SE  ,B1   ,201809160121,85,1001001009
SE  ,B1   ,201809160122,57,1001001009
SE  ,B1   ,201809160123,89,1001001009
SE  ,B1   ,201809160124,69,1001001009
SE  ,B1   ,201809160125,64,1001001009
SE  ,B1   ,201809160126,78,1001001009
SE  ,B1   ,201809160127,57,1001001009
SE  ,B1   ,201809160128,76,1001001009
SE  ,B1   ,201809160129,67,1001001009
SE  ,B1   ,201809160130,37,1001001009
SE  ,B1   ,201809160131,65,1001001009
SE  ,B1   ,201809160132,79,1001001009
SE  ,B1   ,201809160133,84,1001001009
SE  ,B1   ,201809160134,57,1001001009
SE  ,B1   ,201809160135,60,1001001009
SE  ,B1   ,201809160136,67,1001001009
SE  ,B1   ,201809160137,67,1001001009
SE  ,B1   ,201809160138,46,1001001009
SE  ,B1   ,201809160139,49,1001001009
SE  ,B1   ,201809160140,73,1001001009
SE  ,B1   ,201809160141,64,1001001009
SE  ,B1   ,201809160142,75,1001001009
SE  ,B1   ,201809160143,61,1001001009
SE  ,B1   ,201809160144,47,1001001009
SE  ,B1   ,201809160145,39,1001001009
SE  ,B1   ,201809160146,30,1001001009
SE  ,B1   ,201809160147,75,1001001009
SE  ,B1   ,201809160148,107,1001001009
SE  ,B1   ,201809160149,78,1001001009
SE  ,B1   ,201809160150,60,1001001009
SE  ,B1   ,201809160151,83,1001001009
SE  ,B1   ,201809160152,56,1001001009
SE  ,B1   ,201809160153,61,1001001009
SE  ,B1   ,201809160154,52,1001001009
SE  ,B1   ,201809160155,82,1001001009
SE  ,B1   ,201809160156,91,1001001009
SE  ,B1   ,201809160157,75,1001001009
SE  ,B1   ,201809160158,84,1001001009
SE  ,B1   ,201809160159,77,1001001009
SE  ,B1   ,201809160200,58,1001001009
SE  ,B1   ,201809160201,76,1001001009
SE  ,B1   ,201809160202,105,1001001009
SE  ,B1   ,201809160203,100,1001001009
SE  ,B1   ,201809160204,63,1001001009
SE  ,B1   ,201809160205,62,1001001009
SE  ,B1   ,201809160206,86,1001001009
SE  ,B1   ,201809160207,103,1001001009
SE  ,B1   ,201809160208,58,1001001009
SE  ,B1   ,201809160209,83,1001001009
SE  ,B1   ,201809160210,46,1001001009
SE  ,B1   ,201809160211,57,1001001009
SE  ,B1   ,201809160212,95,1001001009
SE  ,B1   ,201809160213,85,1001001009
SE  ,B1   ,201809160214,96,1001001009
SE  ,B1   ,201809160215,98,1001001009
SE  ,B1   ,201809160216,92,1001001009
