SF  ,B1   ,201809160000,13,1001001009
SF  ,B1   ,201809160001,12,1001001009
SF  ,B1   ,201809160002,17,1001001009
SF  ,B1   ,201809160003,13,1001001009
SF  ,B1   ,201809160004,16,1001001009
SF  ,B1   ,201809160005,20,1001001009
SF  ,B1   ,201809160006,20,1001001009
SF  ,B1   ,201809160007,13,1001001009
SF  ,B1   ,201809160008,25,1001001009
SF  ,B1   ,201809160009,25,1001001009
SF  ,B1   ,201809160010,16,1001001009
SF  ,B1   ,201809160011,10,1001001009
SF  ,B1   ,201809160012,22,1001001009
SF  ,B1   ,201809160013,32,1001001009
SF  ,B1   ,201809160014,20,1001001009
SF  ,B1   ,201809160015,10,1001001009
SF  ,B1   ,201809160016,15,1001001009
SF  ,B1   ,201809160017,25,1001001009
SF  ,B1   ,201809160018,9,1001001009
SF  ,B1   ,201809160019,30,1001001009
SF  ,B1   ,201809160020,29,1001001009
SF  ,B1   ,201809160021,24,1001001009
SF  ,B1   ,201809160022,11,1001001009
SF  ,B1   ,201809160023,28,1001001009
SF  ,B1   ,201809160024,43,1001001009
SF  ,B1   ,201809160025,14,1001001009
SF  ,B1   ,201809160026,9,1001001009
SF  ,B1   ,201809160027,19,1001001009
SF  ,B1   ,201809160028,24,1001001009
SF  ,B1   ,201809160029,24,1001001009
SF  ,B1   ,201809160030,23,1001001009
SF  ,B1   ,201809160031,25,1001001009
SF  ,B1   ,201809160032,26,1001001009
SF  ,B1   ,201809160033,19,1001001009
SF  ,B1   ,201809160034,15,1001001009
SF  ,B1   ,201809160035,20,1001001009
SF  ,B1   ,201809160036,19,1001001009
SF  ,B1   ,201809160037,15,1001001009
SF  ,B1   ,201809160038,21,1001001009
SF  ,B1   ,201809160039,21,1001001009
SF  ,B1   ,201809160040,21,1001001009
SF  ,B1   ,201809160041,31,1001001009
SF  ,B1   ,201809160042,35,1001001009
SF  ,B1   ,201809160043,22,1001001009
SF  ,B1   ,201809160044,21,1001001009
SF  ,B1   ,201809160045,19,1001001009
SF  ,B1   ,201809160046,2,1001001009
SF  ,B1   ,201809160047,28,1001001009
SF  ,B1   ,201809160048,38,1001001009
SF  ,B1   ,201809160049,22,1001001009
SF  ,B1   ,201809160050,20,1001001009
SF  ,B1   ,201809160051,16,1001001009
SF  ,B1   ,201809160052,36,1001001009
SF  ,B1   ,201809160053,48,1001001009
SF  ,B1   ,201809160054,37,1001001009
SF  ,B1   ,201809160055,34,1001001009
SF  ,B1   ,201809160056,26,1001001009
SF  ,B1   ,201809160057,27,1001001009
SF  ,B1   ,201809160058,23,1001001009
SF  ,B1   ,201809160059,14,1001001009
SF  ,B1   ,201809160100,17,1001001009
SF  ,B1   ,201809160101,23,1001001009
SF  ,B1   ,201809160102,27,1001001009
SF  ,B1   ,201809160103,21,1001001009
SF  ,B1   ,201809160104,24,1001001009
SF  ,B1   ,201809160105,18,1001001009
SF  ,B1   ,201809160106,14,1001001009
SF  ,B1   ,201809160107,39,1001001009
SF  ,B1   ,201809160108,22,1001001009
SF  ,B1   ,201809160109,16,1001001009
SF  ,B1   ,201809160110,21,1001001009
SF  ,B1   ,201809160111,25,1001001009
SF  ,B1   ,201809160112,19,1001001009
SF  ,B1   ,201809160113,36,1001001009
SF  ,B1   ,201809160114,23,1001001009
SF  ,B1   ,201809160115,7,1001001009
SF  ,B1   ,201809160116,9,1001001009
SF  ,B1   ,201809160117,2,1001001009
SF  ,B1   ,201809160118,13,1001001009
SF  ,B1   ,201809160119,52,1001001009
SF  ,B1   ,201809160120,14,1001001009
SF  ,B1   ,201809160121,16,1001001009
SF  ,B1   ,201809160122,16,1001001009
SF  ,B1   ,201809160123,30,1001001009
SF  ,B1   ,201809160124,16,1001001009
SF  ,B1   ,201809160125,23,1001001009
SF  ,B1   ,201809160126,33,1001001009
SF  ,B1   ,201809160127,23,1001001009
SF  ,B1   ,201809160128,8,1001001009
SF  ,B1   ,201809160129,25,1001001009
SF  ,B1   ,201809160130,43,1001001009
SF  ,B1   ,201809160131,17,1001001009
SF  ,B1   ,201809160132,27,1001001009
SF  ,B1   ,201809160133,43,1001001009
SF  ,B1   ,201809160134,50,1001001009
SF  ,B1   ,201809160135,31,1001001009
SF  ,B1   ,201809160136,30,1001001009
SF  ,B1   ,201809160137,22,1001001009
SF  ,B1   ,201809160138,28,1001001009
SF  ,B1   ,201809160139,23,1001001009
SF  ,B1   ,201809160140,9,1001001009
SF  ,B1   ,201809160141,12,1001001009
SF  ,B1   ,201809160142,19,1001001009
SF  ,B1   ,201809160143,47,1001001009
SF  ,B1   ,201809160144,25,1001001009
SF  ,B1   ,201809160145,19,1001001009
SF  ,B1   ,201809160146,18,1001001009
SF  ,B1   ,201809160147,21,1001001009
SF  ,B1   ,201809160148,27,1001001009
SF  ,B1   ,201809160149,9,1001001009
SF  ,B1   ,201809160150,42,1001001009
SF  ,B1   ,201809160151,30,1001001009
SF  ,B1   ,201809160152,32,1001001009
SF  ,B1   ,201809160153,43,1001001009
SF  ,B1   ,201809160154,50,1001001009
SF  ,B1   ,201809160155,38,1001001009
SF  ,B1   ,201809160156,11,1001001009
SF  ,B1   ,201809160157,24,1001001009
SF  ,B1   ,201809160158,41,1001001009
SF  ,B1   ,201809160159,19,1001001009
SF  ,B1   ,201809160200,22,1001001009
SF  ,B1   ,201809160201,18,1001001009
SF  ,B1   ,201809160202,19,1001001009
SF  ,B1   ,201809160203,25,1001001009
SF  ,B1   ,201809160204,22,1001001009
SF  ,B1   ,201809160205,18,1001001009
SF  ,B1   ,201809160206,21,1001001009
SF  ,B1   ,201809160207,48,1001001009
SF  ,B1   ,201809160208,30,1001001009
SF  ,B1   ,201809160209,39,1001001009
SF  ,B1   ,201809160210,43,1001001009
SF  ,B1   ,201809160211,50,1001001009
SF  ,B1   ,201809160212,60,1001001009
SF  ,B1   ,201809160213,17,1001001009
SF  ,B1   ,201809160214,12,1001001009
SF  ,B1   ,201809160215,24,1001001009
SF  ,B1   ,201809160216,37,1001001009
SF  ,B1   ,201809160217,27,1001001009
SF  ,B1   ,201809160218,32,1001001009
SF  ,B1   ,201809160219,27,1001001009
SF  ,B1   ,201809160220,26,1001001009
SF  ,B1   ,201809160221,27,1001001009
SF  ,B1   ,201809160222,22,1001001009
SF  ,B1   ,201809160223,32,1001001009
SF  ,B1   ,201809160224,16,1001001009
SF  ,B1   ,201809160225,19,1001001009
SF  ,B1   ,201809160226,10,1001001009
SF  ,B1   ,201809160227,26,1001001009
SF  ,B1   ,201809160228,30,1001001009
SF  ,B1   ,201809160229,48,1001001009
SF  ,B1   ,201809160230,34,1001001009
SF  ,B1   ,201809160231,18,1001001009
SF  ,B1   ,201809160232,34,1001001009
SF  ,B1   ,201809160233,17,1001001009
SF  ,B1   ,201809160234,25,1001001009
SF  ,B1   ,201809160235,16,1001001009
SF  ,B1   ,201809160236,26,1001001009
SF  ,B1   ,201809160237,31,1001001009
SF  ,B1   ,201809160238,16,1001001009
SF  ,B1   ,201809160239,19,1001001009
SF  ,B1   ,201809160240,17,1001001009
SF  ,B1   ,201809160241,32,1001001009
SF  ,B1   ,201809160242,17,1001001009
SF  ,B1   ,201809160243,25,1001001009
SF  ,B1   ,201809160244,45,1001001009
SF  ,B1   ,201809160245,32,1001001009
SF  ,B1   ,201809160246,31,1001001009
SF  ,B1   ,201809160247,10,1001001009
SF  ,B1   ,201809160248,44,1001001009
SF  ,B1   ,201809160249,25,1001001009
SF  ,B1   ,201809160250,45,1001001009
SF  ,B1   ,201809160251,48,1001001009
SF  ,B1   ,201809160252,30,1001001009
SF  ,B1   ,201809160253,13,1001001009
SF  ,B1   ,201809160254,24,1001001009
SF  ,B1   ,201809160255,22,1001001009
SF  ,B1   ,201809160256,25,1001001009
SF  ,B1   ,201809160257,23,1001001009
SF  ,B1   ,201809160258,20,1001001009
SF  ,B1   ,201809160259,18,1001001009
SF  ,B1   ,201809160300,24,1001001009
SF  ,B1   ,201809160301,28,1001001009
SF  ,B1   ,201809160302,55,1001001009
SF  ,B1   ,201809160303,34,1001001009
SF  ,B1   ,201809160304,22,1001001009
SF  ,B1   ,201809160305,20,1001001009
SF  ,B1   ,201809160306,26,1001001009
SF  ,B1   ,201809160307,19,1001001009
SF  ,B1   ,201809160308,16,1001001009
SF  ,B1   ,201809160309,3,1001001009
SF  ,B1   ,201809160310,5,1001001009
SF  ,B1   ,201809160311,25,1001001009
SF  ,B1   ,201809160312,30,1001001009
SF  ,B1   ,201809160313,26,1001001009
SF  ,B1   ,201809160314,8,1001001009
SF  ,B1   ,201809160315,6,1001001009
SF  ,B1   ,201809160316,11,1001001009
SF  ,B1   ,201809160317,11,1001001009
SF  ,B1   ,201809160318,46,1001001009
SF  ,B1   ,201809160319,31,1001001009
SF  ,B1   ,201809160320,26,1001001009
SF  ,B1   ,201809160321,25,1001001009
SF  ,B1   ,201809160322,27,1001001009
SF  ,B1   ,201809160323,16,1001001009
SF  ,B1   ,201809160324,18,1001001009
SF  ,B1   ,201809160325,16,1001001009
SF  ,B1   ,201809160326,27,1001001009
SF  ,B1   ,201809160327,21,1001001009
SF  ,B1   ,201809160328,30,1001001009
SF  ,B1   ,201809160329,29,1001001009
SF  ,B1   ,201809160330,24,1001001009
SF  ,B1   ,201809160331,20,1001001009
SF  ,B1   ,201809160332,21,1001001009
SF  ,B1   ,201809160333,15,1001001009
SF  ,B1   ,201809160334,21,1001001009
SF  ,B1   ,201809160335,23,1001001009
SF  ,B1   ,201809160336,44,1001001009
SF  ,B1   ,201809160337,49,1001001009
SF  ,B1   ,201809160338,37,1001001009
SF  ,B1   ,201809160339,14,1001001009
SF  ,B1   ,201809160340,25,1001001009
SF  ,B1   ,201809160341,19,1001001009
SF  ,B1   ,201809160342,35,1001001009
SF  ,B1   ,201809160343,17,1001001009
SF  ,B1   ,201809160344,16,1001001009
SF  ,B1   ,201809160345,16,1001001009
SF  ,B1   ,201809160346,20,1001001009
SF  ,B1   ,201809160347,23,1001001009
SF  ,B1   ,201809160348,17,1001001009
SF  ,B1   ,201809160349,19,1001001009
SF  ,B1   ,201809160350,30,1001001009
SF  ,B1   ,201809160351,68,1001001009
SF  ,B1   ,201809160352,25,1001001009
SF  ,B1   ,201809160353,16,1001001009
SF  ,B1   ,201809160354,19,1001001009
SF  ,B1   ,201809160355,25,1001001009
SF  ,B1   ,201809160356,17,1001001009
SF  ,B1   ,201809160357,23,1001001009
SF  ,B1   ,201809160358,37,1001001009
SF  ,B1   ,201809160359,19,1001001009
SF  ,B1   ,201809160400,18,1001001009
SF  ,B1   ,201809160401,35,1001001009
SF  ,B1   ,201809160402,24,1001001009
SF  ,B1   ,201809160403,19,1001001009
SF  ,B1   ,201809160404,20,1001001009
SF  ,B1   ,201809160405,33,1001001009
SF  ,B1   ,201809160406,45,1001001009
SF  ,B1   ,201809160407,18,1001001009
SF  ,B1   ,201809160408,37,1001001009
SF  ,B1   ,201809160409,25,1001001009
SF  ,B1   ,201809160410,38,1001001009
SF  ,B1   ,201809160411,60,1001001009
SF  ,B1   ,201809160412,25,1001001009
SF  ,B1   ,201809160413,24,1001001009
SF  ,B1   ,201809160414,15,1001001009
SF  ,B1   ,201809160415,33,1001001009
SF  ,B1   ,201809160416,26,1001001009
SF  ,B1   ,201809160417,18,1001001009
SF  ,B1   ,201809160418,23,1001001009
SF  ,B1   ,201809160419,15,1001001009
SF  ,B1   ,201809160420,30,1001001009
SF  ,B1   ,201809160421,13,1001001009
SF  ,B1   ,201809160422,15,1001001009
SF  ,B1   ,201809160423,17,1001001009
SF  ,B1   ,201809160424,16,1001001009
SF  ,B1   ,201809160425,31,1001001009
SF  ,B1   ,201809160426,27,1001001009
SF  ,B1   ,201809160427,4,1001001009
SF  ,B1   ,201809160428,40,1001001009
SF  ,B1   ,201809160429,26,1001001009
SF  ,B1   ,201809160430,24,1001001009
SF  ,B1   ,201809160431,14,1001001009
SF  ,B1   ,201809160432,17,1001001009
SF  ,B1   ,201809160433,34,1001001009
SF  ,B1   ,201809160434,21,1001001009
SF  ,B1   ,201809160435,15,1001001009
SF  ,B1   ,201809160436,26,1001001009
SF  ,B1   ,201809160437,34,1001001009
SF  ,B1   ,201809160438,28,1001001009
SF  ,B1   ,201809160439,12,1001001009
SF  ,B1   ,201809160440,14,1001001009
SF  ,B1   ,201809160441,24,1001001009
SF  ,B1   ,201809160442,36,1001001009
SF  ,B1   ,201809160443,21,1001001009
SF  ,B1   ,201809160444,30,1001001009
SF  ,B1   ,201809160445,20,1001001009
SF  ,B1   ,201809160446,63,1001001009
SF  ,B1   ,201809160447,41,1001001009
SF  ,B1   ,201809160448,39,1001001009
SF  ,B1   ,201809160449,14,1001001009
SF  ,B1   ,201809160450,36,1001001009
SF  ,B1   ,201809160451,26,1001001009
SF  ,B1   ,201809160452,35,1001001009
SF  ,B1   ,201809160453,30,1001001009
SF  ,B1   ,201809160454,25,1001001009
SF  ,B1   ,201809160455,29,1001001009
SF  ,B1   ,201809160456,15,1001001009
SF  ,B1   ,201809160457,24,1001001009
SF  ,B1   ,201809160458,24,1001001009
SF  ,B1   ,201809160459,23,1001001009
SF  ,B1   ,201809160500,25,1001001009
SF  ,B1   ,201809160501,23,1001001009
SF  ,B1   ,201809160502,26,1001001009
SF  ,B1   ,201809160503,20,1001001009
SF  ,B1   ,201809160504,24,1001001009
SF  ,B1   ,201809160505,21,1001001009
SF  ,B1   ,201809160506,9,1001001009
SF  ,B1   ,201809160507,23,1001001009
SF  ,B1   ,201809160508,16,1001001009
SF  ,B1   ,201809160509,25,1001001009
SF  ,B1   ,201809160510,33,1001001009
SF  ,B1   ,201809160511,30,1001001009
SF  ,B1   ,201809160512,15,1001001009
SF  ,B1   ,201809160513,18,1001001009
SF  ,B1   ,201809160514,43,1001001009
SF  ,B1   ,201809160515,37,1001001009
SF  ,B1   ,201809160516,41,1001001009
SF  ,B1   ,201809160517,44,1001001009
SF  ,B1   ,201809160518,30,1001001009
SF  ,B1   ,201809160519,15,1001001009
SF  ,B1   ,201809160520,23,1001001009
SF  ,B1   ,201809160521,9,1001001009
SF  ,B1   ,201809160522,9,1001001009
SF  ,B1   ,201809160523,18,1001001009
SF  ,B1   ,201809160524,13,1001001009
SF  ,B1   ,201809160525,25,1001001009
SF  ,B1   ,201809160526,35,1001001009
SF  ,B1   ,201809160527,19,1001001009
SF  ,B1   ,201809160528,20,1001001009
SF  ,B1   ,201809160529,3,1001001009
SF  ,B1   ,201809160530,40,1001001009
SF  ,B1   ,201809160531,36,1001001009
SF  ,B1   ,201809160532,25,1001001009
SF  ,B1   ,201809160533,18,1001001009
SF  ,B1   ,201809160534,11,1001001009
SF  ,B1   ,201809160535,21,1001001009
SF  ,B1   ,201809160536,11,1001001009
SF  ,B1   ,201809160537,24,1001001009
SF  ,B1   ,201809160538,13,1001001009
SF  ,B1   ,201809160539,7,1001001009
SF  ,B1   ,201809160540,27,1001001009
SF  ,B1   ,201809160541,17,1001001009
SF  ,B1   ,201809160542,14,1001001009
SF  ,B1   ,201809160543,6,1001001009
SF  ,B1   ,201809160544,24,1001001009
SF  ,B1   ,201809160545,8,1001001009
SF  ,B1   ,201809160546,21,1001001009
SF  ,B1   ,201809160547,7,1001001009
SF  ,B1   ,201809160548,1,1001001009
SF  ,B1   ,201809160549,32,1001001009
SF  ,B1   ,201809160550,26,1001001009
SF  ,B1   ,201809160551,29,1001001009
SF  ,B1   ,201809160552,24,1001001009
SF  ,B1   ,201809160553,17,1001001009
SF  ,B1   ,201809160554,20,1001001009
SF  ,B1   ,201809160555,26,1001001009
SF  ,B1   ,201809160556,20,1001001009
SF  ,B1   ,201809160557,20,1001001009
SF  ,B1   ,201809160558,45,1001001009
SF  ,B1   ,201809160559,38,1001001009
SF  ,B1   ,201809160600,26,1001001009
SF  ,B1   ,201809160601,25,1001001009
SF  ,B1   ,201809160602,31,1001001009
SF  ,B1   ,201809160603,18,1001001009
SF  ,B1   ,201809160604,27,1001001009
