SHL ,B1   ,201809160000,51,1001001009
SHL ,B1   ,201809160001,31,1001001009
SHL ,B1   ,201809160002,27,1001001009
SHL ,B1   ,201809160003,42,1001001009
SHL ,B1   ,201809160004,36,1001001009
SHL ,B1   ,201809160005,48,1001001009
SHL ,B1   ,201809160006,38,1001001009
SHL ,B1   ,201809160007,41,1001001009
SHL ,B1   ,201809160008,40,1001001009
SHL ,B1   ,201809160009,41,1001001009
SHL ,B1   ,201809160010,55,1001001009
SHL ,B1   ,201809160011,51,1001001009
SHL ,B1   ,201809160012,53,1001001009
SHL ,B1   ,201809160013,39,1001001009
SHL ,B1   ,201809160014,66,1001001009
SHL ,B1   ,201809160015,54,1001001009
SHL ,B1   ,201809160016,57,1001001009
SHL ,B1   ,201809160017,53,1001001009
SHL ,B1   ,201809160018,57,1001001009
SHL ,B1   ,201809160019,47,1001001009
SHL ,B1   ,201809160020,67,1001001009
SHL ,B1   ,201809160021,36,1001001009
SHL ,B1   ,201809160022,33,1001001009
SHL ,B1   ,201809160023,42,1001001009
SHL ,B1   ,201809160024,66,1001001009
SHL ,B1   ,201809160025,55,1001001009
SHL ,B1   ,201809160026,57,1001001009
SHL ,B1   ,201809160027,47,1001001009
SHL ,B1   ,201809160028,35,1001001009
SHL ,B1   ,201809160029,43,1001001009
SHL ,B1   ,201809160030,44,1001001009
SHL ,B1   ,201809160031,21,1001001009
SHL ,B1   ,201809160032,33,1001001009
SHL ,B1   ,201809160033,67,1001001009
SHL ,B1   ,201809160034,51,1001001009
SHL ,B1   ,201809160035,32,1001001009
SHL ,B1   ,201809160036,28,1001001009
SHL ,B1   ,201809160037,33,1001001009
SHL ,B1   ,201809160038,33,1001001009
SHL ,B1   ,201809160039,24,1001001009
SHL ,B1   ,201809160040,21,1001001009
SHL ,B1   ,201809160041,23,1001001009
SHL ,B1   ,201809160042,40,1001001009
SHL ,B1   ,201809160043,40,1001001009
SHL ,B1   ,201809160044,49,1001001009
SHL ,B1   ,201809160045,45,1001001009
SHL ,B1   ,201809160046,57,1001001009
SHL ,B1   ,201809160047,52,1001001009
SHL ,B1   ,201809160048,41,1001001009
SHL ,B1   ,201809160049,32,1001001009
SHL ,B1   ,201809160050,26,1001001009
SHL ,B1   ,201809160051,40,1001001009
SHL ,B1   ,201809160052,34,1001001009
SHL ,B1   ,201809160053,20,1001001009
SHL ,B1   ,201809160054,21,1001001009
SHL ,B1   ,201809160055,19,1001001009
SHL ,B1   ,201809160056,47,1001001009
SHL ,B1   ,201809160057,20,1001001009
SHL ,B1   ,201809160058,9,1001001009
SHL ,B1   ,201809160059,14,1001001009
SHL ,B1   ,201809160100,37,1001001009
SHL ,B1   ,201809160101,28,1001001009
SHL ,B1   ,201809160102,1,1001001009
SHL ,B1   ,201809160103,26,1001001009
SHL ,B1   ,201809160104,35,1001001009
SHL ,B1   ,201809160105,40,1001001009
SHL ,B1   ,201809160106,39,1001001009
SHL ,B1   ,201809160107,37,1001001009
SHL ,B1   ,201809160108,25,1001001009
SHL ,B1   ,201809160109,51,1001001009
SHL ,B1   ,201809160110,22,1001001009
SHL ,B1   ,201809160111,8,1001001009
SHL ,B1   ,201809160112,2,1001001009
SHL ,B1   ,201809160113,3,1001001009
SHL ,B1   ,201809160114,2,1001001009
SHL ,B1   ,201809160115,25,1001001009
SHL ,B1   ,201809160116,27,1001001009
SHL ,B1   ,201809160117,17,1001001009
SHL ,B1   ,201809160118,14,1001001009
SHL ,B1   ,201809160119,25,1001001009
SHL ,B1   ,201809160120,4,1001001009
SHL ,B1   ,201809160121,31,1001001009
SHL ,B1   ,201809160122,22,1001001009
SHL ,B1   ,201809160123,42,1001001009
SHL ,B1   ,201809160124,37,1001001009
SHL ,B1   ,201809160125,17,1001001009
SHL ,B1   ,201809160126,27,1001001009
SHL ,B1   ,201809160127,41,1001001009
SHL ,B1   ,201809160128,30,1001001009
SHL ,B1   ,201809160129,47,1001001009
SHL ,B1   ,201809160130,50,1001001009
SHL ,B1   ,201809160131,35,1001001009
SHL ,B1   ,201809160132,45,1001001009
SHL ,B1   ,201809160133,48,1001001009
SHL ,B1   ,201809160134,51,1001001009
SHL ,B1   ,201809160135,35,1001001009
SHL ,B1   ,201809160136,34,1001001009
SHL ,B1   ,201809160137,46,1001001009
SHL ,B1   ,201809160138,44,1001001009
SHL ,B1   ,201809160139,53,1001001009
SHL ,B1   ,201809160140,21,1001001009
SHL ,B1   ,201809160141,63,1001001009
SHL ,B1   ,201809160142,34,1001001009
SHL ,B1   ,201809160143,35,1001001009
SHL ,B1   ,201809160144,40,1001001009
SHL ,B1   ,201809160145,50,1001001009
SHL ,B1   ,201809160146,59,1001001009
SHL ,B1   ,201809160147,34,1001001009
SHL ,B1   ,201809160148,47,1001001009
SHL ,B1   ,201809160149,49,1001001009
SHL ,B1   ,201809160150,43,1001001009
SHL ,B1   ,201809160151,34,1001001009
SHL ,B1   ,201809160152,32,1001001009
SHL ,B1   ,201809160153,18,1001001009
SHL ,B1   ,201809160154,28,1001001009
SHL ,B1   ,201809160155,38,1001001009
SHL ,B1   ,201809160156,60,1001001009
SHL ,B1   ,201809160157,27,1001001009
SHL ,B1   ,201809160158,27,1001001009
SHL ,B1   ,201809160159,56,1001001009
SHL ,B1   ,201809160200,54,1001001009
SHL ,B1   ,201809160201,50,1001001009
SHL ,B1   ,201809160202,66,1001001009
SHL ,B1   ,201809160203,55,1001001009
SHL ,B1   ,201809160204,64,1001001009
SHL ,B1   ,201809160205,79,1001001009
SHL ,B1   ,201809160206,87,1001001009
SHL ,B1   ,201809160207,62,1001001009
SHL ,B1   ,201809160208,75,1001001009
SHL ,B1   ,201809160209,89,1001001009
SHL ,B1   ,201809160210,86,1001001009
SHL ,B1   ,201809160211,83,1001001009
SHL ,B1   ,201809160212,81,1001001009
SHL ,B1   ,201809160213,67,1001001009
SHL ,B1   ,201809160214,59,1001001009
SHL ,B1   ,201809160215,61,1001001009
SHL ,B1   ,201809160216,76,1001001009
SHL ,B1   ,201809160217,79,1001001009
SHL ,B1   ,201809160218,62,1001001009
SHL ,B1   ,201809160219,52,1001001009
SHL ,B1   ,201809160220,59,1001001009
SHL ,B1   ,201809160221,48,1001001009
SHL ,B1   ,201809160222,67,1001001009
SHL ,B1   ,201809160223,73,1001001009
SHL ,B1   ,201809160224,71,1001001009
SHL ,B1   ,201809160225,59,1001001009
SHL ,B1   ,201809160226,54,1001001009
SHL ,B1   ,201809160227,52,1001001009
SHL ,B1   ,201809160228,60,1001001009
SHL ,B1   ,201809160229,74,1001001009
SHL ,B1   ,201809160230,69,1001001009
SHL ,B1   ,201809160231,63,1001001009
SHL ,B1   ,201809160232,65,1001001009
SHL ,B1   ,201809160233,78,1001001009
SHL ,B1   ,201809160234,68,1001001009
SHL ,B1   ,201809160235,74,1001001009
SHL ,B1   ,201809160236,61,1001001009
SHL ,B1   ,201809160237,68,1001001009
SHL ,B1   ,201809160238,75,1001001009
SHL ,B1   ,201809160239,79,1001001009
SHL ,B1   ,201809160240,62,1001001009
SHL ,B1   ,201809160241,73,1001001009
SHL ,B1   ,201809160242,79,1001001009
SHL ,B1   ,201809160243,68,1001001009
SHL ,B1   ,201809160244,68,1001001009
SHL ,B1   ,201809160245,63,1001001009
SHL ,B1   ,201809160246,44,1001001009
SHL ,B1   ,201809160247,74,1001001009
SHL ,B1   ,201809160248,72,1001001009
SHL ,B1   ,201809160249,68,1001001009
SHL ,B1   ,201809160250,60,1001001009
SHL ,B1   ,201809160251,77,1001001009
SHL ,B1   ,201809160252,73,1001001009
