SHW ,B1   ,201809160000,39,1001001009
SHW ,B1   ,201809160001,46,1001001009
SHW ,B1   ,201809160002,53,1001001009
SHW ,B1   ,201809160003,46,1001001009
SHW ,B1   ,201809160004,57,1001001009
SHW ,B1   ,201809160005,72,1001001009
SHW ,B1   ,201809160006,63,1001001009
SHW ,B1   ,201809160007,47,1001001009
SHW ,B1   ,201809160008,42,1001001009
SHW ,B1   ,201809160009,52,1001001009
SHW ,B1   ,201809160010,63,1001001009
SHW ,B1   ,201809160011,62,1001001009
SHW ,B1   ,201809160012,50,1001001009
SHW ,B1   ,201809160013,78,1001001009
SHW ,B1   ,201809160014,81,1001001009
SHW ,B1   ,201809160015,66,1001001009
SHW ,B1   ,201809160016,64,1001001009
SHW ,B1   ,201809160017,78,1001001009
SHW ,B1   ,201809160018,57,1001001009
SHW ,B1   ,201809160019,47,1001001009
SHW ,B1   ,201809160020,43,1001001009
SHW ,B1   ,201809160021,39,1001001009
SHW ,B1   ,201809160022,31,1001001009
SHW ,B1   ,201809160023,39,1001001009
SHW ,B1   ,201809160024,39,1001001009
SHW ,B1   ,201809160025,45,1001001009
SHW ,B1   ,201809160026,54,1001001009
SHW ,B1   ,201809160027,44,1001001009
SHW ,B1   ,201809160028,51,1001001009
SHW ,B1   ,201809160029,53,1001001009
SHW ,B1   ,201809160030,65,1001001009
SHW ,B1   ,201809160031,70,1001001009
SHW ,B1   ,201809160032,58,1001001009
SHW ,B1   ,201809160033,52,1001001009
SHW ,B1   ,201809160034,57,1001001009
SHW ,B1   ,201809160035,57,1001001009
SHW ,B1   ,201809160036,71,1001001009
SHW ,B1   ,201809160037,73,1001001009
SHW ,B1   ,201809160038,61,1001001009
SHW ,B1   ,201809160039,47,1001001009
SHW ,B1   ,201809160040,44,1001001009
SHW ,B1   ,201809160041,56,1001001009
SHW ,B1   ,201809160042,55,1001001009
SHW ,B1   ,201809160043,60,1001001009
SHW ,B1   ,201809160044,50,1001001009
SHW ,B1   ,201809160045,64,1001001009
SHW ,B1   ,201809160046,67,1001001009
SHW ,B1   ,201809160047,65,1001001009
SHW ,B1   ,201809160048,77,1001001009
SHW ,B1   ,201809160049,78,1001001009
SHW ,B1   ,201809160050,66,1001001009
SHW ,B1   ,201809160051,65,1001001009
SHW ,B1   ,201809160052,76,1001001009
SHW ,B1   ,201809160053,50,1001001009
SHW ,B1   ,201809160054,48,1001001009
SHW ,B1   ,201809160055,54,1001001009
SHW ,B1   ,201809160056,64,1001001009
SHW ,B1   ,201809160057,54,1001001009
SHW ,B1   ,201809160058,72,1001001009
SHW ,B1   ,201809160059,63,1001001009
SHW ,B1   ,201809160100,80,1001001009
SHW ,B1   ,201809160101,67,1001001009
SHW ,B1   ,201809160102,54,1001001009
SHW ,B1   ,201809160103,47,1001001009
SHW ,B1   ,201809160104,54,1001001009
SHW ,B1   ,201809160105,53,1001001009
SHW ,B1   ,201809160106,50,1001001009
SHW ,B1   ,201809160107,46,1001001009
SHW ,B1   ,201809160108,55,1001001009
SHW ,B1   ,201809160109,59,1001001009
SHW ,B1   ,201809160110,78,1001001009
SHW ,B1   ,201809160111,64,1001001009
SHW ,B1   ,201809160112,53,1001001009
SHW ,B1   ,201809160113,59,1001001009
SHW ,B1   ,201809160114,57,1001001009
SHW ,B1   ,201809160115,75,1001001009
SHW ,B1   ,201809160116,64,1001001009
SHW ,B1   ,201809160117,71,1001001009
SHW ,B1   ,201809160118,68,1001001009
SHW ,B1   ,201809160119,102,1001001009
SHW ,B1   ,201809160120,82,1001001009
SHW ,B1   ,201809160121,82,1001001009
SHW ,B1   ,201809160122,90,1001001009
SHW ,B1   ,201809160123,82,1001001009
SHW ,B1   ,201809160124,82,1001001009
SHW ,B1   ,201809160125,61,1001001009
SHW ,B1   ,201809160126,75,1001001009
SHW ,B1   ,201809160127,62,1001001009
SHW ,B1   ,201809160128,64,1001001009
SHW ,B1   ,201809160129,75,1001001009
SHW ,B1   ,201809160130,64,1001001009
SHW ,B1   ,201809160131,70,1001001009
SHW ,B1   ,201809160132,73,1001001009
SHW ,B1   ,201809160133,65,1001001009
SHW ,B1   ,201809160134,66,1001001009
SHW ,B1   ,201809160135,85,1001001009
SHW ,B1   ,201809160136,85,1001001009
SHW ,B1   ,201809160137,58,1001001009
SHW ,B1   ,201809160138,66,1001001009
SHW ,B1   ,201809160139,59,1001001009
SHW ,B1   ,201809160140,64,1001001009
SHW ,B1   ,201809160141,55,1001001009
SHW ,B1   ,201809160142,48,1001001009
SHW ,B1   ,201809160143,48,1001001009
SHW ,B1   ,201809160144,72,1001001009
SHW ,B1   ,201809160145,64,1001001009
SHW ,B1   ,201809160146,77,1001001009
SHW ,B1   ,201809160147,72,1001001009
SHW ,B1   ,201809160148,66,1001001009
SHW ,B1   ,201809160149,62,1001001009
SHW ,B1   ,201809160150,64,1001001009
SHW ,B1   ,201809160151,55,1001001009
SHW ,B1   ,201809160152,95,1001001009
SHW ,B1   ,201809160153,88,1001001009
