SLW ,B1   ,201809160000,31,1001001009
SLW ,B1   ,201809160001,27,1001001009
SLW ,B1   ,201809160002,28,1001001009
SLW ,B1   ,201809160003,32,1001001009
SLW ,B1   ,201809160004,35,1001001009
SLW ,B1   ,201809160005,53,1001001009
SLW ,B1   ,201809160006,48,1001001009
SLW ,B1   ,201809160007,35,1001001009
SLW ,B1   ,201809160008,39,1001001009
SLW ,B1   ,201809160009,38,1001001009
SLW ,B1   ,201809160010,33,1001001009
SLW ,B1   ,201809160011,47,1001001009
SLW ,B1   ,201809160012,50,1001001009
SLW ,B1   ,201809160013,42,1001001009
SLW ,B1   ,201809160014,37,1001001009
SLW ,B1   ,201809160015,43,1001001009
SLW ,B1   ,201809160016,45,1001001009
SLW ,B1   ,201809160017,49,1001001009
SLW ,B1   ,201809160018,45,1001001009
SLW ,B1   ,201809160019,40,1001001009
SLW ,B1   ,201809160020,45,1001001009
SLW ,B1   ,201809160021,66,1001001009
SLW ,B1   ,201809160022,69,1001001009
SLW ,B1   ,201809160023,53,1001001009
SLW ,B1   ,201809160024,49,1001001009
SLW ,B1   ,201809160025,43,1001001009
SLW ,B1   ,201809160026,40,1001001009
SLW ,B1   ,201809160027,45,1001001009
SLW ,B1   ,201809160028,30,1001001009
SLW ,B1   ,201809160029,32,1001001009
SLW ,B1   ,201809160030,29,1001001009
SLW ,B1   ,201809160031,30,1001001009
SLW ,B1   ,201809160032,36,1001001009
SLW ,B1   ,201809160033,30,1001001009
SLW ,B1   ,201809160034,26,1001001009
SLW ,B1   ,201809160035,29,1001001009
SLW ,B1   ,201809160036,34,1001001009
SLW ,B1   ,201809160037,42,1001001009
SLW ,B1   ,201809160038,44,1001001009
SLW ,B1   ,201809160039,44,1001001009
SLW ,B1   ,201809160040,42,1001001009
SLW ,B1   ,201809160041,41,1001001009
SLW ,B1   ,201809160042,49,1001001009
SLW ,B1   ,201809160043,38,1001001009
SLW ,B1   ,201809160044,43,1001001009
SLW ,B1   ,201809160045,48,1001001009
SLW ,B1   ,201809160046,44,1001001009
SLW ,B1   ,201809160047,42,1001001009
SLW ,B1   ,201809160048,44,1001001009
SLW ,B1   ,201809160049,49,1001001009
SLW ,B1   ,201809160050,46,1001001009
SLW ,B1   ,201809160051,52,1001001009
SLW ,B1   ,201809160052,56,1001001009
SLW ,B1   ,201809160053,56,1001001009
SLW ,B1   ,201809160054,39,1001001009
SLW ,B1   ,201809160055,42,1001001009
SLW ,B1   ,201809160056,55,1001001009
SLW ,B1   ,201809160057,58,1001001009
SLW ,B1   ,201809160058,52,1001001009
SLW ,B1   ,201809160059,55,1001001009
SLW ,B1   ,201809160100,55,1001001009
SLW ,B1   ,201809160101,61,1001001009
SLW ,B1   ,201809160102,56,1001001009
SLW ,B1   ,201809160103,58,1001001009
SLW ,B1   ,201809160104,52,1001001009
SLW ,B1   ,201809160105,51,1001001009
SLW ,B1   ,201809160106,51,1001001009
SLW ,B1   ,201809160107,60,1001001009
SLW ,B1   ,201809160108,44,1001001009
SLW ,B1   ,201809160109,50,1001001009
SLW ,B1   ,201809160110,61,1001001009
SLW ,B1   ,201809160111,56,1001001009
SLW ,B1   ,201809160112,74,1001001009
SLW ,B1   ,201809160113,72,1001001009
SLW ,B1   ,201809160114,58,1001001009
SLW ,B1   ,201809160115,51,1001001009
SLW ,B1   ,201809160116,64,1001001009
SLW ,B1   ,201809160117,79,1001001009
SLW ,B1   ,201809160118,67,1001001009
SLW ,B1   ,201809160119,61,1001001009
