TC  ,B1   ,201809160000,185,1001001009
TC  ,B1   ,201809160001,197,1001001009
TC  ,B1   ,201809160002,217,1001001009
TC  ,B1   ,201809160003,196,1001001009
TC  ,B1   ,201809160004,208,1001001009
TC  ,B1   ,201809160005,192,1001001009
TC  ,B1   ,201809160006,172,1001001009
TC  ,B1   ,201809160007,203,1001001009
TC  ,B1   ,201809160008,202,1001001009
TC  ,B1   ,201809160009,202,1001001009
TC  ,B1   ,201809160010,200,1001001009
TC  ,B1   ,201809160011,220,1001001009
TC  ,B1   ,201809160012,210,1001001009
TC  ,B1   ,201809160013,179,1001001009
TC  ,B1   ,201809160014,203,1001001009
TC  ,B1   ,201809160015,188,1001001009
TC  ,B1   ,201809160016,193,1001001009
TC  ,B1   ,201809160017,191,1001001009
TC  ,B1   ,201809160018,214,1001001009
TC  ,B1   ,201809160019,192,1001001009
TC  ,B1   ,201809160020,183,1001001009
TC  ,B1   ,201809160021,168,1001001009
TC  ,B1   ,201809160022,179,1001001009
TC  ,B1   ,201809160023,191,1001001009
TC  ,B1   ,201809160024,219,1001001009
TC  ,B1   ,201809160025,217,1001001009
TC  ,B1   ,201809160026,221,1001001009
TC  ,B1   ,201809160027,202,1001001009
TC  ,B1   ,201809160028,221,1001001009
TC  ,B1   ,201809160029,223,1001001009
TC  ,B1   ,201809160030,216,1001001009
TC  ,B1   ,201809160031,218,1001001009
TC  ,B1   ,201809160032,199,1001001009
TC  ,B1   ,201809160033,214,1001001009
TC  ,B1   ,201809160034,183,1001001009
TC  ,B1   ,201809160035,191,1001001009
TC  ,B1   ,201809160036,210,1001001009
TC  ,B1   ,201809160037,183,1001001009
TC  ,B1   ,201809160038,183,1001001009
TC  ,B1   ,201809160039,192,1001001009
TC  ,B1   ,201809160040,188,1001001009
TC  ,B1   ,201809160041,213,1001001009
TC  ,B1   ,201809160042,198,1001001009
TC  ,B1   ,201809160043,187,1001001009
TC  ,B1   ,201809160044,183,1001001009
TC  ,B1   ,201809160045,195,1001001009
TC  ,B1   ,201809160046,214,1001001009
TC  ,B1   ,201809160047,202,1001001009
TC  ,B1   ,201809160048,190,1001001009
TC  ,B1   ,201809160049,213,1001001009
TC  ,B1   ,201809160050,198,1001001009
TC  ,B1   ,201809160051,200,1001001009
TC  ,B1   ,201809160052,214,1001001009
TC  ,B1   ,201809160053,210,1001001009
TC  ,B1   ,201809160054,200,1001001009
TC  ,B1   ,201809160055,218,1001001009
TC  ,B1   ,201809160056,175,1001001009
TC  ,B1   ,201809160057,191,1001001009
TC  ,B1   ,201809160058,207,1001001009
TC  ,B1   ,201809160059,193,1001001009
TC  ,B1   ,201809160100,199,1001001009
TC  ,B1   ,201809160101,208,1001001009
TC  ,B1   ,201809160102,209,1001001009
TC  ,B1   ,201809160103,200,1001001009
TC  ,B1   ,201809160104,187,1001001009
TC  ,B1   ,201809160105,202,1001001009
TC  ,B1   ,201809160106,202,1001001009
TC  ,B1   ,201809160107,207,1001001009
TC  ,B1   ,201809160108,191,1001001009
TC  ,B1   ,201809160109,211,1001001009
TC  ,B1   ,201809160110,189,1001001009
TC  ,B1   ,201809160111,176,1001001009
TC  ,B1   ,201809160112,189,1001001009
TC  ,B1   ,201809160113,187,1001001009
TC  ,B1   ,201809160114,183,1001001009
TC  ,B1   ,201809160115,200,1001001009
TC  ,B1   ,201809160116,196,1001001009
TC  ,B1   ,201809160117,197,1001001009
TC  ,B1   ,201809160118,210,1001001009
TC  ,B1   ,201809160119,216,1001001009
TC  ,B1   ,201809160120,183,1001001009
TC  ,B1   ,201809160121,181,1001001009
TC  ,B1   ,201809160122,216,1001001009
TC  ,B1   ,201809160123,219,1001001009
TC  ,B1   ,201809160124,236,1001001009
TC  ,B1   ,201809160125,228,1001001009
TC  ,B1   ,201809160126,204,1001001009
TC  ,B1   ,201809160127,230,1001001009
TC  ,B1   ,201809160128,210,1001001009
TC  ,B1   ,201809160129,220,1001001009
TC  ,B1   ,201809160130,244,1001001009
TC  ,B1   ,201809160131,241,1001001009
TC  ,B1   ,201809160132,237,1001001009
TC  ,B1   ,201809160133,235,1001001009
TC  ,B1   ,201809160134,253,1001001009
TC  ,B1   ,201809160135,236,1001001009
TC  ,B1   ,201809160136,235,1001001009
TC  ,B1   ,201809160137,209,1001001009
TC  ,B1   ,201809160138,204,1001001009
