TKL ,B1   ,201809160000,38,1001001009
TKL ,B1   ,201809160001,34,1001001009
TKL ,B1   ,201809160002,29,1001001009
TKL ,B1   ,201809160003,41,1001001009
TKL ,B1   ,201809160004,43,1001001009
TKL ,B1   ,201809160005,47,1001001009
TKL ,B1   ,201809160006,44,1001001009
TKL ,B1   ,201809160007,41,1001001009
TKL ,B1   ,201809160008,37,1001001009
TKL ,B1   ,201809160009,65,1001001009
TKL ,B1   ,201809160010,43,1001001009
TKL ,B1   ,201809160011,48,1001001009
TKL ,B1   ,201809160012,41,1001001009
TKL ,B1   ,201809160013,32,1001001009
TKL ,B1   ,201809160014,29,1001001009
TKL ,B1   ,201809160015,29,1001001009
TKL ,B1   ,201809160016,40,1001001009
TKL ,B1   ,201809160017,61,1001001009
TKL ,B1   ,201809160018,40,1001001009
TKL ,B1   ,201809160019,55,1001001009
TKL ,B1   ,201809160020,66,1001001009
TKL ,B1   ,201809160021,91,1001001009
TKL ,B1   ,201809160022,67,1001001009
TKL ,B1   ,201809160023,59,1001001009
TKL ,B1   ,201809160024,75,1001001009
TKL ,B1   ,201809160025,65,1001001009
TKL ,B1   ,201809160026,48,1001001009
TKL ,B1   ,201809160027,66,1001001009
TKL ,B1   ,201809160028,71,1001001009
TKL ,B1   ,201809160029,48,1001001009
TKL ,B1   ,201809160030,65,1001001009
TKL ,B1   ,201809160031,59,1001001009
TKL ,B1   ,201809160032,67,1001001009
TKL ,B1   ,201809160033,71,1001001009
TKL ,B1   ,201809160034,74,1001001009
TKL ,B1   ,201809160035,73,1001001009
TKL ,B1   ,201809160036,75,1001001009
TKL ,B1   ,201809160037,81,1001001009
TKL ,B1   ,201809160038,69,1001001009
TKL ,B1   ,201809160039,64,1001001009
TKL ,B1   ,201809160040,57,1001001009
TKL ,B1   ,201809160041,81,1001001009
TKL ,B1   ,201809160042,79,1001001009
TKL ,B1   ,201809160043,65,1001001009
TKL ,B1   ,201809160044,88,1001001009
TKL ,B1   ,201809160045,77,1001001009
TKL ,B1   ,201809160046,68,1001001009
TKL ,B1   ,201809160047,53,1001001009
TKL ,B1   ,201809160048,61,1001001009
TKL ,B1   ,201809160049,75,1001001009
TKL ,B1   ,201809160050,69,1001001009
TKL ,B1   ,201809160051,74,1001001009
TKL ,B1   ,201809160052,56,1001001009
TKL ,B1   ,201809160053,58,1001001009
TKL ,B1   ,201809160054,63,1001001009
TKL ,B1   ,201809160055,65,1001001009
TKL ,B1   ,201809160056,80,1001001009
TKL ,B1   ,201809160057,88,1001001009
TKL ,B1   ,201809160058,75,1001001009
TKL ,B1   ,201809160059,80,1001001009
TKL ,B1   ,201809160100,81,1001001009
TKL ,B1   ,201809160101,69,1001001009
TKL ,B1   ,201809160102,81,1001001009
TKL ,B1   ,201809160103,80,1001001009
TKL ,B1   ,201809160104,63,1001001009
TKL ,B1   ,201809160105,63,1001001009
TKL ,B1   ,201809160106,54,1001001009
TKL ,B1   ,201809160107,83,1001001009
TKL ,B1   ,201809160108,70,1001001009
TKL ,B1   ,201809160109,75,1001001009
TKL ,B1   ,201809160110,65,1001001009
TKL ,B1   ,201809160111,111,1001001009
TKL ,B1   ,201809160112,92,1001001009
TKL ,B1   ,201809160113,45,1001001009
TKL ,B1   ,201809160114,47,1001001009
TKL ,B1   ,201809160115,53,1001001009
TKL ,B1   ,201809160116,57,1001001009
TKL ,B1   ,201809160117,89,1001001009
TKL ,B1   ,201809160118,90,1001001009
TKL ,B1   ,201809160119,72,1001001009
TKL ,B1   ,201809160120,66,1001001009
TKL ,B1   ,201809160121,65,1001001009
TKL ,B1   ,201809160122,74,1001001009
TKL ,B1   ,201809160123,58,1001001009
TKL ,B1   ,201809160124,57,1001001009
TKL ,B1   ,201809160125,63,1001001009
TKL ,B1   ,201809160126,43,1001001009
TKL ,B1   ,201809160127,45,1001001009
TKL ,B1   ,201809160128,47,1001001009
TKL ,B1   ,201809160129,52,1001001009
TKL ,B1   ,201809160130,50,1001001009
TKL ,B1   ,201809160131,44,1001001009
TKL ,B1   ,201809160132,50,1001001009
TKL ,B1   ,201809160133,78,1001001009
TKL ,B1   ,201809160134,79,1001001009
TKL ,B1   ,201809160135,71,1001001009
TKL ,B1   ,201809160136,68,1001001009
TKL ,B1   ,201809160137,52,1001001009
TKL ,B1   ,201809160138,50,1001001009
TKL ,B1   ,201809160139,49,1001001009
TKL ,B1   ,201809160140,47,1001001009
TKL ,B1   ,201809160141,46,1001001009
TKL ,B1   ,201809160142,53,1001001009
TKL ,B1   ,201809160143,37,1001001009
TKL ,B1   ,201809160144,64,1001001009
TKL ,B1   ,201809160145,47,1001001009
TKL ,B1   ,201809160146,75,1001001009
TKL ,B1   ,201809160147,73,1001001009
TKL ,B1   ,201809160148,51,1001001009
TKL ,B1   ,201809160149,54,1001001009
TKL ,B1   ,201809160150,57,1001001009
TKL ,B1   ,201809160151,62,1001001009
TKL ,B1   ,201809160152,53,1001001009
TKL ,B1   ,201809160153,54,1001001009
TKL ,B1   ,201809160154,47,1001001009
TKL ,B1   ,201809160155,54,1001001009
