TKL ,J1   ,201809160000,318,1101001009
TKL ,J1   ,201809160001,318,1101001009
TKL ,J1   ,201809160002,317,1101001009
TKL ,J1   ,201809160003,317,1101001009
TKL ,J1   ,201809160004,317,1101001009
TKL ,J1   ,201809160005,317,1101001009
TKL ,J1   ,201809160006,317,1101001009
TKL ,J1   ,201809160007,317,1101001009
TKL ,J1   ,201809160008,317,1101001009
TKL ,J1   ,201809160009,317,1101001009
TKL ,J1   ,201809160010,317,1101001009
TKL ,J1   ,201809160011,317,1101001009
TKL ,J1   ,201809160012,317,1101001009
TKL ,J1   ,201809160013,317,1101001009
TKL ,J1   ,201809160014,316,1101001009
TKL ,J1   ,201809160015,316,1101001009
TKL ,J1   ,201809160016,316,1101001009
TKL ,J1   ,201809160017,316,1101001009
TKL ,J1   ,201809160018,317,1101001009
TKL ,J1   ,201809160019,317,1101001009
TKL ,J1   ,201809160020,317,1101001009
TKL ,J1   ,201809160021,317,1101001009
TKL ,J1   ,201809160022,318,1101001009
TKL ,J1   ,201809160023,319,1101001009
TKL ,J1   ,201809160024,319,1101001009
TKL ,J1   ,201809160025,318,1101001009
TKL ,J1   ,201809160026,318,1101001009
TKL ,J1   ,201809160027,318,1101001009
TKL ,J1   ,201809160028,318,1101001009
TKL ,J1   ,201809160029,319,1101001009
TKL ,J1   ,201809160030,319,1101001009
TKL ,J1   ,201809160031,319,1101001009
TKL ,J1   ,201809160032,319,1101001009
TKL ,J1   ,201809160033,319,1101001009
TKL ,J1   ,201809160034,318,1101001009
TKL ,J1   ,201809160035,318,1001001009
TKL ,J1   ,201809160036,318,1101001009
TKL ,J1   ,201809160037,318,1101001009
TKL ,J1   ,201809160038,318,1101001009
TKL ,J1   ,201809160039,318,1101001009
TKL ,J1   ,201809160040,318,1101001009
TKL ,J1   ,201809160041,318,1101001009
TKL ,J1   ,201809160042,318,1101001009
TKL ,J1   ,201809160043,318,1101001009
TKL ,J1   ,201809160044,318,1101001009
TKL ,J1   ,201809160045,318,1101001009
TKL ,J1   ,201809160046,317,1101001009
TKL ,J1   ,201809160047,317,1101001009
TKL ,J1   ,201809160048,317,1101001009
TKL ,J1   ,201809160049,317,1101001009
TKL ,J1   ,201809160050,317,1101001009
TKL ,J1   ,201809160051,316,1101001009
TKL ,J1   ,201809160052,316,1101001009
TKL ,J1   ,201809160053,315,1101001009
TKL ,J1   ,201809160054,315,1101001009
TKL ,J1   ,201809160055,315,1101001009
TKL ,J1   ,201809160056,314,1101001009
TKL ,J1   ,201809160057,314,1101001009
TKL ,J1   ,201809160058,314,1101001009
TKL ,J1   ,201809160059,314,1101001009
TKL ,J1   ,201809160100,313,1101001009
TKL ,J1   ,201809160101,312,1101001009
TKL ,J1   ,201809160102,311,1101001009
TKL ,J1   ,201809160103,311,1101001009
TKL ,J1   ,201809160104,311,1101001009
TKL ,J1   ,201809160105,311,1101001009
TKL ,J1   ,201809160106,311,1101001009
TKL ,J1   ,201809160107,311,1101001009
TKL ,J1   ,201809160108,311,1101001009
TKL ,J1   ,201809160109,311,1101001009
TKL ,J1   ,201809160110,311,1101001009
TKL ,J1   ,201809160111,310,1101001009
TKL ,J1   ,201809160112,310,1101001009
TKL ,J1   ,201809160113,310,1101001009
TKL ,J1   ,201809160114,310,1101001009
TKL ,J1   ,201809160115,310,1101001009
TKL ,J1   ,201809160116,309,1101001009
TKL ,J1   ,201809160117,309,1101001009
TKL ,J1   ,201809160118,309,1101001009
TKL ,J1   ,201809160119,310,1101001009
TKL ,J1   ,201809160120,310,1101001009
TKL ,J1   ,201809160121,310,1101001009
TKL ,J1   ,201809160122,309,1101001009
TKL ,J1   ,201809160123,309,1101001009
TKL ,J1   ,201809160124,309,1101001009
TKL ,J1   ,201809160125,309,1101001009
TKL ,J1   ,201809160126,308,1101001009
TKL ,J1   ,201809160127,308,1101001009
TKL ,J1   ,201809160128,308,1101001009
TKL ,J1   ,201809160129,307,1101001009
TKL ,J1   ,201809160130,307,1101001009
TKL ,J1   ,201809160131,306,1101001009
TKL ,J1   ,201809160132,306,1101001009
TKL ,J1   ,201809160133,306,1101001009
TKL ,J1   ,201809160134,307,1101001009
TKL ,J1   ,201809160135,308,1101001009
TKL ,J1   ,201809160136,309,1101001009
TKL ,J1   ,201809160137,308,1101001009
TKL ,J1   ,201809160138,308,1101001009
TKL ,J1   ,201809160139,308,1101001009
TKL ,J1   ,201809160140,308,1101001009
TKL ,J1   ,201809160141,308,1101001009
TKL ,J1   ,201809160142,308,1101001009
TKL ,J1   ,201809160143,307,1101001009
TKL ,J1   ,201809160144,307,1101001009
TKL ,J1   ,201809160145,307,1101001009
TKL ,J1   ,201809160146,307,1101001009
TKL ,J1   ,201809160147,308,1101001009
TKL ,J1   ,201809160148,308,1101001009
TKL ,J1   ,201809160149,308,1101001009
TKL ,J1   ,201809160150,308,1101001009
TKL ,J1   ,201809160151,307,1101001009
TKL ,J1   ,201809160152,307,1101001009
TKL ,J1   ,201809160153,307,1101001009
TKL ,J1   ,201809160154,307,1101001009
TKL ,J1   ,201809160155,307,1101001009
TKL ,J1   ,201809160156,307,1101001009
TKL ,J1   ,201809160157,307,1101001009
TKL ,J1   ,201809160158,307,1101001009
TKL ,J1   ,201809160159,306,1101001009
TKL ,J1   ,201809160200,307,1101001009
TKL ,J1   ,201809160201,307,1101001009
TKL ,J1   ,201809160202,309,1101001009
TKL ,J1   ,201809160203,308,1101001009
TKL ,J1   ,201809160204,308,1101001009
TKL ,J1   ,201809160205,307,1101001009
TKL ,J1   ,201809160206,307,1101001009
TKL ,J1   ,201809160207,307,1101001009
TKL ,J1   ,201809160208,307,1101001009
TKL ,J1   ,201809160209,306,1101001009
TKL ,J1   ,201809160210,306,1101001009
TKL ,J1   ,201809160211,306,1101001009
TKL ,J1   ,201809160212,306,1101001009
TKL ,J1   ,201809160213,306,1101001009
TKL ,J1   ,201809160214,306,1101001009
TKL ,J1   ,201809160215,306,1101001009
TKL ,J1   ,201809160216,305,1101001009
TKL ,J1   ,201809160217,305,1101001009
