TME ,B1   ,201809160000,53,1001001009
TME ,B1   ,201809160001,64,1001001009
TME ,B1   ,201809160002,49,1001001009
TME ,B1   ,201809160003,57,1001001009
TME ,B1   ,201809160004,50,1001001009
TME ,B1   ,201809160005,52,1001001009
TME ,B1   ,201809160006,47,1001001009
TME ,B1   ,201809160007,55,1001001009
TME ,B1   ,201809160008,47,1001001009
TME ,B1   ,201809160009,74,1001001009
TME ,B1   ,201809160010,70,1001001009
TME ,B1   ,201809160011,66,1001001009
TME ,B1   ,201809160012,54,1001001009
TME ,B1   ,201809160013,48,1001001009
TME ,B1   ,201809160014,52,1001001009
TME ,B1   ,201809160015,66,1001001009
TME ,B1   ,201809160016,60,1001001009
TME ,B1   ,201809160017,49,1001001009
TME ,B1   ,201809160018,45,1001001009
TME ,B1   ,201809160019,55,1001001009
TME ,B1   ,201809160020,60,1001001009
TME ,B1   ,201809160021,72,1001001009
TME ,B1   ,201809160022,46,1001001009
TME ,B1   ,201809160023,51,1001001009
TME ,B1   ,201809160024,71,1001001009
TME ,B1   ,201809160025,75,1001001009
TME ,B1   ,201809160026,75,1001001009
TME ,B1   ,201809160027,75,1001001009
TME ,B1   ,201809160028,56,1001001009
TME ,B1   ,201809160029,51,1001001009
TME ,B1   ,201809160030,33,1001001009
TME ,B1   ,201809160031,48,1001001009
TME ,B1   ,201809160032,40,1001001009
TME ,B1   ,201809160033,43,1001001009
TME ,B1   ,201809160034,37,1001001009
TME ,B1   ,201809160035,49,1001001009
TME ,B1   ,201809160036,47,1001001009
TME ,B1   ,201809160037,51,1001001009
TME ,B1   ,201809160038,50,1001001009
TME ,B1   ,201809160039,67,1001001009
TME ,B1   ,201809160040,56,1001001009
TME ,B1   ,201809160041,59,1001001009
TME ,B1   ,201809160042,56,1001001009
TME ,B1   ,201809160043,56,1001001009
TME ,B1   ,201809160044,57,1001001009
TME ,B1   ,201809160045,73,1001001009
TME ,B1   ,201809160046,62,1001001009
TME ,B1   ,201809160047,51,1001001009
TME ,B1   ,201809160048,57,1001001009
TME ,B1   ,201809160049,64,1001001009
TME ,B1   ,201809160050,61,1001001009
TME ,B1   ,201809160051,61,1001001009
TME ,B1   ,201809160052,54,1001001009
TME ,B1   ,201809160053,59,1001001009
TME ,B1   ,201809160054,51,1001001009
TME ,B1   ,201809160055,50,1001001009
TME ,B1   ,201809160056,48,1001001009
TME ,B1   ,201809160057,52,1001001009
TME ,B1   ,201809160058,62,1001001009
TME ,B1   ,201809160059,59,1001001009
TME ,B1   ,201809160100,45,1001001009
TME ,B1   ,201809160101,48,1001001009
TME ,B1   ,201809160102,43,1001001009
TME ,B1   ,201809160103,43,1001001009
TME ,B1   ,201809160104,46,1001001009
TME ,B1   ,201809160105,46,1001001009
TME ,B1   ,201809160106,45,1001001009
TME ,B1   ,201809160107,51,1001001009
TME ,B1   ,201809160108,44,1001001009
TME ,B1   ,201809160109,56,1001001009
TME ,B1   ,201809160110,53,1001001009
TME ,B1   ,201809160111,53,1001001009
TME ,B1   ,201809160112,55,1001001009
TME ,B1   ,201809160113,62,1001001009
TME ,B1   ,201809160114,60,1001001009
TME ,B1   ,201809160115,45,1001001009
TME ,B1   ,201809160116,60,1001001009
TME ,B1   ,201809160117,61,1001001009
TME ,B1   ,201809160118,53,1001001009
TME ,B1   ,201809160119,51,1001001009
TME ,B1   ,201809160120,62,1001001009
TME ,B1   ,201809160121,55,1001001009
TME ,B1   ,201809160122,64,1001001009
TME ,B1   ,201809160123,61,1001001009
TME ,B1   ,201809160124,64,1001001009
TME ,B1   ,201809160125,67,1001001009
