TPK ,B1   ,201809160000,89,1001001009
TPK ,B1   ,201809160001,62,1001001009
TPK ,B1   ,201809160002,77,1001001009
TPK ,B1   ,201809160003,78,1001001009
TPK ,B1   ,201809160004,90,1001001009
TPK ,B1   ,201809160005,95,1001001009
TPK ,B1   ,201809160006,107,1001001009
TPK ,B1   ,201809160007,89,1001001009
TPK ,B1   ,201809160008,95,1001001009
TPK ,B1   ,201809160009,72,1001001009
TPK ,B1   ,201809160010,75,1001001009
TPK ,B1   ,201809160011,56,1001001009
TPK ,B1   ,201809160012,64,1001001009
TPK ,B1   ,201809160013,72,1001001009
TPK ,B1   ,201809160014,73,1001001009
TPK ,B1   ,201809160015,82,1001001009
TPK ,B1   ,201809160016,90,1001001009
TPK ,B1   ,201809160017,78,1001001009
TPK ,B1   ,201809160018,69,1001001009
TPK ,B1   ,201809160019,69,1001001009
TPK ,B1   ,201809160020,75,1001001009
TPK ,B1   ,201809160021,83,1001001009
TPK ,B1   ,201809160022,73,1001001009
TPK ,B1   ,201809160023,66,1001001009
TPK ,B1   ,201809160024,107,1001001009
TPK ,B1   ,201809160025,70,1001001009
TPK ,B1   ,201809160026,79,1001001009
TPK ,B1   ,201809160027,65,1001001009
TPK ,B1   ,201809160028,75,1001001009
TPK ,B1   ,201809160029,93,1001001009
TPK ,B1   ,201809160030,57,1001001009
TPK ,B1   ,201809160031,60,1001001009
TPK ,B1   ,201809160032,46,1001001009
TPK ,B1   ,201809160033,31,1001001009
TPK ,B1   ,201809160034,50,1001001009
TPK ,B1   ,201809160035,55,1001001009
TPK ,B1   ,201809160036,45,1001001009
TPK ,B1   ,201809160037,53,1001001009
TPK ,B1   ,201809160038,43,1001001009
TPK ,B1   ,201809160039,95,1001001009
TPK ,B1   ,201809160040,86,1001001009
TPK ,B1   ,201809160041,66,1001001009
TPK ,B1   ,201809160042,69,1001001009
TPK ,B1   ,201809160043,97,1001001009
TPK ,B1   ,201809160044,82,1001001009
TPK ,B1   ,201809160045,74,1001001009
TPK ,B1   ,201809160046,104,1001001009
TPK ,B1   ,201809160047,109,1001001009
TPK ,B1   ,201809160048,91,1001001009
TPK ,B1   ,201809160049,60,1001001009
TPK ,B1   ,201809160050,32,1001001009
TPK ,B1   ,201809160051,64,1001001009
TPK ,B1   ,201809160052,89,1001001009
TPK ,B1   ,201809160053,77,1001001009
TPK ,B1   ,201809160054,87,1001001009
TPK ,B1   ,201809160055,70,1001001009
TPK ,B1   ,201809160056,52,1001001009
TPK ,B1   ,201809160057,68,1001001009
TPK ,B1   ,201809160058,67,1001001009
TPK ,B1   ,201809160059,72,1001001009
TPK ,B1   ,201809160100,64,1001001009
TPK ,B1   ,201809160101,102,1001001009
TPK ,B1   ,201809160102,111,1001001009
TPK ,B1   ,201809160103,64,1001001009
TPK ,B1   ,201809160104,74,1001001009
TPK ,B1   ,201809160105,65,1001001009
TPK ,B1   ,201809160106,87,1001001009
TPK ,B1   ,201809160107,100,1001001009
TPK ,B1   ,201809160108,75,1001001009
TPK ,B1   ,201809160109,87,1001001009
TPK ,B1   ,201809160110,85,1001001009
TPK ,B1   ,201809160111,79,1001001009
TPK ,B1   ,201809160112,49,1001001009
TPK ,B1   ,201809160113,70,1001001009
TPK ,B1   ,201809160114,69,1001001009
TPK ,B1   ,201809160115,114,1001001009
TPK ,B1   ,201809160116,100,1001001009
TPK ,B1   ,201809160117,92,1001001009
TPK ,B1   ,201809160118,73,1001001009
TPK ,B1   ,201809160119,88,1001001009
TPK ,B1   ,201809160120,67,1001001009
TPK ,B1   ,201809160121,71,1001001009
TPK ,B1   ,201809160122,81,1001001009
TPK ,B1   ,201809160123,95,1001001009
TPK ,B1   ,201809160124,89,1001001009
TPK ,B1   ,201809160125,49,1001001009
TPK ,B1   ,201809160126,53,1001001009
TPK ,B1   ,201809160127,85,1001001009
TPK ,B1   ,201809160128,88,1001001009
TPK ,B1   ,201809160129,95,1001001009
TPK ,B1   ,201809160130,84,1001001009
TPK ,B1   ,201809160131,105,1001001009
TPK ,B1   ,201809160132,97,1001001009
TPK ,B1   ,201809160133,86,1001001009
TPK ,B1   ,201809160134,77,1001001009
TPK ,B1   ,201809160135,94,1001001009
TPK ,B1   ,201809160136,105,1001001009
TPK ,B1   ,201809160137,117,1001001009
TPK ,B1   ,201809160138,99,1001001009
TPK ,B1   ,201809160139,102,1001001009
TPK ,B1   ,201809160140,77,1001001009
TPK ,B1   ,201809160141,117,1001001009
TPK ,B1   ,201809160142,74,1001001009
TPK ,B1   ,201809160143,82,1001001009
TPK ,B1   ,201809160144,81,1001001009
TPK ,B1   ,201809160145,56,1001001009
TPK ,B1   ,201809160146,54,1001001009
TPK ,B1   ,201809160147,58,1001001009
TPK ,B1   ,201809160148,65,1001001009
TPK ,B1   ,201809160149,49,1001001009
TPK ,B1   ,201809160150,67,1001001009
TPK ,B1   ,201809160151,87,1001001009
TPK ,B1   ,201809160152,66,1001001009
TPK ,B1   ,201809160153,50,1001001009
TPK ,B1   ,201809160154,62,1001001009
TPK ,B1   ,201809160155,66,1001001009
TPK ,B1   ,201809160156,93,1001001009
TPK ,B1   ,201809160157,95,1001001009
TPK ,B1   ,201809160158,78,1001001009
TPK ,B1   ,201809160159,92,1001001009
TPK ,B1   ,201809160200,115,1001001009
TPK ,B1   ,201809160201,115,1001001009
TPK ,B1   ,201809160202,120,1001001009
TPK ,B1   ,201809160203,102,1001001009
TPK ,B1   ,201809160204,110,1001001009
TPK ,B1   ,201809160205,69,1001001009
TPK ,B1   ,201809160206,88,1001001009
TPK ,B1   ,201809160207,92,1001001009
TPK ,B1   ,201809160208,80,1001001009
TPK ,B1   ,201809160209,95,1001001009
TPK ,B1   ,201809160210,118,1001001009
TPK ,B1   ,201809160211,108,1001001009
TPK ,B1   ,201809160212,87,1001001009
TPK ,B1   ,201809160213,97,1001001009
TPK ,B1   ,201809160214,74,1001001009
TPK ,B1   ,201809160215,73,1001001009
