TUN ,B1   ,201809160000,30,1001001009
TUN ,B1   ,201809160001,51,1001001009
TUN ,B1   ,201809160002,41,1001001009
TUN ,B1   ,201809160003,25,1001001009
TUN ,B1   ,201809160004,22,1001001009
TUN ,B1   ,201809160005,53,1001001009
TUN ,B1   ,201809160006,42,1001001009
TUN ,B1   ,201809160007,37,1001001009
TUN ,B1   ,201809160008,41,1001001009
TUN ,B1   ,201809160009,36,1001001009
TUN ,B1   ,201809160010,38,1001001009
TUN ,B1   ,201809160011,46,1001001009
TUN ,B1   ,201809160012,39,1001001009
TUN ,B1   ,201809160013,35,1001001009
TUN ,B1   ,201809160014,33,1001001009
TUN ,B1   ,201809160015,29,1001001009
TUN ,B1   ,201809160016,34,1001001009
TUN ,B1   ,201809160017,43,1001001009
TUN ,B1   ,201809160018,63,1001001009
TUN ,B1   ,201809160019,33,1001001009
TUN ,B1   ,201809160020,33,1001001009
TUN ,B1   ,201809160021,19,1001001009
TUN ,B1   ,201809160022,32,1001001009
TUN ,B1   ,201809160023,59,1001001009
TUN ,B1   ,201809160024,39,1001001009
TUN ,B1   ,201809160025,28,1001001009
TUN ,B1   ,201809160026,24,1001001009
TUN ,B1   ,201809160027,22,1001001009
TUN ,B1   ,201809160028,36,1001001009
TUN ,B1   ,201809160029,24,1001001009
TUN ,B1   ,201809160030,23,1001001009
TUN ,B1   ,201809160031,42,1001001009
TUN ,B1   ,201809160032,26,1001001009
TUN ,B1   ,201809160033,21,1001001009
TUN ,B1   ,201809160034,48,1001001009
TUN ,B1   ,201809160035,37,1001001009
TUN ,B1   ,201809160036,32,1001001009
TUN ,B1   ,201809160037,31,1001001009
TUN ,B1   ,201809160038,33,1001001009
TUN ,B1   ,201809160039,44,1001001009
TUN ,B1   ,201809160040,42,1001001009
TUN ,B1   ,201809160041,58,1001001009
TUN ,B1   ,201809160042,38,1001001009
TUN ,B1   ,201809160043,43,1001001009
TUN ,B1   ,201809160044,29,1001001009
TUN ,B1   ,201809160045,36,1001001009
TUN ,B1   ,201809160046,32,1001001009
TUN ,B1   ,201809160047,44,1001001009
TUN ,B1   ,201809160048,49,1001001009
TUN ,B1   ,201809160049,44,1001001009
TUN ,B1   ,201809160050,66,1001001009
TUN ,B1   ,201809160051,54,1001001009
TUN ,B1   ,201809160052,24,1001001009
TUN ,B1   ,201809160053,24,1001001009
TUN ,B1   ,201809160054,24,1001001009
TUN ,B1   ,201809160055,25,1001001009
TUN ,B1   ,201809160056,36,1001001009
TUN ,B1   ,201809160057,36,1001001009
TUN ,B1   ,201809160058,43,1001001009
TUN ,B1   ,201809160059,35,1001001009
TUN ,B1   ,201809160100,38,1001001009
TUN ,B1   ,201809160101,36,1001001009
TUN ,B1   ,201809160102,43,1001001009
TUN ,B1   ,201809160103,32,1001001009
TUN ,B1   ,201809160104,26,1001001009
TUN ,B1   ,201809160105,28,1001001009
TUN ,B1   ,201809160106,24,1001001009
TUN ,B1   ,201809160107,40,1001001009
TUN ,B1   ,201809160108,36,1001001009
TUN ,B1   ,201809160109,41,1001001009
TUN ,B1   ,201809160110,54,1001001009
TUN ,B1   ,201809160111,26,1001001009
TUN ,B1   ,201809160112,18,1001001009
TUN ,B1   ,201809160113,34,1001001009
TUN ,B1   ,201809160114,55,1001001009
TUN ,B1   ,201809160115,40,1001001009
TUN ,B1   ,201809160116,21,1001001009
TUN ,B1   ,201809160117,50,1001001009
TUN ,B1   ,201809160118,36,1001001009
TUN ,B1   ,201809160119,41,1001001009
TUN ,B1   ,201809160120,23,1001001009
TUN ,B1   ,201809160121,34,1001001009
TUN ,B1   ,201809160122,39,1001001009
TUN ,B1   ,201809160123,39,1001001009
TUN ,B1   ,201809160124,33,1001001009
TUN ,B1   ,201809160125,25,1001001009
TUN ,B1   ,201809160126,31,1001001009
TUN ,B1   ,201809160127,43,1001001009
TUN ,B1   ,201809160128,67,1001001009
TUN ,B1   ,201809160129,38,1001001009
TUN ,B1   ,201809160130,38,1001001009
TUN ,B1   ,201809160131,26,1001001009
TUN ,B1   ,201809160132,70,1001001009
TUN ,B1   ,201809160133,43,1001001009
TUN ,B1   ,201809160134,36,1001001009
TUN ,B1   ,201809160135,22,1001001009
TUN ,B1   ,201809160136,34,1001001009
TUN ,B1   ,201809160137,45,1001001009
TUN ,B1   ,201809160138,11,1001001009
TUN ,B1   ,201809160139,7,1001001009
TUN ,B1   ,201809160140,27,1001001009
TUN ,B1   ,201809160141,21,1001001009
TUN ,B1   ,201809160142,31,1001001009
TUN ,B1   ,201809160143,21,1001001009
TUN ,B1   ,201809160144,24,1001001009
TUN ,B1   ,201809160145,23,1001001009
TUN ,B1   ,201809160146,34,1001001009
TUN ,B1   ,201809160147,39,1001001009
TUN ,B1   ,201809160148,60,1001001009
TUN ,B1   ,201809160149,36,1001001009
TUN ,B1   ,201809160150,41,1001001009
TUN ,B1   ,201809160151,51,1001001009
TUN ,B1   ,201809160152,34,1001001009
TUN ,B1   ,201809160153,34,1001001009
TUN ,B1   ,201809160154,32,1001001009
TUN ,B1   ,201809160155,20,1001001009
TUN ,B1   ,201809160156,25,1001001009
TUN ,B1   ,201809160157,45,1001001009
TUN ,B1   ,201809160158,41,1001001009
TUN ,B1   ,201809160159,28,1001001009
TUN ,B1   ,201809160200,35,1001001009
TUN ,B1   ,201809160201,34,1001001009
TUN ,B1   ,201809160202,20,1001001009
TUN ,B1   ,201809160203,49,1001001009
TUN ,B1   ,201809160204,31,1001001009
TUN ,B1   ,201809160205,41,1001001009
TUN ,B1   ,201809160206,61,1001001009
TUN ,B1   ,201809160207,45,1001001009
TUN ,B1   ,201809160208,58,1001001009
TUN ,B1   ,201809160209,43,1001001009
TUN ,B1   ,201809160210,36,1001001009
TUN ,B1   ,201809160211,21,1001001009
TUN ,B1   ,201809160212,50,1001001009
TUN ,B1   ,201809160213,43,1001001009
TUN ,B1   ,201809160214,49,1001001009
TUN ,B1   ,201809160215,26,1001001009
TUN ,B1   ,201809160216,37,1001001009
TUN ,B1   ,201809160217,28,1001001009
TUN ,B1   ,201809160218,46,1001001009
TUN ,B1   ,201809160219,30,1001001009
TUN ,B1   ,201809160220,36,1001001009
TUN ,B1   ,201809160221,36,1001001009
TUN ,B1   ,201809160222,18,1001001009
TUN ,B1   ,201809160223,43,1001001009
TUN ,B1   ,201809160224,41,1001001009
TUN ,B1   ,201809160225,21,1001001009
TUN ,B1   ,201809160226,27,1001001009
TUN ,B1   ,201809160227,32,1001001009
TUN ,B1   ,201809160228,43,1001001009
TUN ,B1   ,201809160229,62,1001001009
TUN ,B1   ,201809160230,33,1001001009
TUN ,B1   ,201809160231,33,1001001009
TUN ,B1   ,201809160232,23,1001001009
TUN ,B1   ,201809160233,36,1001001009
TUN ,B1   ,201809160234,52,1001001009
TUN ,B1   ,201809160235,57,1001001009
TUN ,B1   ,201809160236,62,1001001009
TUN ,B1   ,201809160237,52,1001001009
TUN ,B1   ,201809160238,28,1001001009
TUN ,B1   ,201809160239,32,1001001009
TUN ,B1   ,201809160240,21,1001001009
TUN ,B1   ,201809160241,36,1001001009
TUN ,B1   ,201809160242,51,1001001009
TUN ,B1   ,201809160243,37,1001001009
TUN ,B1   ,201809160244,35,1001001009
TUN ,B1   ,201809160245,49,1001001009
TUN ,B1   ,201809160246,42,1001001009
TUN ,B1   ,201809160247,23,1001001009
TUN ,B1   ,201809160248,43,1001001009
TUN ,B1   ,201809160249,34,1001001009
TUN ,B1   ,201809160250,36,1001001009
TUN ,B1   ,201809160251,46,1001001009
TUN ,B1   ,201809160252,33,1001001009
TUN ,B1   ,201809160253,43,1001001009
TUN ,B1   ,201809160254,35,1001001009
TUN ,B1   ,201809160255,37,1001001009
TUN ,B1   ,201809160256,18,1001001009
TUN ,B1   ,201809160257,19,1001001009
TUN ,B1   ,201809160258,39,1001001009
TUN ,B1   ,201809160259,41,1001001009
TUN ,B1   ,201809160300,42,1001001009
TUN ,B1   ,201809160301,32,1001001009
TUN ,B1   ,201809160302,45,1001001009
TUN ,B1   ,201809160303,33,1001001009
TUN ,B1   ,201809160304,22,1001001009
TUN ,B1   ,201809160305,27,1001001009
TUN ,B1   ,201809160306,44,1001001009
TUN ,B1   ,201809160307,80,1001001009
TUN ,B1   ,201809160308,48,1001001009
TUN ,B1   ,201809160309,31,1001001009
TUN ,B1   ,201809160310,38,1001001009
TUN ,B1   ,201809160311,43,1001001009
TUN ,B1   ,201809160312,43,1001001009
TUN ,B1   ,201809160313,37,1001001009
TUN ,B1   ,201809160314,21,1001001009
TUN ,B1   ,201809160315,40,1001001009
TUN ,B1   ,201809160316,25,1001001009
TUN ,B1   ,201809160317,32,1001001009
TUN ,B1   ,201809160318,43,1001001009
TUN ,B1   ,201809160319,29,1001001009
TUN ,B1   ,201809160320,53,1001001009
TUN ,B1   ,201809160321,59,1001001009
TUN ,B1   ,201809160322,20,1001001009
TUN ,B1   ,201809160323,36,1001001009
TUN ,B1   ,201809160324,50,1001001009
TUN ,B1   ,201809160325,47,1001001009
TUN ,B1   ,201809160326,26,1001001009
TUN ,B1   ,201809160327,40,1001001009
TUN ,B1   ,201809160328,21,1001001009
TUN ,B1   ,201809160329,45,1001001009
TUN ,B1   ,201809160330,57,1001001009
TUN ,B1   ,201809160331,38,1001001009
TUN ,B1   ,201809160332,46,1001001009
TUN ,B1   ,201809160333,35,1001001009
TUN ,B1   ,201809160334,40,1001001009
TUN ,B1   ,201809160335,33,1001001009
TUN ,B1   ,201809160336,43,1001001009
TUN ,B1   ,201809160337,27,1001001009
TUN ,B1   ,201809160338,30,1001001009
TUN ,B1   ,201809160339,37,1001001009
TUN ,B1   ,201809160340,13,1001001009
TUN ,B1   ,201809160341,30,1001001009
TUN ,B1   ,201809160342,49,1001001009
TUN ,B1   ,201809160343,40,1001001009
TUN ,B1   ,201809160344,36,1001001009
TUN ,B1   ,201809160345,32,1001001009
TUN ,B1   ,201809160346,23,1001001009
TUN ,B1   ,201809160347,28,1001001009
TUN ,B1   ,201809160348,19,1001001009
TUN ,B1   ,201809160349,22,1001001009
TUN ,B1   ,201809160350,47,1001001009
TUN ,B1   ,201809160351,27,1001001009
TUN ,B1   ,201809160352,50,1001001009
TUN ,B1   ,201809160353,57,1001001009
TUN ,B1   ,201809160354,44,1001001009
TUN ,B1   ,201809160355,51,1001001009
TUN ,B1   ,201809160356,22,1001001009
TUN ,B1   ,201809160357,43,1001001009
TUN ,B1   ,201809160358,45,1001001009
TUN ,B1   ,201809160359,34,1001001009
TUN ,B1   ,201809160400,22,1001001009
TUN ,B1   ,201809160401,40,1001001009
TUN ,B1   ,201809160402,48,1001001009
TUN ,B1   ,201809160403,55,1001001009
TUN ,B1   ,201809160404,40,1001001009
TUN ,B1   ,201809160405,51,1001001009
TUN ,B1   ,201809160406,38,1001001009
TUN ,B1   ,201809160407,30,1001001009
TUN ,B1   ,201809160408,27,1001001009
TUN ,B1   ,201809160409,36,1001001009
TUN ,B1   ,201809160410,58,1001001009
TUN ,B1   ,201809160411,41,1001001009
TUN ,B1   ,201809160412,32,1001001009
TUN ,B1   ,201809160413,19,1001001009
TUN ,B1   ,201809160414,30,1001001009
TUN ,B1   ,201809160415,29,1001001009
TUN ,B1   ,201809160416,29,1001001009
TUN ,B1   ,201809160417,45,1001001009
TUN ,B1   ,201809160418,91,1001001009
TUN ,B1   ,201809160419,60,1001001009
TUN ,B1   ,201809160420,55,1001001009
TUN ,B1   ,201809160421,36,1001001009
TUN ,B1   ,201809160422,48,1001001009
TUN ,B1   ,201809160423,49,1001001009
TUN ,B1   ,201809160424,37,1001001009
TUN ,B1   ,201809160425,27,1001001009
TUN ,B1   ,201809160426,52,1001001009
TUN ,B1   ,201809160427,35,1001001009
TUN ,B1   ,201809160428,46,1001001009
TUN ,B1   ,201809160429,52,1001001009
TUN ,B1   ,201809160430,19,1001001009
TUN ,B1   ,201809160431,26,1001001009
TUN ,B1   ,201809160432,45,1001001009
TUN ,B1   ,201809160433,53,1001001009
TUN ,B1   ,201809160434,34,1001001009
TUN ,B1   ,201809160435,49,1001001009
TUN ,B1   ,201809160436,39,1001001009
TUN ,B1   ,201809160437,47,1001001009
TUN ,B1   ,201809160438,36,1001001009
TUN ,B1   ,201809160439,29,1001001009
TUN ,B1   ,201809160440,35,1001001009
TUN ,B1   ,201809160441,30,1001001009
TUN ,B1   ,201809160442,13,1001001009
TUN ,B1   ,201809160443,24,1001001009
TUN ,B1   ,201809160444,35,1001001009
TUN ,B1   ,201809160445,45,1001001009
TUN ,B1   ,201809160446,51,1001001009
TUN ,B1   ,201809160447,55,1001001009
TUN ,B1   ,201809160448,33,1001001009
TUN ,B1   ,201809160449,37,1001001009
TUN ,B1   ,201809160450,25,1001001009
TUN ,B1   ,201809160451,36,1001001009
TUN ,B1   ,201809160452,72,1001001009
TUN ,B1   ,201809160453,46,1001001009
TUN ,B1   ,201809160454,39,1001001009
TUN ,B1   ,201809160455,37,1001001009
TUN ,B1   ,201809160456,52,1001001009
TUN ,B1   ,201809160457,56,1001001009
TUN ,B1   ,201809160458,67,1001001009
TUN ,B1   ,201809160459,78,1001001009
TUN ,B1   ,201809160500,85,1001001009
TUN ,B1   ,201809160501,37,1001001009
TUN ,B1   ,201809160502,25,1001001009
TUN ,B1   ,201809160503,49,1001001009
TUN ,B1   ,201809160504,40,1001001009
TUN ,B1   ,201809160505,39,1001001009
TUN ,B1   ,201809160506,42,1001001009
TUN ,B1   ,201809160507,46,1001001009
TUN ,B1   ,201809160508,32,1001001009
TUN ,B1   ,201809160509,38,1001001009
TUN ,B1   ,201809160510,36,1001001009
TUN ,B1   ,201809160511,32,1001001009
TUN ,B1   ,201809160512,48,1001001009
TUN ,B1   ,201809160513,51,1001001009
TUN ,B1   ,201809160514,37,1001001009
TUN ,B1   ,201809160515,55,1001001009
TUN ,B1   ,201809160516,44,1001001009
TUN ,B1   ,201809160517,86,1001001009
TUN ,B1   ,201809160518,46,1001001009
TUN ,B1   ,201809160519,79,1001001009
TUN ,B1   ,201809160520,61,1001001009
TUN ,B1   ,201809160521,60,1001001009
TUN ,B1   ,201809160522,40,1001001009
TUN ,B1   ,201809160523,48,1001001009
TUN ,B1   ,201809160524,35,1001001009
TUN ,B1   ,201809160525,40,1001001009
TUN ,B1   ,201809160526,49,1001001009
TUN ,B1   ,201809160527,43,1001001009
TUN ,B1   ,201809160528,78,1001001009
TUN ,B1   ,201809160529,53,1001001009
TUN ,B1   ,201809160530,71,1001001009
TUN ,B1   ,201809160531,42,1001001009
TUN ,B1   ,201809160532,76,1001001009
TUN ,B1   ,201809160533,68,1001001009
TUN ,B1   ,201809160534,71,1001001009
TUN ,B1   ,201809160535,63,1001001009
TUN ,B1   ,201809160536,40,1001001009
TUN ,B1   ,201809160537,68,1001001009
TUN ,B1   ,201809160538,65,1001001009
TUN ,B1   ,201809160539,32,1001001009
TUN ,B1   ,201809160540,51,1001001009
TUN ,B1   ,201809160541,44,1001001009
TUN ,B1   ,201809160542,57,1001001009
TUN ,B1   ,201809160543,47,1001001009
TUN ,B1   ,201809160544,61,1001001009
TUN ,B1   ,201809160545,41,1001001009
TUN ,B1   ,201809160546,24,1001001009
TUN ,B1   ,201809160547,42,1001001009
TUN ,B1   ,201809160548,78,1001001009
TUN ,B1   ,201809160549,56,1001001009
TUN ,B1   ,201809160550,64,1001001009
TUN ,B1   ,201809160551,44,1001001009
TUN ,B1   ,201809160552,41,1001001009
TUN ,B1   ,201809160553,51,1001001009
TUN ,B1   ,201809160554,33,1001001009
TUN ,B1   ,201809160555,40,1001001009
TUN ,B1   ,201809160556,70,1001001009
TUN ,B1   ,201809160557,39,1001001009
TUN ,B1   ,201809160558,55,1001001009
TUN ,B1   ,201809160559,30,1001001009
TUN ,B1   ,201809160600,51,1001001009
TUN ,B1   ,201809160601,63,1001001009
TUN ,B1   ,201809160602,51,1001001009
TUN ,B1   ,201809160603,43,1001001009
TUN ,B1   ,201809160604,37,1001001009
TUN ,B1   ,201809160605,90,1001001009
TUN ,B1   ,201809160606,47,1001001009
TUN ,B1   ,201809160607,30,1001001009
TUN ,B1   ,201809160608,23,1001001009
TUN ,B1   ,201809160609,34,1001001009
TUN ,B1   ,201809160610,30,1001001009
TUN ,B1   ,201809160611,32,1001001009
TUN ,B1   ,201809160612,26,1001001009
TUN ,B1   ,201809160613,62,1001001009
TUN ,B1   ,201809160614,47,1001001009
TUN ,B1   ,201809160615,44,1001001009
TUN ,B1   ,201809160616,42,1001001009
TUN ,B1   ,201809160617,51,1001001009
TUN ,B1   ,201809160618,44,1001001009
TUN ,B1   ,201809160619,48,1001001009
TUN ,B1   ,201809160620,45,1001001009
TUN ,B1   ,201809160621,28,1001001009
TUN ,B1   ,201809160622,42,1001001009
TUN ,B1   ,201809160623,35,1001001009
TUN ,B1   ,201809160624,43,1001001009
TUN ,B1   ,201809160625,32,1001001009
TUN ,B1   ,201809160626,48,1001001009
TUN ,B1   ,201809160627,48,1001001009
TUN ,B1   ,201809160628,43,1001001009
TUN ,B1   ,201809160629,35,1001001009
TUN ,B1   ,201809160630,37,1001001009
TUN ,B1   ,201809160631,27,1001001009
TUN ,B1   ,201809160632,44,1001001009
TUN ,B1   ,201809160633,56,1001001009
TUN ,B1   ,201809160634,34,1001001009
TUN ,B1   ,201809160635,28,1001001009
TUN ,B1   ,201809160636,40,1001001009
TUN ,B1   ,201809160637,35,1001001009
TUN ,B1   ,201809160638,32,1001001009
TUN ,B1   ,201809160639,35,1001001009
TUN ,B1   ,201809160640,21,1001001009
TUN ,B1   ,201809160641,36,1001001009
TUN ,B1   ,201809160642,44,1001001009
TUN ,B1   ,201809160643,52,1001001009
TUN ,B1   ,201809160644,50,1001001009
TUN ,B1   ,201809160645,35,1001001009
TUN ,B1   ,201809160646,48,1001001009
TUN ,B1   ,201809160647,27,1001001009
TUN ,B1   ,201809160648,30,1001001009
TUN ,B1   ,201809160649,33,1001001009
TUN ,B1   ,201809160650,32,1001001009
TUN ,B1   ,201809160651,34,1001001009
TUN ,B1   ,201809160652,36,1001001009
TUN ,B1   ,201809160653,36,1001001009
TUN ,B1   ,201809160654,39,1001001009
TUN ,B1   ,201809160655,42,1001001009
TUN ,B1   ,201809160656,39,1001001009
TUN ,B1   ,201809160657,25,1001001009
TUN ,B1   ,201809160658,22,1001001009
TUN ,B1   ,201809160659,24,1001001009
TUN ,B1   ,201809160700,28,1001001009
TUN ,B1   ,201809160701,56,1001001009
TUN ,B1   ,201809160702,41,1001001009
TUN ,B1   ,201809160703,39,1001001009
TUN ,B1   ,201809160704,41,1001001009
TUN ,B1   ,201809160705,62,1001001009
TUN ,B1   ,201809160706,33,1001001009
TUN ,B1   ,201809160707,45,1001001009
TUN ,B1   ,201809160708,55,1001001009
TUN ,B1   ,201809160709,28,1001001009
TUN ,B1   ,201809160710,42,1001001009
TUN ,B1   ,201809160711,44,1001001009
TUN ,B1   ,201809160712,39,1001001009
TUN ,B1   ,201809160713,39,1001001009
TUN ,B1   ,201809160714,48,1001001009
TUN ,B1   ,201809160715,55,1001001009
TUN ,B1   ,201809160716,33,1001001009
TUN ,B1   ,201809160717,37,1001001009
TUN ,B1   ,201809160718,23,1001001009
TUN ,B1   ,201809160719,43,1001001009
TUN ,B1   ,201809160720,55,1001001009
TUN ,B1   ,201809160721,34,1001001009
TUN ,B1   ,201809160722,31,1001001009
