WGL ,B1   ,201809160000,145,1001001009
WGL ,B1   ,201809160001,144,1001001009
WGL ,B1   ,201809160002,138,1001001009
WGL ,B1   ,201809160003,137,1001001009
WGL ,B1   ,201809160004,149,1001001009
WGL ,B1   ,201809160005,138,1001001009
WGL ,B1   ,201809160006,134,1001001009
WGL ,B1   ,201809160007,132,1001001009
WGL ,B1   ,201809160008,131,1001001009
WGL ,B1   ,201809160009,137,1001001009
WGL ,B1   ,201809160010,142,1001001009
WGL ,B1   ,201809160011,147,1001001009
WGL ,B1   ,201809160012,157,1001001009
WGL ,B1   ,201809160013,161,1001001009
WGL ,B1   ,201809160014,159,1001001009
WGL ,B1   ,201809160015,150,1001001009
WGL ,B1   ,201809160016,150,1001001009
WGL ,B1   ,201809160017,156,1001001009
WGL ,B1   ,201809160018,153,1001001009
WGL ,B1   ,201809160019,158,1001001009
WGL ,B1   ,201809160020,160,1001001009
WGL ,B1   ,201809160021,157,1001001009
WGL ,B1   ,201809160022,152,1001001009
WGL ,B1   ,201809160023,155,1001001009
WGL ,B1   ,201809160024,166,1001001009
WGL ,B1   ,201809160025,150,1001001009
WGL ,B1   ,201809160026,152,1001001009
WGL ,B1   ,201809160027,154,1001001009
WGL ,B1   ,201809160028,146,1001001009
WGL ,B1   ,201809160029,150,1001001009
WGL ,B1   ,201809160030,150,1001001009
WGL ,B1   ,201809160031,152,1001001009
WGL ,B1   ,201809160032,154,1001001009
WGL ,B1   ,201809160033,145,1001001009
WGL ,B1   ,201809160034,150,1001001009
WGL ,B1   ,201809160035,144,1001001009
WGL ,B1   ,201809160036,152,1001001009
WGL ,B1   ,201809160037,149,1001001009
WGL ,B1   ,201809160038,147,1001001009
WGL ,B1   ,201809160039,145,1001001009
WGL ,B1   ,201809160040,143,1001001009
WGL ,B1   ,201809160041,152,1001001009
WGL ,B1   ,201809160042,160,1001001009
WGL ,B1   ,201809160043,153,1001001009
WGL ,B1   ,201809160044,151,1001001009
WGL ,B1   ,201809160045,159,1001001009
WGL ,B1   ,201809160046,159,1001001009
WGL ,B1   ,201809160047,139,1001001009
WGL ,B1   ,201809160048,150,1001001009
WGL ,B1   ,201809160049,160,1001001009
WGL ,B1   ,201809160050,162,1001001009
WGL ,B1   ,201809160051,157,1001001009
WGL ,B1   ,201809160052,158,1001001009
WGL ,B1   ,201809160053,169,1001001009
WGL ,B1   ,201809160054,165,1001001009
WGL ,B1   ,201809160055,163,1001001009
WGL ,B1   ,201809160056,147,1001001009
WGL ,B1   ,201809160057,160,1001001009
WGL ,B1   ,201809160058,155,1001001009
WGL ,B1   ,201809160059,156,1001001009
WGL ,B1   ,201809160100,164,1001001009
WGL ,B1   ,201809160101,172,1001001009
WGL ,B1   ,201809160102,171,1001001009
WGL ,B1   ,201809160103,173,1001001009
WGL ,B1   ,201809160104,178,1001001009
WGL ,B1   ,201809160105,176,1001001009
WGL ,B1   ,201809160106,164,1001001009
WGL ,B1   ,201809160107,156,1001001009
WGL ,B1   ,201809160108,153,1001001009
WGL ,B1   ,201809160109,167,1001001009
WGL ,B1   ,201809160110,183,1001001009
WGL ,B1   ,201809160111,190,1001001009
WGL ,B1   ,201809160112,173,1001001009
WGL ,B1   ,201809160113,180,1001001009
WGL ,B1   ,201809160114,194,1001001009
WGL ,B1   ,201809160115,192,1001001009
WGL ,B1   ,201809160116,183,1001001009
WGL ,B1   ,201809160117,158,1001001009
WGL ,B1   ,201809160118,151,1001001009
WGL ,B1   ,201809160119,174,1001001009
WGL ,B1   ,201809160120,177,1001001009
WGL ,B1   ,201809160121,169,1001001009
WGL ,B1   ,201809160122,178,1001001009
WGL ,B1   ,201809160123,192,1001001009
WGL ,B1   ,201809160124,180,1001001009
WGL ,B1   ,201809160125,181,1001001009
WGL ,B1   ,201809160126,192,1001001009
WGL ,B1   ,201809160127,186,1001001009
WGL ,B1   ,201809160128,213,1001001009
WGL ,B1   ,201809160129,190,1001001009
WGL ,B1   ,201809160130,172,1001001009
WGL ,B1   ,201809160131,183,1001001009
WGL ,B1   ,201809160132,214,1001001009
WGL ,B1   ,201809160133,189,1001001009
WGL ,B1   ,201809160134,181,1001001009
WGL ,B1   ,201809160135,170,1001001009
WGL ,B1   ,201809160136,178,1001001009
WGL ,B1   ,201809160137,182,1001001009
WGL ,B1   ,201809160138,172,1001001009
WGL ,B1   ,201809160139,175,1001001009
WGL ,B1   ,201809160140,163,1001001009
WGL ,B1   ,201809160141,167,1001001009
WGL ,B1   ,201809160142,171,1001001009
WGL ,B1   ,201809160143,173,1001001009
WGL ,B1   ,201809160144,180,1001001009
WGL ,B1   ,201809160145,188,1001001009
WGL ,B1   ,201809160146,168,1001001009
WGL ,B1   ,201809160147,166,1001001009
WGL ,B1   ,201809160148,174,1001001009
WGL ,B1   ,201809160149,174,1001001009
WGL ,B1   ,201809160150,202,1001001009
WGL ,B1   ,201809160151,196,1001001009
WGL ,B1   ,201809160152,204,1001001009
WGL ,B1   ,201809160153,189,1001001009
WGL ,B1   ,201809160154,197,1001001009
WGL ,B1   ,201809160155,168,1001001009
WGL ,B1   ,201809160156,183,1001001009
WGL ,B1   ,201809160157,166,1001001009
WGL ,B1   ,201809160158,178,1001001009
WGL ,B1   ,201809160159,189,1001001009
WGL ,B1   ,201809160200,194,1001001009
WGL ,B1   ,201809160201,189,1001001009
WGL ,B1   ,201809160202,193,1001001009
WGL ,B1   ,201809160203,190,1001001009
WGL ,B1   ,201809160204,190,1001001009
WGL ,B1   ,201809160205,194,1001001009
WGL ,B1   ,201809160206,198,1001001009
WGL ,B1   ,201809160207,196,1001001009
WGL ,B1   ,201809160208,180,1001001009
WGL ,B1   ,201809160209,170,1001001009
WGL ,B1   ,201809160210,183,1001001009
WGL ,B1   ,201809160211,201,1001001009
WGL ,B1   ,201809160212,203,1001001009
WGL ,B1   ,201809160213,199,1001001009
WGL ,B1   ,201809160214,203,1001001009
WGL ,B1   ,201809160215,199,1001001009
WGL ,B1   ,201809160216,184,1001001009
WGL ,B1   ,201809160217,195,1001001009
WGL ,B1   ,201809160218,197,1001001009
WGL ,B1   ,201809160219,206,1001001009
WGL ,B1   ,201809160220,214,1001001009
WGL ,B1   ,201809160221,215,1001001009
WGL ,B1   ,201809160222,217,1001001009
WGL ,B1   ,201809160223,193,1001001009
WGL ,B1   ,201809160224,209,1001001009
WGL ,B1   ,201809160225,192,1001001009
WGL ,B1   ,201809160226,196,1001001009
WGL ,B1   ,201809160227,192,1001001009
WGL ,B1   ,201809160228,211,1001001009
WGL ,B1   ,201809160229,189,1001001009
WGL ,B1   ,201809160230,180,1001001009
WGL ,B1   ,201809160231,186,1001001009
WGL ,B1   ,201809160232,182,1001001009
WGL ,B1   ,201809160233,202,1001001009
WGL ,B1   ,201809160234,196,1001001009
WGL ,B1   ,201809160235,198,1001001009
WGL ,B1   ,201809160236,203,1001001009
WGL ,B1   ,201809160237,200,1001001009
WGL ,B1   ,201809160238,201,1001001009
WGL ,B1   ,201809160239,186,1001001009
WGL ,B1   ,201809160240,199,1001001009
WGL ,B1   ,201809160241,204,1001001009
WGL ,B1   ,201809160242,202,1001001009
WGL ,B1   ,201809160243,194,1001001009
WGL ,B1   ,201809160244,205,1001001009
WGL ,B1   ,201809160245,192,1001001009
WGL ,B1   ,201809160246,194,1001001009
WGL ,B1   ,201809160247,208,1001001009
WGL ,B1   ,201809160248,204,1001001009
WGL ,B1   ,201809160249,202,1001001009
WGL ,B1   ,201809160250,188,1001001009
WGL ,B1   ,201809160251,198,1001001009
WGL ,B1   ,201809160252,194,1001001009
WGL ,B1   ,201809160253,193,1001001009
WGL ,B1   ,201809160254,203,1001001009
WGL ,B1   ,201809160255,200,1001001009
WGL ,B1   ,201809160256,204,1001001009
WGL ,B1   ,201809160257,204,1001001009
WGL ,B1   ,201809160258,199,1001001009
WGL ,B1   ,201809160259,187,1001001009
WGL ,B1   ,201809160300,193,1001001009
WGL ,B1   ,201809160301,202,1001001009
WGL ,B1   ,201809160302,205,1001001009
WGL ,B1   ,201809160303,189,1001001009
WGL ,B1   ,201809160304,193,1001001009
WGL ,B1   ,201809160305,202,1001001009
WGL ,B1   ,201809160306,200,1001001009
WGL ,B1   ,201809160307,197,1001001009
WGL ,B1   ,201809160308,183,1001001009
WGL ,B1   ,201809160309,184,1001001009
WGL ,B1   ,201809160310,170,1001001009
WGL ,B1   ,201809160311,173,1001001009
WGL ,B1   ,201809160312,183,1001001009
WGL ,B1   ,201809160313,175,1001001009
WGL ,B1   ,201809160314,177,1001001009
WGL ,B1   ,201809160315,176,1001001009
WGL ,B1   ,201809160316,175,1001001009
WGL ,B1   ,201809160317,173,1001001009
WGL ,B1   ,201809160318,175,1001001009
WGL ,B1   ,201809160319,173,1001001009
WGL ,B1   ,201809160320,174,1001001009
WGL ,B1   ,201809160321,182,1001001009
WGL ,B1   ,201809160322,183,1001001009
WGL ,B1   ,201809160323,177,1001001009
WGL ,B1   ,201809160324,187,1001001009
WGL ,B1   ,201809160325,185,1001001009
WGL ,B1   ,201809160326,185,1001001009
WGL ,B1   ,201809160327,191,1001001009
WGL ,B1   ,201809160328,185,1001001009
WGL ,B1   ,201809160329,177,1001001009
WGL ,B1   ,201809160330,181,1001001009
WGL ,B1   ,201809160331,185,1001001009
WGL ,B1   ,201809160332,180,1001001009
WGL ,B1   ,201809160333,174,1001001009
WGL ,B1   ,201809160334,175,1001001009
WGL ,B1   ,201809160335,186,1001001009
WGL ,B1   ,201809160336,198,1001001009
WGL ,B1   ,201809160337,192,1001001009
WGL ,B1   ,201809160338,194,1001001009
WGL ,B1   ,201809160339,176,1001001009
WGL ,B1   ,201809160340,181,1001001009
WGL ,B1   ,201809160341,185,1001001009
WGL ,B1   ,201809160342,187,1001001009
WGL ,B1   ,201809160343,174,1001001009
WGL ,B1   ,201809160344,161,1001001009
WGL ,B1   ,201809160345,156,1001001009
WGL ,B1   ,201809160346,173,1001001009
WGL ,B1   ,201809160347,179,1001001009
WGL ,B1   ,201809160348,177,1001001009
