WLP ,B1   ,201809160000,34,1001001009
WLP ,B1   ,201809160001,30,1001001009
WLP ,B1   ,201809160002,45,1001001009
WLP ,B1   ,201809160003,46,1001001009
WLP ,B1   ,201809160004,61,1001001009
WLP ,B1   ,201809160005,31,1001001009
WLP ,B1   ,201809160006,31,1001001009
WLP ,B1   ,201809160007,33,1001001009
WLP ,B1   ,201809160008,59,1001001009
WLP ,B1   ,201809160009,25,1001001009
WLP ,B1   ,201809160010,21,1001001009
WLP ,B1   ,201809160011,30,1001001009
WLP ,B1   ,201809160012,17,1001001009
WLP ,B1   ,201809160013,14,1001001009
WLP ,B1   ,201809160014,37,1001001009
WLP ,B1   ,201809160015,30,1001001009
WLP ,B1   ,201809160016,34,1001001009
WLP ,B1   ,201809160017,27,1001001009
WLP ,B1   ,201809160018,20,1001001009
WLP ,B1   ,201809160019,41,1001001009
WLP ,B1   ,201809160020,29,1001001009
WLP ,B1   ,201809160021,38,1001001009
WLP ,B1   ,201809160022,30,1001001009
WLP ,B1   ,201809160023,41,1001001009
WLP ,B1   ,201809160024,33,1001001009
WLP ,B1   ,201809160025,19,1001001009
WLP ,B1   ,201809160026,44,1001001009
WLP ,B1   ,201809160027,34,1001001009
WLP ,B1   ,201809160028,34,1001001009
WLP ,B1   ,201809160029,46,1001001009
WLP ,B1   ,201809160030,62,1001001009
WLP ,B1   ,201809160031,47,1001001009
WLP ,B1   ,201809160032,31,1001001009
WLP ,B1   ,201809160033,50,1001001009
WLP ,B1   ,201809160034,45,1001001009
WLP ,B1   ,201809160035,31,1001001009
WLP ,B1   ,201809160036,32,1001001009
WLP ,B1   ,201809160037,58,1001001009
WLP ,B1   ,201809160038,40,1001001009
WLP ,B1   ,201809160039,43,1001001009
WLP ,B1   ,201809160040,52,1001001009
WLP ,B1   ,201809160041,40,1001001009
WLP ,B1   ,201809160042,43,1001001009
WLP ,B1   ,201809160043,46,1001001009
WLP ,B1   ,201809160044,51,1001001009
WLP ,B1   ,201809160045,36,1001001009
WLP ,B1   ,201809160046,45,1001001009
WLP ,B1   ,201809160047,31,1001001009
WLP ,B1   ,201809160048,45,1001001009
WLP ,B1   ,201809160049,24,1001001009
WLP ,B1   ,201809160050,28,1001001009
WLP ,B1   ,201809160051,36,1001001009
WLP ,B1   ,201809160052,46,1001001009
WLP ,B1   ,201809160053,40,1001001009
WLP ,B1   ,201809160054,24,1001001009
WLP ,B1   ,201809160055,25,1001001009
WLP ,B1   ,201809160056,15,1001001009
WLP ,B1   ,201809160057,41,1001001009
WLP ,B1   ,201809160058,47,1001001009
WLP ,B1   ,201809160059,50,1001001009
WLP ,B1   ,201809160100,49,1001001009
WLP ,B1   ,201809160101,44,1001001009
WLP ,B1   ,201809160102,38,1001001009
WLP ,B1   ,201809160103,51,1001001009
WLP ,B1   ,201809160104,36,1001001009
WLP ,B1   ,201809160105,41,1001001009
WLP ,B1   ,201809160106,52,1001001009
WLP ,B1   ,201809160107,63,1001001009
WLP ,B1   ,201809160108,34,1001001009
WLP ,B1   ,201809160109,33,1001001009
WLP ,B1   ,201809160110,45,1001001009
WLP ,B1   ,201809160111,39,1001001009
WLP ,B1   ,201809160112,56,1001001009
WLP ,B1   ,201809160113,43,1001001009
WLP ,B1   ,201809160114,33,1001001009
WLP ,B1   ,201809160115,31,1001001009
WLP ,B1   ,201809160116,28,1001001009
WLP ,B1   ,201809160117,49,1001001009
WLP ,B1   ,201809160118,46,1001001009
WLP ,B1   ,201809160119,32,1001001009
WLP ,B1   ,201809160120,37,1001001009
WLP ,B1   ,201809160121,36,1001001009
WLP ,B1   ,201809160122,36,1001001009
WLP ,B1   ,201809160123,33,1001001009
WLP ,B1   ,201809160124,29,1001001009
WLP ,B1   ,201809160125,32,1001001009
WLP ,B1   ,201809160126,55,1001001009
WLP ,B1   ,201809160127,32,1001001009
WLP ,B1   ,201809160128,45,1001001009
WLP ,B1   ,201809160129,37,1001001009
WLP ,B1   ,201809160130,53,1001001009
WLP ,B1   ,201809160131,32,1001001009
WLP ,B1   ,201809160132,42,1001001009
WLP ,B1   ,201809160133,42,1001001009
WLP ,B1   ,201809160134,35,1001001009
WLP ,B1   ,201809160135,28,1001001009
WLP ,B1   ,201809160136,36,1001001009
WLP ,B1   ,201809160137,37,1001001009
WLP ,B1   ,201809160138,43,1001001009
WLP ,B1   ,201809160139,23,1001001009
WLP ,B1   ,201809160140,48,1001001009
WLP ,B1   ,201809160141,49,1001001009
WLP ,B1   ,201809160142,47,1001001009
WLP ,B1   ,201809160143,29,1001001009
WLP ,B1   ,201809160144,68,1001001009
WLP ,B1   ,201809160145,48,1001001009
WLP ,B1   ,201809160146,33,1001001009
WLP ,B1   ,201809160147,54,1001001009
WLP ,B1   ,201809160148,27,1001001009
WLP ,B1   ,201809160149,29,1001001009
WLP ,B1   ,201809160150,30,1001001009
WLP ,B1   ,201809160151,23,1001001009
WLP ,B1   ,201809160152,26,1001001009
WLP ,B1   ,201809160153,32,1001001009
WLP ,B1   ,201809160154,32,1001001009
WLP ,B1   ,201809160155,37,1001001009
WLP ,B1   ,201809160156,38,1001001009
WLP ,B1   ,201809160157,41,1001001009
WLP ,B1   ,201809160158,29,1001001009
