YTS ,B1   ,201809160000,207,1001001009
YTS ,B1   ,201809160001,216,1001001009
YTS ,B1   ,201809160002,221,1001001009
YTS ,B1   ,201809160003,206,1001001009
YTS ,B1   ,201809160004,210,1001001009
YTS ,B1   ,201809160005,208,1001001009
YTS ,B1   ,201809160006,224,1001001009
YTS ,B1   ,201809160007,,
YTS ,B1   ,201809160008,245,1001001009
YTS ,B1   ,201809160009,244,1001001009
YTS ,B1   ,201809160010,227,1001001009
YTS ,B1   ,201809160011,233,1001001009
YTS ,B1   ,201809160012,205,1001001009
YTS ,B1   ,201809160013,216,1001001009
YTS ,B1   ,201809160014,252,1001001009
YTS ,B1   ,201809160015,228,1001001009
YTS ,B1   ,201809160016,227,1001001009
YTS ,B1   ,201809160017,206,1001001009
YTS ,B1   ,201809160018,199,1001001009
YTS ,B1   ,201809160019,208,1001001009
YTS ,B1   ,201809160020,214,1001001009
YTS ,B1   ,201809160021,222,1001001009
YTS ,B1   ,201809160022,209,1001001009
YTS ,B1   ,201809160023,227,1001001009
YTS ,B1   ,201809160024,251,1001001009
YTS ,B1   ,201809160025,219,1001001009
YTS ,B1   ,201809160026,239,1001001009
YTS ,B1   ,201809160027,211,1001001009
YTS ,B1   ,201809160028,201,1001001009
YTS ,B1   ,201809160029,195,1001001009
YTS ,B1   ,201809160030,235,1001001009
YTS ,B1   ,201809160031,224,1001001009
YTS ,B1   ,201809160032,227,1001001009
YTS ,B1   ,201809160033,216,1001001009
YTS ,B1   ,201809160034,236,1001001009
YTS ,B1   ,201809160035,182,1001001009
YTS ,B1   ,201809160036,192,1001001009
YTS ,B1   ,201809160037,201,1001001009
YTS ,B1   ,201809160038,189,1001001009
YTS ,B1   ,201809160039,210,1001001009
YTS ,B1   ,201809160040,187,1001001009
YTS ,B1   ,201809160041,209,1001001009
YTS ,B1   ,201809160042,191,1001001009
YTS ,B1   ,201809160043,213,1001001009
YTS ,B1   ,201809160044,218,1001001009
YTS ,B1   ,201809160045,232,1001001009
YTS ,B1   ,201809160046,207,1001001009
YTS ,B1   ,201809160047,204,1001001009
YTS ,B1   ,201809160048,201,1001001009
YTS ,B1   ,201809160049,235,1001001009
YTS ,B1   ,201809160050,203,1001001009
YTS ,B1   ,201809160051,239,1001001009
YTS ,B1   ,201809160052,223,1001001009
YTS ,B1   ,201809160053,209,1001001009
YTS ,B1   ,201809160054,219,1001001009
YTS ,B1   ,201809160055,199,1001001009
YTS ,B1   ,201809160056,205,1001001009
YTS ,B1   ,201809160057,220,1001001009
YTS ,B1   ,201809160058,210,1001001009
YTS ,B1   ,201809160059,255,1001001009
YTS ,B1   ,201809160100,239,1001001009
YTS ,B1   ,201809160101,192,1001001009
YTS ,B1   ,201809160102,192,1001001009
YTS ,B1   ,201809160103,207,1001001009
YTS ,B1   ,201809160104,228,1001001009
YTS ,B1   ,201809160105,203,1001001009
YTS ,B1   ,201809160106,232,1001001009
YTS ,B1   ,201809160107,211,1001001009
YTS ,B1   ,201809160108,218,1001001009
YTS ,B1   ,201809160109,235,1001001009
YTS ,B1   ,201809160110,192,1001001009
YTS ,B1   ,201809160111,215,1001001009
YTS ,B1   ,201809160112,197,1001001009
YTS ,B1   ,201809160113,169,1001001009
YTS ,B1   ,201809160114,216,1001001009
YTS ,B1   ,201809160115,214,1001001009
YTS ,B1   ,201809160116,189,1001001009
YTS ,B1   ,201809160117,208,1001001009
YTS ,B1   ,201809160118,204,1001001009
YTS ,B1   ,201809160119,183,1001001009
YTS ,B1   ,201809160120,189,1001001009
YTS ,B1   ,201809160121,214,1001001009
YTS ,B1   ,201809160122,164,1001001009
YTS ,B1   ,201809160123,186,1001001009
YTS ,B1   ,201809160124,161,1001001009
YTS ,B1   ,201809160125,229,1001001009
YTS ,B1   ,201809160126,215,1001001009
YTS ,B1   ,201809160127,232,1001001009
YTS ,B1   ,201809160128,237,1001001009
YTS ,B1   ,201809160129,235,1001001009
YTS ,B1   ,201809160130,225,1001001009
YTS ,B1   ,201809160131,222,1001001009
YTS ,B1   ,201809160132,263,1001001009
YTS ,B1   ,201809160133,260,1001001009
YTS ,B1   ,201809160134,209,1001001009
YTS ,B1   ,201809160135,260,1001001009
YTS ,B1   ,201809160136,246,1001001009
YTS ,B1   ,201809160137,215,1001001009
YTS ,B1   ,201809160138,238,1001001009
YTS ,B1   ,201809160139,242,1001001009
YTS ,B1   ,201809160140,203,1001001009
YTS ,B1   ,201809160141,202,1001001009
YTS ,B1   ,201809160142,216,1001001009
YTS ,B1   ,201809160143,211,1001001009
YTS ,B1   ,201809160144,289,1001001009
YTS ,B1   ,201809160145,202,1001001009
YTS ,B1   ,201809160146,226,1001001009
YTS ,B1   ,201809160147,217,1001001009
YTS ,B1   ,201809160148,237,1001001009
YTS ,B1   ,201809160149,275,1001001009
YTS ,B1   ,201809160150,266,1001001009
YTS ,B1   ,201809160151,216,1001001009
YTS ,B1   ,201809160152,257,1001001009
YTS ,B1   ,201809160153,277,1001001009
YTS ,B1   ,201809160154,248,1001001009
YTS ,B1   ,201809160155,257,1001001009
YTS ,B1   ,201809160156,254,1001001009
YTS ,B1   ,201809160157,292,1001001009
YTS ,B1   ,201809160158,236,1001001009
YTS ,B1   ,201809160159,219,1001001009
YTS ,B1   ,201809160200,214,1001001009
YTS ,B1   ,201809160201,212,1001001009
YTS ,B1   ,201809160202,208,1001001009
YTS ,B1   ,201809160203,225,1001001009
YTS ,B1   ,201809160204,234,1001001009
YTS ,B1   ,201809160205,242,1001001009
YTS ,B1   ,201809160206,256,1001001009
YTS ,B1   ,201809160207,224,1001001009
YTS ,B1   ,201809160208,244,1001001009
YTS ,B1   ,201809160209,216,1001001009
YTS ,B1   ,201809160210,241,1001001009
YTS ,B1   ,201809160211,222,1001001009
